run_id,metric_id,participants,participant_days,observations,sites,first_date,last_date,photoperiod_min,photoperiod_max,unique_photoperiod,unique_latitude,frame_sha256
primary__near_eye,daily_geometric_mean_medi,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9,e4a424079b05975e00c925ce64b18e5357b4f82b7359f65b8a9d3406500830fd
primary__near_eye,m10_mean_medi,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9,d54466eff34b80372b57f7ac7a630601afc3a412a6c8f901f61055c9caf62fc8
primary__near_eye,l10_mean_medi,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9,7aad729356e80ff8e103e0ca3d50e5441983e9ea928421be346353eb2fc5c940
primary__near_eye,duration_above_1000,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9,ee9472e9e9899f38517911caf3193dd3d184fcd6002e3498db90122cbe61d399
primary__near_eye,duration_above_250_wake,141,737,737,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,489,9,ac82f401beed7734ada2195f3c82b706cd23d78834a7060aa50354ee4f357565
primary__near_eye,duration_below_10_pre_sleep,139,655,655,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,450,9,792f3ef044f80c6a068f4810be7a9309872827a403872e411edff620c3f4d28e
primary__near_eye,duration_below_1_sleep_environment,141,778,778,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,508,9,1e53afdec98382a2b9704b42282f2ed1489601b281dd030ed4f05bbd67caf402
primary__near_eye,longest_bout_above_250,141,816,816,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,527,9,6c8e0a330852ac833c563a9eeaee11769338d016b42b2affd8a1fd479d9519da
primary__near_eye,dose_time_sensitive_corrected_medi,141,761,761,9,2023-08-15,2025-10-19,10.329644992086624,20.52484733098083,508,9,961e1ebd1d05405b94123ffe04ec959422c8fa7efe35899d1ed65c5a52db4bd2
primary__chest,daily_geometric_mean_medi,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8,f07409d29c8da65384e88b865f8e67609652926c05f0b083746361723efecbb5
primary__chest,m10_mean_medi,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8,725ce0004a9f1916e0af4c1914687c6119da169097552955ba7eea5c5d7f3989
primary__chest,l10_mean_medi,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8,8e6cb4187f6d45d3e8e762e9851df6f32a27677b6b41010491b95a673406ed76
primary__chest,duration_above_1000,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8,c433b273260bdbaecea04295b6f3223d9cf7a78341b325e74e59b7cca9179ba8
primary__chest,duration_above_250_wake,154,818,818,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,517,8,736ec313200dce879ae3c459d6e69977f90beb95b8d153217b2925e0c2c74181
primary__chest,duration_below_10_pre_sleep,153,743,743,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,474,8,8ed3222e0811323d24fe22afeb3a5da5ad46aa96c28e760e339608e733969d62
primary__chest,duration_below_1_sleep_environment,154,861,861,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,533,8,a2d11e5fff9ecb19eb4543057768ad6b1f891e76781af3cb302f4223958c65f1
primary__chest,longest_bout_above_250,154,902,902,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,550,8,1a5254d9e27e01c6b464a08a7a5f7eaec4a10818c6b261b24eeffb7b7d94d3cc
primary__chest,dose_time_sensitive_corrected_medi,154,851,851,8,2024-05-14,2025-10-19,10.329644992086624,20.52484733098083,534,8,e176deab5916ada6d64fcf74b51b0f96c6425de3724f4b4917592bacebc50f8e
