"endpoint","table_id","source_line"
"tbl-main-samples","samples",124
"tbl-main-adherence-levels","levels",141
"tbl-main-primary-results","primary",150
"tbl-main-site-interactions","interactions",162
"tbl-main-compact-adherence","compact",189
"tbl-main-endpoint-calibration","endpoints",201
"tbl-main-coverage-gate","coverage",214
"tbl-main-random-effects","random",228
"tbl-main-r2-partition","r2",238
"tbl-main-shapley-global","shapley_global",248
"tbl-main-shapley-within","shapley_within",257
"tbl-main-placement","chest",271
"tbl-main-grouping-sensitivity","grouping",283
"tbl-main-all-sensitivities","sensitivities",299
"tbl-main-weighting","weighting",308
"tbl-main-route-dispositions","routes",317
"tbl-main-diagnostic-dispositions","diagnostics",326
