metric_order,metric_id,manuscript_name,factor_order,factor_id,factor_label,estimate_model_per_sd__alternative_preprocessing,estimate_model_per_sd__main,conf_low_model_per_sd__alternative_preprocessing,conf_low_model_per_sd__main,conf_high_model_per_sd__alternative_preprocessing,conf_high_model_per_sd__main,estimate_difference_mpd_minus_main,sign_concordant,component_intervals_overlap
1,interdaily_stability,Interdaily stability,1,leba_f2,Spending time outdoors,0.01966624254272706,0.027411206082629955,-0.05328952903988059,-0.04551496236459118,0.0926220141253347,0.1003373745298511,-0.007744963539902894,TRUE,TRUE
1,interdaily_stability,Interdaily stability,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.07077118471024975,-0.07104972769751748,-0.14127244929488203,-0.14158613325324318,-2.6992012561747567e-4,-5.133221417917886e-4,2.785429872677325e-4,TRUE,TRUE
1,interdaily_stability,Interdaily stability,3,leba_f4,Controlling and using ambient light before bedtime,-0.021943118729670304,-0.025090344271534146,-0.09565420264768269,-0.0988161353828562,0.051767965188342084,0.04863544683978792,0.003147225541863842,TRUE,TRUE
1,interdaily_stability,Interdaily stability,4,leba_f5,Using light in the morning and during daytime,0.09211274713300421,0.08564171303586564,0.01778389177849867,0.01104005261426148,0.16644160248750978,0.1602433734574698,0.0064710340971385755,TRUE,TRUE
2,intradaily_variability,Intradaily variability,1,leba_f2,Spending time outdoors,-0.0771657381177216,-0.05749942325695309,-0.1412010956330094,-0.12449668413171162,-0.013130380602433791,0.009497837617805439,-0.019666314860768502,TRUE,TRUE
2,intradaily_variability,Intradaily variability,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.012126990885094197,-0.001184762602959359,-0.07613661089509596,-0.06751229765508396,0.05188262912490757,0.06514277244916523,-0.010942228282134838,TRUE,TRUE
2,intradaily_variability,Intradaily variability,3,leba_f4,Controlling and using ambient light before bedtime,-0.012300436174279181,9.094744222959826e-4,-0.07834374839982794,-0.0675243317985641,0.053742876051269574,0.06934328064315605,-0.013209910596575164,FALSE,TRUE
2,intradaily_variability,Intradaily variability,4,leba_f5,Using light in the morning and during daytime,0.05713706442927284,0.0568183778123113,-0.010181793894744723,-0.012959341994723105,0.1244559227532904,0.1265960976193457,3.1868661696154293e-4,TRUE,TRUE
3,daily_geometric_mean_medi,Mean melEDI,1,leba_f2,Spending time outdoors,0.04024898254068,0.038085693725633196,-0.014032088216018758,-0.015389996413484201,0.09453005329737875,0.0915613838647506,0.002163288815046807,TRUE,TRUE
3,daily_geometric_mean_medi,Mean melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.03992212328874117,-0.037636364810401245,-0.09303946556252085,-0.08999364568930322,0.013195218985038528,0.014720916068500733,-0.002285758478339922,TRUE,TRUE
3,daily_geometric_mean_medi,Mean melEDI,3,leba_f4,Controlling and using ambient light before bedtime,-0.04557950820516325,-0.05006277318326996,-0.10031694961164782,-0.10381486969392943,0.009157933201321324,0.003689323327389509,0.0044832649781067074,TRUE,TRUE
3,daily_geometric_mean_medi,Mean melEDI,4,leba_f5,Using light in the morning and during daytime,-0.02176884798581961,-0.02643019453655469,-0.0785787128467532,-0.08227736525262948,0.03504101687511399,0.029416976179520105,0.004661346550735079,TRUE,TRUE
4,m10_mean_medi,Brightest 10 h mean,1,leba_f2,Spending time outdoors,0.08026905611977268,0.08078235466401487,0.005309044792391173,0.0035658205971443807,0.1552290674471542,0.15799888873088538,-5.132985442421883e-4,TRUE,TRUE
