"domain","check_id","pass","detail"
"result_acceptance","owner_manifest_30_of_30",TRUE,"exact=30/30"
"result_acceptance","accepted_result_and_held_sources",TRUE,"exact=6/6"
"result_acceptance","static_visual_and_no_drift",TRUE,"static=11/11 visual=22/22 build=1180 protected=150"
"companion_preflight","prospective_helper_and_test_postimages",TRUE,"exact=3/3 parse=TRUE/TRUE air_status=0"
"companion_preflight","prospective_manifest_269_live_exact",TRUE,"rows=269 exact=269 source_side_html_present=FALSE"
"companion_render","semantic_reverse_and_reapply",TRUE,"tables=19 ids=82 headers=1050 substitutions=1132"
"companion_render","endpoints_ids_headers_and_mermaid",TRUE,"tables=19 figures=2 duplicate_ids=0 header_tokens=1050 mermaid=1"
"companion_render","reader_content_and_render_integrity",TRUE,"required=16/16 forbidden=0/3 error_nodes=0 active_nav=2"
"companion_render","local_links_and_fragments_resolve",TRUE,"links=23 unique=19 files=23/23 fragments=6/6"
"science","fifty_seven_scientific_assets_preserved",TRUE,"exact=57/57"
"integration_delta","exact_four_target_owned_build_transitions",TRUE,"entries=1180 delta=4 symlinks=0 paths=_build/nathealth/artifacts/12_manifests/H10/H10_stage3_artifacts.csv|_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html|_build/nathealth/search.json|_build/nathealth/sitemap.xml"
"integration_delta","only_obsolete_source_side_html_removed",TRUE,"protected=150 delta=1 path=audit/hypotheses/H10/H10_analysis_preparation.html"
