"parameter","estimate","standard_error","model_id","sample_id"
"beta_mu",0.53967279552782,0.046042414729383,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-1.68470515559133,0.0437550697164231,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0337845545185296,0.0510011705908143,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.302041970286328,0.128442795548234,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.00266069219805283,0.120686761162914,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0361448758658376,0.104483509486137,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.235177063423161,0.08540188419557,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.57743942293611,0.123227096076121,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.352838821638077,0.104694951315834,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.575156588602609,0.101684124128946,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.159921629579467,0.0354576101953946,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.139161424734579,0.113592794074647,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.142739321220855,0.128929188721427,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.287534525645377,0.108100173520244,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.167501919188457,0.133783354884729,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.446113659441877,0.0952184922519971,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.1536180362421,0.111067872882695,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0216090392032669,0.0763858634536666,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0709776365345179,0.0877082910235726,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.62520682023102,0.106171770724539,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.277996882060113,0.124773037904869,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.423584494616872,0.0985610675001818,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.398066239232095,0.112796961013928,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.222387943987983,0.0945506027589997,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.165892312660823,0.106407148656593,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0122538318195561,0.0415508637929146,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.247786516889976,0.0496861076156782,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.164271781231731,0.0988588297055982,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.0520354500797736,0.0869197976384998,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.204408308818284,0.078702523294203,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0503793398298879,0.0615940095190517,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0629305000649306,0.0846312162144126,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.113644362167154,0.0818150220747694,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.0207663672152819,0.0742730429254718,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.223855981867486,0.113978513207076,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.028425599088989,0.130299900233425,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.0744243545439938,0.107681080846662,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.0350784112260277,0.13338459136505,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.202462095883049,0.0939544535242218,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.136690510241397,0.110961438009317,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.0112074890542682,0.0758521089498767,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0621642556450124,0.0866426438346571,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0871463070239599,0.106665038698105,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.0420818815215453,0.126271832269923,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.121985990626028,0.0964130089101193,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.161996843528031,0.110056616165863,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",-0.0880696743044044,0.0937602704012848,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_mu",0.11297410919119,0.106802902987252,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_zero",-4.31430562720482,0.23774713279307,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_zero",0.628906895419399,0.293081782095011,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_zero",-0.208515773810882,0.363410378498801,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_zero",-0.22452768104503,0.21512766445378,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_one",-2.4841229901081,0.289058550614537,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_one",-0.667365435238126,0.291610685717027,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_one",0.649848051170632,0.318913954604707,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_one",0.201792999720313,0.322104775683914,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_disp",1.08826838347287,0.0416191031818067,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_disp",0.409239120771095,0.0585182105547443,"BA-LB-LOSO-UCR","LOSO-UCR"
"beta_disp",-0.509970981365601,0.0606839601300043,"BA-LB-LOSO-UCR","LOSO-UCR"
"log_sd_mu_part",-1.17040167677513,0.125508138463671,"BA-LB-LOSO-UCR","LOSO-UCR"
