"parameter","estimate","standard_error","model_id","sample_id"
"beta_mu",0.480663329079328,0.0497133449754719,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-1.6616626602265,0.0475404685550578,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.139273361829386,0.0538229131451246,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.369682920836748,0.131079950420571,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.100231439634551,0.122367460849151,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.111269096510369,0.106617151234424,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.162510891466846,0.0874308988011244,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.504055379266237,0.125247921145175,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.505875165417702,0.103508321473561,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.211357371323027,0.17678119397609,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.138231730090114,0.0378609280537324,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.109860261243899,0.116043692708305,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.242841135165434,0.13038356342153,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.225029651236172,0.109912653016498,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.118323211993694,0.134417160645031,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.406801993612194,0.0975606672754414,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.244635397815642,0.113064121014235,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.0145353631942803,0.0784787591161659,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.0303230822078159,0.0887949349135046,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.591301818412471,0.10813412293105,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.188516872172042,0.127951954831414,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.187437132511651,0.0965699733834529,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.0749322502619714,0.108188805594973,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.110564421564096,0.167121267406879,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.173917408081955,0.18562987044129,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.00867137861169365,0.0452653273853841,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.226918057776421,0.0532562524616298,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.197405142112962,0.100881445209504,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.00534852204761667,0.0875884403532183,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.177221319098743,0.0800696009611144,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.0756023325679726,0.0630664015105691,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.0855734098870464,0.0856454475659912,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.000296298543727404,0.0754661447704096,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.115144396247617,0.131766601246037,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.215019746848493,0.116748056421071,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.0568790841841491,0.13275457616304,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.0758366168474405,0.109275981950226,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.00922914367495861,0.133528268985539,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.187164438903039,0.0961810914021822,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.12439019970451,0.112906295225357,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.00721785216356629,0.0781077074424931,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.0458543260844605,0.088524622033472,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.105937785787048,0.108479312373799,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.0199986549250701,0.128618049332976,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.0617269706178707,0.0958111360867606,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.0919832699291478,0.10895094728103,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",0.0387844485213275,0.165166159199964,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_mu",-0.12877418671425,0.184439378792256,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_zero",-4.19826856563159,0.229290203658849,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_zero",0.354090310047545,0.300297172430664,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_zero",-0.0749202980759439,0.341029861178198,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_zero",-0.159906516852337,0.221229670473764,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_one",-3.04236414260098,0.619815257674056,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_one",-1.26177086228753,0.620247984931171,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_one",1.11062937869843,0.632491853619067,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_one",0.716663899448292,0.632029245946404,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_disp",1.09586684684449,0.0424895841194829,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_disp",0.3853544082329,0.0606475784107871,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"beta_disp",-0.545825851063196,0.0611145902877296,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
"log_sd_mu_part",-1.16707839338637,0.134724773233744,"BA-LB-LOSO-FUSPCEU","LOSO-FUSPCEU"
