"parameter","estimate","standard_error","model_id","sample_id"
"beta_mu",0.591216415843377,0.0522228373039118,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-1.79662866697837,0.0485046805677851,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.0383846975946248,0.0559046060347963,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.309390122277301,0.128355650320777,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.0440250706107496,0.128131944741639,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.00515503400232871,0.110894671532427,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.281697722704591,0.0916103425517853,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.320552485832219,0.111292061628011,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.623586767766474,0.108661475559161,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.3367518292728,0.185200154179038,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.116440894015951,0.0392274009136676,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.189468769418962,0.10820457794433,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.189417740138899,0.124610288402789,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.391477862578003,0.109661220744791,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.184292407045981,0.135680603741523,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.532458426472574,0.097000566518724,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.165620584417664,0.112704500989352,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.121444255773855,0.0784437702612696,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.0718962999194864,0.0898246682478152,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.342592830821723,0.100204511672059,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.392671426197962,0.11659642901671,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.320876856533279,0.0965331853287454,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.175043445986813,0.108787374537864,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.0175257978710259,0.167454434315394,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.291102629137423,0.186458039568001,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.026034479847763,0.0458964421704635,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.254590426092472,0.0542086648394959,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.147912782582182,0.0934168853011678,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.0184524859993475,0.0884911753350241,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.18364236474221,0.0804241177972442,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.0816972019584133,0.063543002454546,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.133550258667619,0.0823076071164899,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.0190170761773163,0.0762035558889694,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.0990227759924486,0.133271670592232,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.171882193734077,0.108561983116661,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.0384843590034825,0.124923421402702,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.0775631894370167,0.108941043596867,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.0334899659288142,0.134689262100679,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.191471082147731,0.0955711172694921,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.161376492189847,0.112741471302482,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.0129219754318993,0.0779141217004609,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.0761535758836952,0.089031733540202,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.138592239588132,0.0978881381481153,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.144064669390978,0.11146833036142,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.0950771765341986,0.0955496487493075,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.114816857741466,0.109544334719587,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",0.0140427840291361,0.165242071318508,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_mu",-0.0999159109494048,0.184414089745206,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_zero",-4.26378438766117,0.234994856350969,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_zero",0.570691650332268,0.299197622656414,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_zero",-0.113621925255326,0.353887687214552,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_zero",-0.192760564798295,0.220629390802461,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_one",-2.5105467459432,0.334037200754432,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_one",-0.703131686798578,0.337528923985686,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_one",0.368683723584546,0.373003943210393,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_one",0.332521755351783,0.377483842027181,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_disp",1.08586949155034,0.0443718342932969,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_disp",0.439857678810181,0.0617897206364668,"BA-LB-LOSO-TUM","LOSO-TUM"
"beta_disp",-0.501083465483672,0.0664369631302941,"BA-LB-LOSO-TUM","LOSO-TUM"
"log_sd_mu_part",-1.07546261732713,0.116919909901809,"BA-LB-LOSO-TUM","LOSO-TUM"
