site,placement,participants,recorded_minutes,finite_melEDI
BAUA,glasses,19,208800,174065
BAUA,chest,22,234720,191588
FUSPCEU,glasses,23,262200,219549
FUSPCEU,chest,22,250680,210380
IZTECH,glasses,17,201600,168614
IZTECH,chest,17,201600,169109
KNUST,glasses,15,171360,134295
KNUST,chest,15,169920,134855
MPI,glasses,26,299640,242822
RISE,glasses,14,154020,125742
RISE,chest,17,197220,160812
THUAS,glasses,13,154020,127492
THUAS,chest,15,179940,151517
TUM,glasses,10,115200,93623
TUM,chest,10,115200,93606
UCR,glasses,6,69120,54855
UCR,chest,39,449280,369938
