site,modality,source_column,rows,missing_rows,nonmissing_rows,missing_fraction
BAUA,demographics,Id,24,0,24,0
BAUA,demographics,age,24,0,24,0
BAUA,demographics,sex,24,0,24,0
BAUA,demographics,gender,24,0,24,0
BAUA,demographics,native_language,24,0,24,0
BAUA,demographics,language_specification,24,23,1,0.9583333333333334
BAUA,demographics,employment_status,24,0,24,0
BAUA,demographics,comments,24,21,3,0.875
BAUA,chronotype,Id,24,0,24,0
BAUA,chronotype,meq_type,24,0,24,0
BAUA,chronotype,meq,24,0,24,0
BAUA,chronotype,msf_sc,24,0,24,0
BAUA,chronotype,sjl,24,0,24,0
BAUA,chronotype,so_w,24,0,24,0
BAUA,chronotype,so_f,24,0,24,0
BAUA,chronotype,sd_w,24,0,24,0
BAUA,chronotype,sd_f,24,0,24,0
BAUA,chronotype,msw,24,0,24,0
BAUA,chronotype,msf,24,0,24,0
BAUA,chronotype,sd_week,24,0,24,0
BAUA,chronotype,outdoor,24,0,24,0
BAUA,leba,Id,22,0,22,0
BAUA,leba,leba_f2,22,0,22,0
BAUA,leba,leba_f3,22,0,22,0
BAUA,leba,leba_f4,22,0,22,0
BAUA,leba,leba_f5,22,0,22,0
BAUA,leba,leba_f2_04,22,0,22,0
BAUA,leba,leba_f2_05,22,0,22,0
BAUA,leba,leba_f2_06,22,0,22,0
BAUA,leba,leba_f2_07,22,0,22,0
BAUA,leba,leba_f2_08,22,0,22,0
BAUA,leba,leba_f2_09,22,0,22,0
BAUA,leba,leba_f3_10,22,0,22,0
BAUA,leba,leba_f3_11,22,0,22,0
BAUA,leba,leba_f3_12,22,0,22,0
BAUA,leba,leba_f3_13,22,0,22,0
BAUA,leba,leba_f3_14,22,0,22,0
BAUA,leba,leba_f4_15,22,0,22,0
BAUA,leba,leba_f4_16,22,0,22,0
BAUA,leba,leba_f4_17,22,0,22,0
BAUA,leba,leba_f4_18,22,0,22,0
BAUA,leba,leba_f5_19,22,0,22,0
BAUA,leba,leba_f5_20,22,0,22,0
BAUA,leba,leba_f5_21,22,0,22,0
BAUA,leba,leba_f5_22,22,0,22,0
BAUA,leba,leba_f5_23,22,0,22,0
BAUA,vlsq8,Id,22,0,22,0
BAUA,vlsq8,VLSQ8,22,0,22,0
BAUA,vlsq8,sensitivity,22,0,22,0
BAUA,vlsq8,glare,22,0,22,0
BAUA,vlsq8,flicker,22,0,22,0
BAUA,vlsq8,sensitivity_severity,22,0,22,0
BAUA,vlsq8,headache,22,0,22,0
BAUA,vlsq8,blurry_vision,22,0,22,0
BAUA,vlsq8,ability,22,0,22,0
BAUA,vlsq8,glasses,22,0,22,0
BAUA,exercisediary,Id,132,0,132,0
BAUA,exercisediary,Date,132,0,132,0
BAUA,exercisediary,instructions,132,0,132,0
BAUA,exercisediary,intensity,132,0,132,0
BAUA,exercisediary,location,132,30,102,0.22727272727272727
BAUA,exercisediary,type,132,34,98,0.25757575757575757
BAUA,exercisediary,commute,132,0,132,0
BAUA,exercisediary,sedentary,132,0,132,0
BAUA,exercisediary,light_glasses,132,35,97,0.26515151515151514
BAUA,exercisediary,startdate_3,132,0,132,0
BAUA,exercisediary,enddate_3,132,0,132,0
BAUA,exercisediary,type_english,132,37,95,0.2803030303030303
BAUA,lightexposurediary,Id,3499,0,3499,0
BAUA,lightexposurediary,Date,3499,0,3499,0
BAUA,lightexposurediary,start,3499,0,3499,0
BAUA,lightexposurediary,end,3499,0,3499,0
BAUA,lightexposurediary,lightsource_primary,3499,7,3492,0.002000571591883395
BAUA,lightexposurediary,lightsource_secondary,3499,2215,1284,0.6330380108602458
BAUA,lightexposurediary,light_electric_indoor,3499,7,3492,0.002000571591883395
BAUA,lightexposurediary,light_electric_outdoor,3499,7,3492,0.002000571591883395
BAUA,lightexposurediary,light_daylight_indoor,3499,7,3492,0.002000571591883395
BAUA,lightexposurediary,light_daylight_outdoor,3499,7,3492,0.002000571591883395
BAUA,lightexposurediary,light_display,3499,7,3492,0.002000571591883395
BAUA,lightexposurediary,light_sleep_darkness,3499,7,3492,0.002000571591883395
BAUA,lightexposurediary,light_sleep_imission,3499,7,3492,0.002000571591883395
BAUA,lightexposurediary,act_sleep,3499,1,3498,2.857959416976279e-4
BAUA,lightexposurediary,act_home,3499,1,3498,2.857959416976279e-4
BAUA,lightexposurediary,act_road_vehicle,3499,1,3498,2.857959416976279e-4
BAUA,lightexposurediary,act_road_open,3499,1,3498,2.857959416976279e-4
BAUA,lightexposurediary,act_working_indoor,3499,1,3498,2.857959416976279e-4
BAUA,lightexposurediary,act_working_outdoor,3499,1,3498,2.857959416976279e-4
BAUA,lightexposurediary,act_free_outdoor,3499,1,3498,2.857959416976279e-4
BAUA,lightexposurediary,act_other,3499,1,3498,2.857959416976279e-4
BAUA,lightexposurediary,activity_desc,3499,3423,76,0.9782795084309803
BAUA,lightexposurediary,mhlea_confidence,3499,2015,1484,0.5758788225207202
BAUA,lightexposurediary,startdate,3499,2015,1484,0.5758788225207202
BAUA,lightexposurediary,activity_desc_english,3499,3446,53,0.9848528150900258
BAUA,sleepdiaries,Id,149,0,149,0
BAUA,sleepdiaries,bedtime,149,0,149,0
BAUA,sleepdiaries,sleepprep,149,0,149,0
BAUA,sleepdiaries,wake,149,0,149,0
BAUA,sleepdiaries,out_ofbed,149,0,149,0
BAUA,sleepdiaries,sleepdelay,149,0,149,0
BAUA,sleepdiaries,awakenings,149,0,149,0
BAUA,sleepdiaries,awake_duration,149,0,149,0
BAUA,sleepdiaries,sleepquality,149,0,149,0
BAUA,sleepdiaries,daytype2,149,0,149,0
BAUA,sleepdiaries,comments,149,0,149,0
BAUA,sleepdiaries,sleep,149,0,149,0
BAUA,sleepdiaries,sleep_duration,149,0,149,0
BAUA,sleepdiaries,comments_english,149,0,149,0
FUSPCEU,demographics,Id,23,0,23,0
FUSPCEU,demographics,age,23,0,23,0
FUSPCEU,demographics,sex,23,0,23,0
FUSPCEU,demographics,gender,23,0,23,0
FUSPCEU,demographics,native_language,23,0,23,0
FUSPCEU,demographics,language_specification,23,20,3,0.8695652173913043
FUSPCEU,demographics,employment_status,23,0,23,0
FUSPCEU,demographics,comments,23,22,1,0.9565217391304348
FUSPCEU,chronotype,Id,23,0,23,0
FUSPCEU,chronotype,meq_type,23,0,23,0
FUSPCEU,chronotype,meq,23,0,23,0
FUSPCEU,chronotype,msf_sc,23,1,22,0.043478260869565216
FUSPCEU,chronotype,sjl,23,1,22,0.043478260869565216
FUSPCEU,chronotype,so_w,23,0,23,0
FUSPCEU,chronotype,so_f,23,1,22,0.043478260869565216
FUSPCEU,chronotype,sd_w,23,0,23,0
FUSPCEU,chronotype,sd_f,23,1,22,0.043478260869565216
FUSPCEU,chronotype,msw,23,0,23,0
FUSPCEU,chronotype,msf,23,1,22,0.043478260869565216
FUSPCEU,chronotype,sd_week,23,1,22,0.043478260869565216
FUSPCEU,chronotype,outdoor,23,1,22,0.043478260869565216
FUSPCEU,leba,Id,23,0,23,0
FUSPCEU,leba,leba_f2,23,0,23,0
FUSPCEU,leba,leba_f3,23,0,23,0
FUSPCEU,leba,leba_f4,23,0,23,0
FUSPCEU,leba,leba_f5,23,0,23,0
FUSPCEU,leba,leba_f2_04,23,0,23,0
FUSPCEU,leba,leba_f2_05,23,0,23,0
FUSPCEU,leba,leba_f2_06,23,0,23,0
FUSPCEU,leba,leba_f2_07,23,0,23,0
FUSPCEU,leba,leba_f2_08,23,0,23,0
FUSPCEU,leba,leba_f2_09,23,0,23,0
FUSPCEU,leba,leba_f3_10,23,0,23,0
FUSPCEU,leba,leba_f3_11,23,0,23,0
FUSPCEU,leba,leba_f3_12,23,0,23,0
FUSPCEU,leba,leba_f3_13,23,0,23,0
FUSPCEU,leba,leba_f3_14,23,0,23,0
FUSPCEU,leba,leba_f4_15,23,0,23,0
FUSPCEU,leba,leba_f4_16,23,0,23,0
FUSPCEU,leba,leba_f4_17,23,0,23,0
FUSPCEU,leba,leba_f4_18,23,0,23,0
FUSPCEU,leba,leba_f5_19,23,0,23,0
FUSPCEU,leba,leba_f5_20,23,0,23,0
FUSPCEU,leba,leba_f5_21,23,0,23,0
FUSPCEU,leba,leba_f5_22,23,0,23,0
FUSPCEU,leba,leba_f5_23,23,0,23,0
FUSPCEU,vlsq8,Id,23,0,23,0
FUSPCEU,vlsq8,VLSQ8,23,0,23,0
FUSPCEU,vlsq8,sensitivity,23,0,23,0
FUSPCEU,vlsq8,glare,23,0,23,0
FUSPCEU,vlsq8,flicker,23,0,23,0
FUSPCEU,vlsq8,sensitivity_severity,23,0,23,0
FUSPCEU,vlsq8,headache,23,0,23,0
FUSPCEU,vlsq8,blurry_vision,23,0,23,0
FUSPCEU,vlsq8,ability,23,0,23,0
FUSPCEU,vlsq8,glasses,23,0,23,0
FUSPCEU,exercisediary,Id,119,0,119,0
FUSPCEU,exercisediary,Date,119,0,119,0
FUSPCEU,exercisediary,instructions,119,0,119,0
FUSPCEU,exercisediary,intensity,119,0,119,0
FUSPCEU,exercisediary,location,119,46,73,0.3865546218487395
FUSPCEU,exercisediary,type,119,47,72,0.3949579831932773
FUSPCEU,exercisediary,commute,119,0,119,0
FUSPCEU,exercisediary,sedentary,119,0,119,0
FUSPCEU,exercisediary,light_glasses,119,50,69,0.42016806722689076
FUSPCEU,exercisediary,startdate_3,119,0,119,0
FUSPCEU,exercisediary,enddate_3,119,0,119,0
FUSPCEU,exercisediary,type_english,119,47,72,0.3949579831932773
FUSPCEU,lightexposurediary,Id,3615,0,3615,0
FUSPCEU,lightexposurediary,Date,3615,0,3615,0
FUSPCEU,lightexposurediary,start,3615,0,3615,0
FUSPCEU,lightexposurediary,end,3615,0,3615,0
FUSPCEU,lightexposurediary,lightsource_primary,3615,371,3244,0.10262793914246196
FUSPCEU,lightexposurediary,lightsource_secondary,3615,2661,954,0.7360995850622407
FUSPCEU,lightexposurediary,light_electric_indoor,3615,371,3244,0.10262793914246196
FUSPCEU,lightexposurediary,light_electric_outdoor,3615,371,3244,0.10262793914246196
FUSPCEU,lightexposurediary,light_daylight_indoor,3615,371,3244,0.10262793914246196
FUSPCEU,lightexposurediary,light_daylight_outdoor,3615,371,3244,0.10262793914246196
FUSPCEU,lightexposurediary,light_display,3615,371,3244,0.10262793914246196
FUSPCEU,lightexposurediary,light_sleep_darkness,3615,371,3244,0.10262793914246196
FUSPCEU,lightexposurediary,light_sleep_imission,3615,371,3244,0.10262793914246196
FUSPCEU,lightexposurediary,act_sleep,3615,167,3448,0.04619640387275242
FUSPCEU,lightexposurediary,act_home,3615,167,3448,0.04619640387275242
FUSPCEU,lightexposurediary,act_road_vehicle,3615,167,3448,0.04619640387275242
FUSPCEU,lightexposurediary,act_road_open,3615,167,3448,0.04619640387275242
FUSPCEU,lightexposurediary,act_working_indoor,3615,167,3448,0.04619640387275242
FUSPCEU,lightexposurediary,act_working_outdoor,3615,167,3448,0.04619640387275242
FUSPCEU,lightexposurediary,act_free_outdoor,3615,167,3448,0.04619640387275242
FUSPCEU,lightexposurediary,act_other,3615,167,3448,0.04619640387275242
FUSPCEU,lightexposurediary,activity_desc,3615,3535,80,0.9778699861687413
FUSPCEU,lightexposurediary,mhlea_confidence,3615,1547,2068,0.427939142461964
FUSPCEU,lightexposurediary,startdate,3615,1547,2068,0.427939142461964
FUSPCEU,lightexposurediary,activity_desc_english,3615,3535,80,0.9778699861687413
FUSPCEU,sleepdiaries,Id,149,0,149,0
FUSPCEU,sleepdiaries,bedtime,149,0,149,0
FUSPCEU,sleepdiaries,sleepprep,149,0,149,0
FUSPCEU,sleepdiaries,wake,149,0,149,0
FUSPCEU,sleepdiaries,out_ofbed,149,0,149,0
FUSPCEU,sleepdiaries,sleepdelay,149,0,149,0
FUSPCEU,sleepdiaries,awakenings,149,0,149,0
FUSPCEU,sleepdiaries,awake_duration,149,0,149,0
FUSPCEU,sleepdiaries,sleepquality,149,0,149,0
FUSPCEU,sleepdiaries,daytype2,149,0,149,0
FUSPCEU,sleepdiaries,comments,149,6,143,0.040268456375838924
FUSPCEU,sleepdiaries,sleep,149,0,149,0
FUSPCEU,sleepdiaries,sleep_duration,149,0,149,0
FUSPCEU,sleepdiaries,comments_english,149,6,143,0.040268456375838924
IZTECH,demographics,Id,17,0,17,0
IZTECH,demographics,age,17,0,17,0
IZTECH,demographics,sex,17,0,17,0
IZTECH,demographics,gender,17,0,17,0
IZTECH,demographics,native_language,17,0,17,0
IZTECH,demographics,language_specification,17,17,0,1
IZTECH,demographics,employment_status,17,0,17,0
IZTECH,demographics,comments,17,17,0,1
IZTECH,chronotype,Id,17,0,17,0
IZTECH,chronotype,meq_type,17,0,17,0
IZTECH,chronotype,meq,17,0,17,0
IZTECH,chronotype,msf_sc,17,0,17,0
IZTECH,chronotype,sjl,17,0,17,0
IZTECH,chronotype,so_w,17,0,17,0
IZTECH,chronotype,so_f,17,0,17,0
IZTECH,chronotype,sd_w,17,0,17,0
IZTECH,chronotype,sd_f,17,0,17,0
IZTECH,chronotype,msw,17,0,17,0
IZTECH,chronotype,msf,17,0,17,0
IZTECH,chronotype,sd_week,17,0,17,0
IZTECH,chronotype,outdoor,17,0,17,0
IZTECH,leba,Id,17,0,17,0
IZTECH,leba,leba_f2,17,0,17,0
IZTECH,leba,leba_f3,17,0,17,0
IZTECH,leba,leba_f4,17,0,17,0
IZTECH,leba,leba_f5,17,0,17,0
IZTECH,leba,leba_f2_04,17,0,17,0
IZTECH,leba,leba_f2_05,17,0,17,0
IZTECH,leba,leba_f2_06,17,0,17,0
IZTECH,leba,leba_f2_07,17,0,17,0
IZTECH,leba,leba_f2_08,17,0,17,0
IZTECH,leba,leba_f2_09,17,0,17,0
IZTECH,leba,leba_f3_10,17,0,17,0
IZTECH,leba,leba_f3_11,17,0,17,0
IZTECH,leba,leba_f3_12,17,0,17,0
IZTECH,leba,leba_f3_13,17,0,17,0
IZTECH,leba,leba_f3_14,17,0,17,0
IZTECH,leba,leba_f4_15,17,0,17,0
IZTECH,leba,leba_f4_16,17,0,17,0
IZTECH,leba,leba_f4_17,17,0,17,0
IZTECH,leba,leba_f4_18,17,0,17,0
IZTECH,leba,leba_f5_19,17,0,17,0
IZTECH,leba,leba_f5_20,17,0,17,0
IZTECH,leba,leba_f5_21,17,0,17,0
IZTECH,leba,leba_f5_22,17,0,17,0
IZTECH,leba,leba_f5_23,17,0,17,0
IZTECH,vlsq8,Id,17,0,17,0
IZTECH,vlsq8,VLSQ8,17,0,17,0
IZTECH,vlsq8,sensitivity,17,0,17,0
IZTECH,vlsq8,glare,17,0,17,0
IZTECH,vlsq8,flicker,17,0,17,0
IZTECH,vlsq8,sensitivity_severity,17,0,17,0
IZTECH,vlsq8,headache,17,0,17,0
IZTECH,vlsq8,blurry_vision,17,0,17,0
IZTECH,vlsq8,ability,17,0,17,0
IZTECH,vlsq8,glasses,17,0,17,0
IZTECH,exercisediary,Id,116,0,116,0
IZTECH,exercisediary,Date,116,0,116,0
IZTECH,exercisediary,instructions,116,0,116,0
IZTECH,exercisediary,intensity,116,0,116,0
IZTECH,exercisediary,location,116,42,74,0.3620689655172414
IZTECH,exercisediary,type,116,45,71,0.3879310344827586
IZTECH,exercisediary,commute,116,0,116,0
IZTECH,exercisediary,sedentary,116,5,111,0.04310344827586207
IZTECH,exercisediary,light_glasses,116,45,71,0.3879310344827586
IZTECH,exercisediary,startdate_3,116,0,116,0
IZTECH,exercisediary,enddate_3,116,0,116,0
IZTECH,exercisediary,type_english,116,45,71,0.3879310344827586
IZTECH,lightexposurediary,Id,2754,0,2754,0
IZTECH,lightexposurediary,Date,2754,0,2754,0
IZTECH,lightexposurediary,start,2754,0,2754,0
IZTECH,lightexposurediary,end,2754,0,2754,0
IZTECH,lightexposurediary,lightsource_primary,2754,0,2754,0
IZTECH,lightexposurediary,lightsource_secondary,2754,1469,1285,0.5334059549745824
IZTECH,lightexposurediary,light_electric_indoor,2754,0,2754,0
IZTECH,lightexposurediary,light_electric_outdoor,2754,0,2754,0
IZTECH,lightexposurediary,light_daylight_indoor,2754,0,2754,0
IZTECH,lightexposurediary,light_daylight_outdoor,2754,0,2754,0
