site,modality,release,rows
BAUA,demographics,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,24
BAUA,chronotype,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,24
BAUA,leba,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,22
BAUA,vlsq8,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,22
BAUA,exercisediary,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,132
BAUA,lightexposurediary,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,3499
BAUA,sleepdiaries,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,149
FUSPCEU,demographics,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,23
FUSPCEU,chronotype,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,23
FUSPCEU,leba,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,23
FUSPCEU,vlsq8,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,23
FUSPCEU,exercisediary,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,119
FUSPCEU,lightexposurediary,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,3615
FUSPCEU,sleepdiaries,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,149
IZTECH,demographics,15b1150ce0c62339d299de24359b4257218560d8,17
IZTECH,chronotype,15b1150ce0c62339d299de24359b4257218560d8,17
IZTECH,leba,15b1150ce0c62339d299de24359b4257218560d8,17
IZTECH,vlsq8,15b1150ce0c62339d299de24359b4257218560d8,17
IZTECH,exercisediary,15b1150ce0c62339d299de24359b4257218560d8,116
IZTECH,lightexposurediary,15b1150ce0c62339d299de24359b4257218560d8,2754
IZTECH,sleepdiaries,15b1150ce0c62339d299de24359b4257218560d8,137
KNUST,demographics,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,15
KNUST,chronotype,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,15
KNUST,leba,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,15
KNUST,vlsq8,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,15
KNUST,exercisediary,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,104
KNUST,lightexposurediary,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,2520
KNUST,sleepdiaries,ea49a38edfb1f6397302f37776a4496ed0ca2dd5,104
MPI,demographics,cd0099b0eed758692bdc9f23071d4a052ff8f72f,26
MPI,chronotype,cd0099b0eed758692bdc9f23071d4a052ff8f72f,26
MPI,leba,cd0099b0eed758692bdc9f23071d4a052ff8f72f,26
MPI,vlsq8,cd0099b0eed758692bdc9f23071d4a052ff8f72f,26
MPI,exercisediary,cd0099b0eed758692bdc9f23071d4a052ff8f72f,180
MPI,lightexposurediary,cd0099b0eed758692bdc9f23071d4a052ff8f72f,4161
MPI,sleepdiaries,cd0099b0eed758692bdc9f23071d4a052ff8f72f,182
RISE,demographics,12ca7139b78949ab84e0be92822d03910c1e47c8,17
RISE,chronotype,12ca7139b78949ab84e0be92822d03910c1e47c8,17
RISE,leba,12ca7139b78949ab84e0be92822d03910c1e47c8,17
RISE,vlsq8,12ca7139b78949ab84e0be92822d03910c1e47c8,17
RISE,exercisediary,12ca7139b78949ab84e0be92822d03910c1e47c8,103
RISE,lightexposurediary,12ca7139b78949ab84e0be92822d03910c1e47c8,2883
RISE,sleepdiaries,12ca7139b78949ab84e0be92822d03910c1e47c8,117
THUAS,demographics,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,20
THUAS,chronotype,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,15
THUAS,leba,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,15
THUAS,vlsq8,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,15
THUAS,exercisediary,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,95
THUAS,lightexposurediary,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,2916
THUAS,sleepdiaries,19bf83f353e1cbdd33cd22621b2484bc3ead0c7d,101
TUM,demographics,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,10
TUM,chronotype,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,10
TUM,leba,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,10
TUM,vlsq8,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,10
TUM,exercisediary,618fda8521f3cf581661ceb2c026e3de7cd9ba82,70
TUM,lightexposurediary,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,1680
TUM,sleepdiaries,eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57,70
UCR,demographics,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,39
UCR,chronotype,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,39
UCR,leba,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,39
UCR,vlsq8,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,39
UCR,exercisediary,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,255
UCR,lightexposurediary,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,6171
UCR,sleepdiaries,ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3,267
