decision_id,decision_date,frame_id,placement,placement_label,metric_id,instrument_id,figure,domain,numeric_screen_assessment,source_residual_screen_assessment,author_final_assessment,numeric_flag_overridden,rationale
H09-002,2026-08-10,primary__chest__all_available__first_timing_above_250__MCTQ,chest,Chest,first_timing_above_250,MCTQ,Figure 3,Residual heteroscedasticity,acceptable,acceptable,acceptable,FALSE,Author visual inspection of the response and residual distributions and heteroscedasticity in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
H09-002,2026-08-10,primary__chest__all_available__first_timing_above_250__MCTQ,chest,Chest,first_timing_above_250,MCTQ,Figure 3,Response and residual distribution,not acceptable,not acceptable,acceptable,TRUE,Author visual inspection of the response and residual distributions in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
H09-002,2026-08-10,primary__chest__all_available__first_timing_above_250__MEQ,chest,Chest,first_timing_above_250,MEQ,Figure 3,Residual heteroscedasticity,acceptable,acceptable,acceptable,FALSE,Author visual inspection of the response and residual distributions and heteroscedasticity in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
H09-002,2026-08-10,primary__chest__all_available__first_timing_above_250__MEQ,chest,Chest,first_timing_above_250,MEQ,Figure 3,Response and residual distribution,not acceptable,not acceptable,acceptable,TRUE,Author visual inspection of the response and residual distributions in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
H09-002,2026-08-10,primary__chest__all_available__l10_midpoint__MCTQ,chest,Chest,l10_midpoint,MCTQ,Figure 3,Residual heteroscedasticity,acceptable,acceptable,acceptable,FALSE,Author visual inspection of the response and residual distributions and heteroscedasticity in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
H09-002,2026-08-10,primary__chest__all_available__l10_midpoint__MCTQ,chest,Chest,l10_midpoint,MCTQ,Figure 3,Response and residual distribution,not acceptable,not acceptable,acceptable,TRUE,Author visual inspection of the response and residual distributions in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
H09-002,2026-08-10,primary__chest__all_available__l10_midpoint__MEQ,chest,Chest,l10_midpoint,MEQ,Figure 3,Residual heteroscedasticity,acceptable,acceptable,acceptable,FALSE,Author visual inspection of the response and residual distributions and heteroscedasticity in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
H09-002,2026-08-10,primary__chest__all_available__l10_midpoint__MEQ,chest,Chest,l10_midpoint,MEQ,Figure 3,Response and residual distribution,not acceptable,not acceptable,acceptable,TRUE,Author visual inspection of the response and residual distributions in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
H09-002,2026-08-10,primary__chest__all_available__last_timing_above_250__MCTQ,chest,Chest,last_timing_above_250,MCTQ,Figure 3,Residual heteroscedasticity,acceptable,acceptable,acceptable,FALSE,Author visual inspection of the response and residual distributions and heteroscedasticity in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
H09-002,2026-08-10,primary__chest__all_available__last_timing_above_250__MCTQ,chest,Chest,last_timing_above_250,MCTQ,Figure 3,Response and residual distribution,acceptable,acceptable,acceptable,FALSE,Author visual inspection of the response and residual distributions in Figures 2 and 3 judged them good enough; the quantitative screen remains recorded as an audit flag rather than the final scientific acceptability verdict.
