frame_id,run_id,metric_id,instrument_id,observations,row_key_hash,fit_id,estimation,fit_status,converged,optimizer_code,positive_definite_hessian,minimum_hessian_eigenvalue,max_gradient,singular,fixed_rank,fixed_columns,fixed_full_rank,warning_message,error_message
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,722,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,ML_M0_site_only,ML,FITTED,TRUE,0,TRUE,527.10723876953125,9.235918696504086e-6,FALSE,9,9,TRUE,,
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,722,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,ML_M1_main,ML,FITTED,TRUE,0,TRUE,537.8143310546875,3.296918293926865e-7,FALSE,10,10,TRUE,,
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,722,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,ML_M2_interaction,ML,FITTED,TRUE,0,TRUE,544.82232666015625,5.2591531130019575e-6,FALSE,18,18,TRUE,,
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,722,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,REML_M1_main,REML,FITTED,TRUE,0,TRUE,491.7425537109375,9.231371222995222e-7,FALSE,10,10,TRUE,,
primary__glasses__all_available__first_timing_above_250__MCTQ,primary__glasses__all_available,first_timing_above_250,MCTQ,722,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,REML_M2_interaction,REML,FITTED,TRUE,0,TRUE,462.3714599609375,3.296918293926865e-7,FALSE,18,18,TRUE,,
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,727,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,ML_M0_site_only,ML,FITTED,TRUE,0,TRUE,537.60357666015625,5.6343196774832904e-6,FALSE,9,9,TRUE,,
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,727,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,ML_M1_main,ML,FITTED,TRUE,0,TRUE,548.731689453125,1.2391865311656147e-6,FALSE,10,10,TRUE,,
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,727,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,ML_M2_interaction,ML,FITTED,TRUE,0,TRUE,558.0986328125,2.7284841053187847e-6,FALSE,18,18,TRUE,,
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,727,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,REML_M1_main,REML,FITTED,TRUE,0,TRUE,503.729736328125,1.2892087397631258e-6,FALSE,10,10,TRUE,,
primary__glasses__all_available__first_timing_above_250__MEQ,primary__glasses__all_available,first_timing_above_250,MEQ,727,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,REML_M2_interaction,REML,FITTED,TRUE,0,TRUE,478.45660400390625,1.2596501619555056e-6,FALSE,18,18,TRUE,,
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,810,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,ML_M0_site_only,ML,FITTED,TRUE,0,TRUE,637.40234375,2.580691216280684e-6,FALSE,9,9,TRUE,,
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,810,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,ML_M1_main,ML,FITTED,TRUE,0,TRUE,657.5648193359375,5.093170329928398e-7,FALSE,10,10,TRUE,,
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,810,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,ML_M2_interaction,ML,FITTED,TRUE,0,TRUE,662.04742431640625,5.020410753786564e-6,FALSE,18,18,TRUE,,
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,810,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,REML_M1_main,REML,FITTED,TRUE,0,TRUE,604.31646728515625,2.426077116979286e-6,FALSE,10,10,TRUE,,
primary__glasses__all_available__l10_midpoint__MCTQ,primary__glasses__all_available,l10_midpoint,MCTQ,810,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,REML_M2_interaction,REML,FITTED,TRUE,0,TRUE,572.5460205078125,4.508819984039292e-6,FALSE,18,18,TRUE,,
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,816,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,ML_M0_site_only,ML,FITTED,TRUE,0,TRUE,641.51995849609375,2.5784174795262516e-6,FALSE,9,9,TRUE,,
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,816,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,ML_M1_main,ML,FITTED,TRUE,0,TRUE,655.09918212890625,2.780780050670728e-6,FALSE,10,10,TRUE,,
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,816,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,ML_M2_interaction,ML,FITTED,TRUE,0,TRUE,657.76507568359375,1.5802470443304628e-6,FALSE,18,18,TRUE,,
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,816,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,REML_M1_main,REML,FITTED,TRUE,0,TRUE,603.5150146484375,6.552909326273948e-6,FALSE,10,10,TRUE,,
primary__glasses__all_available__l10_midpoint__MEQ,primary__glasses__all_available,l10_midpoint,MEQ,816,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,REML_M2_interaction,REML,FITTED,TRUE,0,TRUE,564.051025390625,5.743459041696042e-6,FALSE,18,18,TRUE,,
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,683,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,ML_M0_site_only,ML,FITTED,TRUE,0,TRUE,502.90966796875,7.1167960413731635e-6,FALSE,9,9,TRUE,,
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,683,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,ML_M1_main,ML,FITTED,TRUE,0,TRUE,500.83233642578125,5.845777195645496e-6,FALSE,10,10,TRUE,,
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,683,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,ML_M2_interaction,ML,FITTED,TRUE,0,TRUE,503.97064208984375,8.276401786133647e-7,FALSE,18,18,TRUE,,
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,683,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,REML_M1_main,REML,FITTED,TRUE,0,TRUE,460.6129150390625,1.4483703125733882e-6,FALSE,10,10,TRUE,,
primary__glasses__all_available__last_timing_above_250__MCTQ,primary__glasses__all_available,last_timing_above_250,MCTQ,683,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,REML_M2_interaction,REML,FITTED,TRUE,0,TRUE,432.8709716796875,3.7039171729702502e-6,FALSE,18,18,TRUE,,
