run_id,metric_order,metric_id,site,participants,participant_days,metric_support_valid_hours,metric_support_expected_hours,display_order,display_name
gap_timing_unaware__chest__all_available,1,daily_geometric_mean_medi,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__all_available,1,daily_geometric_mean_medi,THUAS,15,94,,,2,Delft (NL)
gap_timing_unaware__chest__all_available,1,daily_geometric_mean_medi,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__all_available,1,daily_geometric_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__all_available,1,daily_geometric_mean_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__all_available,1,daily_geometric_mean_medi,IZTECH,17,103,,,7,Izmir (TR)
gap_timing_unaware__chest__all_available,1,daily_geometric_mean_medi,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__all_available,1,daily_geometric_mean_medi,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__all_available,2,m10_mean_medi,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__all_available,2,m10_mean_medi,THUAS,15,94,,,2,Delft (NL)
gap_timing_unaware__chest__all_available,2,m10_mean_medi,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__all_available,2,m10_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__all_available,2,m10_mean_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__all_available,2,m10_mean_medi,IZTECH,17,103,,,7,Izmir (TR)
gap_timing_unaware__chest__all_available,2,m10_mean_medi,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__all_available,2,m10_mean_medi,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__all_available,3,l10_mean_medi,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__all_available,3,l10_mean_medi,THUAS,15,94,,,2,Delft (NL)
gap_timing_unaware__chest__all_available,3,l10_mean_medi,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__all_available,3,l10_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__all_available,3,l10_mean_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__all_available,3,l10_mean_medi,IZTECH,17,103,,,7,Izmir (TR)
gap_timing_unaware__chest__all_available,3,l10_mean_medi,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__all_available,3,l10_mean_medi,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__all_available,4,duration_above_1000,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__all_available,4,duration_above_1000,THUAS,15,94,,,2,Delft (NL)
gap_timing_unaware__chest__all_available,4,duration_above_1000,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__all_available,4,duration_above_1000,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__all_available,4,duration_above_1000,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__all_available,4,duration_above_1000,IZTECH,17,103,,,7,Izmir (TR)
gap_timing_unaware__chest__all_available,4,duration_above_1000,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__all_available,4,duration_above_1000,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__all_available,5,duration_above_250_wake,RISE,16,90,,,1,Borås (SE)
gap_timing_unaware__chest__all_available,5,duration_above_250_wake,THUAS,14,80,,,2,Delft (NL)
gap_timing_unaware__chest__all_available,5,duration_above_250_wake,BAUA,20,99,,,3,Dortmund (DE)
