"classification","path","sha256","bytes","status"
"control","audit/report_harmonization/owner_orders/33d_h02_missing_argument_walker_and_final_verifier.md","eb6214469a241776217e42b875a2b4e4063e7fdea072385d19487c9372915432",5131,"PASS"
"control","audit/report_harmonization/owner_orders/33e_h02_fresh_baseline_order33d_continuation.md","2a5c7f6168a661928f33db939eb6c2ca1d5ff4c7edeab68319917df3e0e65f49",4121,"PASS"
"control","audit/report_harmonization/report017_h02_order33c_walker_stop_independent_acceptance.md","78b7e5dfa7f734e1304c1c35f64857829cd916f7d63c2ed198d6535e8894e991",2966,"PASS"
"control","audit/report_harmonization/report017_h02_order33d_dispatch_manifest.csv","712ef5269c2d592b1956c67bb2ee8e23cdc8fcb2b12e50611479c4398d68be17",5069,"PASS"
"control","audit/report_harmonization/report017_h02_order33e_dispatch_manifest.csv","5941326708c5671f278bd56c2d640c3b6979970d712cd63f9480c0ab5ee56e31",1965,"PASS"
"recovery","audit/report_harmonization/report017_h02_order33e_baseline_recovery_verification.md","3c215925a756d7900f622856ad617f120634948687b018a820adb08c05ae2e09",4367,"PASS"
"recovery","audit/report_harmonization/report017_h02_order33e_fresh_baseline_inventory.csv","0cff837c068f84fe1142f8214358bc9c75120d525d8ed36262bdf6e817a82d0d",1030,"PASS"
"recovery","scripts/report_harmonization/reconstruct_h02_order33_baseline_from_git_blobs.R","72d050737e2b294286b93080563de025ddd809a631acfb47064cf69f5acfc607",4162,"PASS"
"recovery","/private/tmp/H02-order33-recovered.7uqdRv/H02_order33_reconstructed_baseline_inventory.csv","39200f8f0758390e09a25449a9262cfb6eed34bcb1d1eea832bd0662834da7e7",1088,"PASS"
"corrected_test","tests/hypotheses/H02/test_h02_preparation_report.R","ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8",14895,"PASS"
"preserved_source","notebooks/hypotheses/H02.qmd","4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d",57148,"PASS"
"preserved_source","audit/hypotheses/H02/H02_analysis_preparation.qmd","92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1",55146,"PASS"
"preserved_source","tests/hypotheses/H02/test_h02_reader_report.R","0b044d2995645f6cfa50e28e2bdf330b8801002761a84520b169a1a3eb6771db",16044,"PASS"
"preserved_source","tests/hypotheses/H02/test_h02_paired_placement_display.R","873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a",3790,"PASS"
"preserved_source","audit/handoffs/H02_worker_handoff.md","fbb74b2ed98756e1e8eb7f4b0be14cc8ec4a1873d766c1828390ebd9f5793441",45489,"PASS"
"historical_render","artifacts/12_manifests/H02/H02_preparation_report_manifest.csv","c2e8c5a3b4fcebe53f3f813aa75fac6d3d960384333f59dd1b1501d90b08aaf7",12457,"PASS"
"historical_render","artifacts/12_manifests/H02/H02_worker_output_hashes.csv","0f3a96ab08f7fed2b59eb4a45f203297483919b3067bee560c9e239693242331",40049,"PASS"
"historical_render","_build/nathealth/notebooks/hypotheses/H02.html","df73f2f87d6d3bdc9acd44493a113e18b510884f0ecb8e2214b39dc3d71cb164",270001,"PASS"
"historical_render","_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html","d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa",580722,"PASS"
"shared_preserved","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"PASS"
"shared_preserved","renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"PASS"
"snapshot_manifest","audit/hypotheses/H02/H02_order33c_stopped_snapshot_manifest.csv","c49590c4557cfde17588fa904e7e464ce7db7cdb65b38a304204533a80d66fb5",3407,"PASS"
"stopped_snapshot","audit/hypotheses/H02/report017_order33c_stopped/H02_order33_current_identities.csv","f3a80a10311faf8e3471c55293f804a5a1d221aed82d7fc854e5c5f63d403739",4833,"PASS"
"stopped_snapshot","audit/hypotheses/H02/report017_order33c_stopped/H02_order33_execution_record.md","850b07056c1f6191d5890f33ec41a79d0189327449ebfb0af3daf2638d6970d6",2420,"PASS"
"stopped_snapshot","audit/hypotheses/H02/report017_order33c_stopped/H02_order33_historical_manifest_mismatches.csv","e1a2b595f9d87c8cf0bb20b4f8fd3e33834e2dfe92f5d0083dae3fbd760ff15a",966,"PASS"
"stopped_snapshot","audit/hypotheses/H02/report017_order33c_stopped/H02_order33_package_versions.csv","91508a52bccf6eb750c0259ef04d02dddcd1e34a8df06b87e6c8c9949f51d6a3",109,"PASS"
"stopped_snapshot","audit/hypotheses/H02/report017_order33c_stopped/H02_order33_protected_inventory.csv","4dd4e1761f69199bc6fd52e1ed45be6791b4f1ff4140a9b6c3cc1c4025401ea8",6210,"PASS"
"stopped_snapshot","audit/hypotheses/H02/report017_order33c_stopped/H02_order33_reverse_proof.csv","d7053d3d4244742710850bed71b2d391a0d26188884f0e8f3529be10d4756070",11638,"PASS"
"stopped_snapshot","audit/hypotheses/H02/report017_order33c_stopped/H02_order33_scoped_status.txt","7bdc0541d1395e7f8ae4b3176d85afe640a5b7895b7dd9c246a0264ab3c39ef8",346,"PASS"
"stopped_snapshot","audit/hypotheses/H02/report017_order33c_stopped/H02_order33_source_audit.csv","47f258e8221979a726debdbc2fd72a8ac953c19e63cca046d79566b846053d72",16897,"PASS"
"stopped_snapshot","audit/hypotheses/H02/report017_order33c_stopped/H02_order33_source_diff.patch","c79b040cc872a8a82926db188f361cc6ba26c65e233a81ae2f50925384b3f06e",75740,"PASS"
