"check","pass"
"source_manifest_exact",TRUE
"input_files_exact",TRUE
"parent_serialization_exact",TRUE
"original13of14_status_retained",TRUE
"central64_checks_exact",TRUE
"2894_saved_rows_all2298_parents",TRUE
"14_original_constructs_with_explicit_date_classification",TRUE
"typed_wake_dates_exact",TRUE
"inherited_label_preserved",TRUE
"all_inherited_metadata_values_exact",TRUE
"all_parent_counts_exact",TRUE
"complete_factor_and_matrix_support",TRUE
"exact_calendar_cluster_and_boundary_flags",TRUE
"no_calendar_fit_yet",TRUE
