metric_order,metric_id,manuscript_name,abbreviation,predictor,placement,standardized_estimate_gap_timing_unaware,standardized_estimate_primary,standardized_conf_low_gap_timing_unaware,standardized_conf_low_primary,standardized_conf_high_gap_timing_unaware,standardized_conf_high_primary,participants_gap_timing_unaware,participants_primary,participant_days_gap_timing_unaware,participant_days_primary,placement_label,predictor_label
1,interdaily_stability,Interdaily stability,IS,age,chest,0.08590605721209817,0.10063607967989088,-0.08038443465435216,-0.0661999789470544,0.25219654907854844,0.26747213830683614,153,153,,,Chest,Age per 10 years
2,intradaily_variability,Intradaily variability,IV,age,chest,-0.1207294310823976,-0.10953589856670908,-0.28457792273297366,-0.2706511539487967,0.04311906056817848,0.05157935681537858,153,153,,,Chest,Age per 10 years
3,daily_geometric_mean_medi,Mean melEDI,Mean,age,chest,0.14827435643588752,0.14639090229504184,0.04145530123853288,0.03978030695108577,0.2550934116332422,0.25300149763899793,154,154,894,894,Chest,Age per 10 years
4,m10_mean_medi,Brightest 10 h mean,M10mean,age,chest,0.19322145476523664,0.18663715928083727,0.09685566860832943,0.08987198520637807,0.28958724092214383,0.28340233335529647,154,154,894,894,Chest,Age per 10 years
5,l10_mean_medi,Darkest 10 h mean,L10mean,age,chest,-0.08490651692553614,-0.08985338355835416,-0.19907815853155644,-0.20431459075655645,0.02926512468048417,0.02460782363984813,154,154,894,894,Chest,Age per 10 years
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,age,chest,0.18789554759421576,0.1843293679631696,0.11468100748019748,0.11197809691136752,0.261110087708234,0.25668063901497173,154,154,894,894,Chest,Age per 10 years
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,age,chest,0.06574615287147204,0.06435899827229287,0.02740370518926418,0.02626447957179761,0.10408860055367988,0.10245351697278816,153,153,800,800,Chest,Age per 10 years
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,age,chest,-0.10487853283368384,-0.10616384052097624,-0.21358353654885895,-0.2149089271347801,0.00382647088149126,0.00258124609282764,153,153,740,740,Chest,Age per 10 years
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,age,chest,0.00632256826516021,0.0068985010395372,-0.00852522230522151,-0.00794632823265114,0.02117035883554194,0.02174333031172556,154,154,853,853,Chest,Age per 10 years
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,age,chest,0.18721679295429075,0.1907461436797633,0.0922092916138928,0.09739653948015804,0.2822242942946887,0.2840957478793686,154,154,894,894,Chest,Age per 10 years
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,age,chest,-0.01874167322825719,-0.00754681177872229,-0.10330668356943508,-0.09052646999042274,0.0658233371129207,0.07543284643297817,154,154,894,894,Chest,Age per 10 years
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,age,chest,-0.02071467658205592,0.00763138138016825,-0.11168181195707644,-0.08694012276063683,0.07025245879296461,0.10220288552097335,154,154,894,894,Chest,Age per 10 years
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,age,chest,-0.02109425740081756,-0.02126405071809349,-0.09907430779581586,-0.09919807534431968,0.05688579299418074,0.05666997390813266,154,154,826,826,Chest,Age per 10 years
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,age,chest,-0.10312477219594716,-0.1034237393852436,-0.1970722464498774,-0.1976510870889432,-0.00917729794201691,-0.00919639168154398,154,154,795,795,Chest,Age per 10 years
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,age,chest,0.05801585859768014,0.05690715090477789,-0.04059664465555108,-0.0407827780245673,0.15662836185091136,0.15459707983412307,154,154,784,784,Chest,Age per 10 years
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,age,chest,0.2208526979856766,0.21693548180435865,0.1286365569251016,0.12468461051781904,0.31306883904625166,0.3091863530908982,154,154,847,847,Chest,Age per 10 years
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,age,chest,0.05965454582977315,0.0608494150294885,-0.17420669760752802,-0.1702014728736643,0.29351578926707433,0.2919003029326413,152,152,723,723,Chest,Age per 10 years
1,interdaily_stability,Interdaily stability,IS,biological_sex,chest,0.09519165244918704,0.10328656373759942,-0.2341623525415703,-0.22751681701595344,0.4245456574399444,0.43408994449115224,153,153,,,Chest,Female minus Male
2,intradaily_variability,Intradaily variability,IV,biological_sex,chest,0.22387694147134793,0.13997980553956868,-0.10012185913652576,-0.1794939493492165,0.5478757420792216,0.45945356042835384,153,153,,,Chest,Female minus Male
3,daily_geometric_mean_medi,Mean melEDI,Mean,biological_sex,chest,-0.29369926522390416,-0.29175399036415317,-0.5055816515586659,-0.5031555535215413,-0.08181687888914244,-0.08035242720676503,154,154,894,894,Chest,Female minus Male
4,m10_mean_medi,Brightest 10 h mean,M10mean,biological_sex,chest,-0.1867298322617912,-0.21710647154093152,-0.3858140902216912,-0.4154507097312966,0.01235442569810873,-0.01876223335056637,154,154,894,894,Chest,Female minus Male
5,l10_mean_medi,Darkest 10 h mean,L10mean,biological_sex,chest,-0.34751144499079983,-0.36294176768664344,-0.5681848658511015,-0.5837670771007425,-0.12683802413049816,-0.14211645827254438,154,154,894,894,Chest,Female minus Male
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,biological_sex,chest,-0.11823887521827324,-0.11634525011566632,-0.2765339101906205,-0.27265521633148293,0.04005615975407404,0.03996471610015024,154,154,894,894,Chest,Female minus Male
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,biological_sex,chest,-0.05488119785808772,-0.05488676897421594,-0.13427790528080963,-0.13368184409450598,0.02451550956463417,0.02390830614607409,153,153,800,800,Chest,Female minus Male
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,biological_sex,chest,0.01298856294358435,0.01402544246126992,-0.20459548440357336,-0.2037045601146792,0.23057261029074205,0.2317554450372191,153,153,740,740,Chest,Female minus Male
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,biological_sex,chest,0.03041527139472435,0.03052570159933576,0.00128367696158266,0.00138483032632994,0.05954686582786604,0.05966657287234157,154,154,853,853,Chest,Female minus Male
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,biological_sex,chest,-0.17056470125884823,-0.16636670267260073,-0.36651511188992225,-0.35959635085136665,0.02538570937222581,0.02686294550616514,154,154,894,894,Chest,Female minus Male
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,biological_sex,chest,0.07807948434470141,0.07819484962400756,-0.08918699313520238,-0.08589756544956006,0.24534596182460525,0.24228726469757517,154,154,894,894,Chest,Female minus Male
