run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit.x,response_family.x,response_transform.x,equal_site_estimate_model,observed_sample_estimate_model,equal_site_estimate_practical,observed_sample_estimate_practical,practical_difference,observed_site_weights,analysis_unit.y,response_family.y,response_transform.y,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label,analysis_unit_label,run_order,run_label,data_label,placement_label,sample_label
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,-0.8059788023875795,-0.7947830209489852,0.3087480498481945,0.3111425858615037,0.00239453601330918,BAUA=0.12765957;FUSPCEU=0.16312057;IZTECH=0.12056738;KNUST=0.10638298;MPI=0.18439716;RISE=0.092198582;THUAS=0.092198582;TUM=0.070921986;UCR=0.042553191,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,1.253352527403493,1.229035231172599,1.253352527403493,1.229035231172599,-0.02431729623089396,BAUA=0.12765957;FUSPCEU=0.16312057;IZTECH=0.12056738;KNUST=0.10638298;MPI=0.18439716;RISE=0.092198582;THUAS=0.092198582;TUM=0.070921986;UCR=0.042553191,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,0.6762436998255396,0.6904602662077581,4.645081758893227,4.802981631462607,0.15789987256937987,BAUA=0.13112745;FUSPCEU=0.15808824;IZTECH=0.12377451;KNUST=0.099264706;MPI=0.18382353;RISE=0.095588235;THUAS=0.095588235;TUM=0.073529412;UCR=0.039215686,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,1.9178566662015428,1.943580681278954,82.66689562018551,87.71742152063341,5.050525900447894,BAUA=0.13112745;FUSPCEU=0.15808824;IZTECH=0.12377451;KNUST=0.099264706;MPI=0.18382353;RISE=0.095588235;THUAS=0.095588235;TUM=0.073529412;UCR=0.039215686,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,Influence and upper-tail checks,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,-0.6321893837144699,-0.6356075358345135,0.13324407281136535,0.13141551061743864,-0.00182856219392671,BAUA=0.13112745;FUSPCEU=0.15808824;IZTECH=0.12377451;KNUST=0.099264706;MPI=0.18382353;RISE=0.095588235;THUAS=0.095588235;TUM=0.073529412;UCR=0.039215686,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,High-risk exact-zero and residual checks,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,6,duration_above_1000,participant_day,tweedie_log,identity,-0.17962980636640646,-0.11492544571640684,0.8355794803670341,0.8914326015484296,0.05585312118139551,BAUA=0.13112745;FUSPCEU=0.15808824;IZTECH=0.12377451;KNUST=0.099264706;MPI=0.18382353;RISE=0.095588235;THUAS=0.095588235;TUM=0.073529412;UCR=0.039215686,participant_day,tweedie_log,identity,ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks","Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,7,duration_above_250_wake,participant_day,tweedie_log,identity,0.8783973571506795,0.9329161248794412,2.407038989743619,2.541910909830379,0.13487192008676008,BAUA=0.12211669;FUSPCEU=0.15332429;IZTECH=0.1275441;KNUST=0.10583446;MPI=0.19131615;RISE=0.099050204;THUAS=0.086838535;TUM=0.073270014;UCR=0.040705563,participant_day,tweedie_log,identity,ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,1.915143591938904,1.850023373720687,1.915143591938904,1.850023373720687,-0.0651202182182169,BAUA=0.12824427;FUSPCEU=0.16030534;IZTECH=0.12519084;KNUST=0.088549618;MPI=0.20152672;RISE=0.10229008;THUAS=0.076335878;TUM=0.079389313;UCR=0.038167939,participant_day,gaussian,identity,difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian response model,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Gaussian on the identity scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,1.9319156987021244,1.9380516635475016,6.902721117397974,6.945206181645071,0.04248506424709752,BAUA=0.12210797;FUSPCEU=0.15167095;IZTECH=0.12724936;KNUST=0.10411311;MPI=0.19280206;RISE=0.097686375;THUAS=0.087403599;TUM=0.077120823;UCR=0.039845758,participant_day,tweedie_log,identity,ratio,TRUE,0,,,Distribution and sleep-window prediction checks,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,main,glasses,all_available,primary,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,-0.17518039116972042,-0.1579270791252387,0.5680663678630636,0.5951410265005374,0.02707465863747371,BAUA=0.13112745;FUSPCEU=0.15808824;IZTECH=0.12377451;KNUST=0.099264706;MPI=0.18382353;RISE=0.095588235;THUAS=0.095588235;TUM=0.073529412;UCR=0.039215686,participant_day,gaussian,log10_offset_0.1,ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
