run_id,metric_order,metric_id,effect_type,omitted_site_refits,successful_refits,minimum_estimate,maximum_estimate,null_value,range_crosses_null,analysis_unit,response_family,response_transform,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label,analysis_unit_label,run_order,run_label,data_label,placement_label,sample_label
main__glasses__all_available,1,interdaily_stability,odds_ratio,9,9,0.9545249772205424,1.0303761052583278,0,FALSE,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,2,intradaily_variability,difference,9,9,-0.05354482247448818,-0.02390621589172045,0,FALSE,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,3,daily_geometric_mean_medi,ratio,9,9,0.9910587450274222,1.2037437498466326,1,TRUE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,4,m10_mean_medi,ratio,9,9,1.067483968288966,1.3005588988539754,1,FALSE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,Influence and upper-tail checks,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,5,l10_mean_medi,ratio,9,9,0.9080867256879552,1.0755470369522264,1,TRUE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,High-risk exact-zero and residual checks,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,6,duration_above_1000,ratio,9,9,0.9877341442634042,1.2012354638978928,1,TRUE,participant_day,tweedie_log,identity,ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks","Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,7,duration_above_250_wake,ratio,9,9,1.095910256742948,1.148300126723206,1,FALSE,participant_day,tweedie_log,identity,ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,8,duration_below_10_pre_sleep,difference,9,9,-0.03219362725376028,0.11990220887389816,0,TRUE,participant_day,gaussian,identity,difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian response model,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Gaussian on the identity scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,9,duration_below_1_sleep_environment,ratio,9,9,0.991806365043426,1.0187251966426327,1,TRUE,participant_day,tweedie_log,identity,ratio,TRUE,0,,,Distribution and sleep-window prediction checks,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,10,longest_bout_above_250,ratio,9,9,1.050409836790866,1.0790109467639095,1,FALSE,participant_day,gaussian,log10_offset_0.1,ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
