run_id,run_order,run_label,placement_label,measure,row_type,metric_order,metric_id,manuscript_category,manuscript_name,estimate,conf_low,conf_high,bootstrap_successful_used,supported_n,unsupported_n,term_supported
main__glasses__all_available,1,Main near-eye,Near eye,conditional_r2,Grand average,0,grand_average,Grand average,Grand average,0.377526061362017,,,,,,
main__glasses__all_available,1,Main near-eye,Near eye,latitude_part_r2,Grand average,0,grand_average,Grand average,Grand average,0.038162200429207344,,,,7,10,
main__glasses__all_available,1,Main near-eye,Near eye,marginal_r2,Grand average,0,grand_average,Grand average,Grand average,0.14693681208787718,,,,,,
main__glasses__all_available,1,Main near-eye,Near eye,participant_associated_share,Grand average,0,grand_average,Grand average,Grand average,0.2613344825106918,,,,,,
main__glasses__all_available,1,Main near-eye,Near eye,photoperiod_part_r2,Grand average,0,grand_average,Grand average,Grand average,0.05856215639683637,,,,12,5,
main__glasses__all_available,1,Main near-eye,Near eye,site_part_r2,Grand average,0,grand_average,Grand average,Grand average,0.08668527983430445,,,,10,7,
main__glasses__all_available,1,Main near-eye,Near eye,unrepresented_share,Grand average,0,grand_average,Grand average,Grand average,0.622473938637983,,,,,,
main__glasses__all_available,1,Main near-eye,Near eye,conditional_r2,Metric,1,interdaily_stability,dynamics-based,Interdaily stability,0.15353533006706746,0.10443840153769676,0.30774258623235623,1000,,,
main__glasses__all_available,1,Main near-eye,Near eye,latitude_part_r2,Metric,1,interdaily_stability,dynamics-based,Interdaily stability,8.831351001120451e-4,4.171797943737032e-6,0.03452650556821912,1000,0,1,FALSE
main__glasses__all_available,1,Main near-eye,Near eye,marginal_r2,Metric,1,interdaily_stability,dynamics-based,Interdaily stability,0.15353533006706746,0.10443840153769676,0.30774258623235623,1000,,,
main__glasses__all_available,1,Main near-eye,Near eye,participant_associated_share,Metric,1,interdaily_stability,dynamics-based,Interdaily stability,,,,1000,,,
main__glasses__all_available,1,Main near-eye,Near eye,photoperiod_part_r2,Metric,1,interdaily_stability,dynamics-based,Interdaily stability,0.00424158896292723,8.22244091911574e-6,0.04566912146402031,1000,0,1,FALSE
main__glasses__all_available,1,Main near-eye,Near eye,site_part_r2,Metric,1,interdaily_stability,dynamics-based,Interdaily stability,0.06871618603864532,0.04129385429386418,0.2036760832788877,1000,0,1,FALSE
main__glasses__all_available,1,Main near-eye,Near eye,unrepresented_share,Metric,1,interdaily_stability,dynamics-based,Interdaily stability,0.8464646699329326,0.6922574137676437,0.8955615984623032,1000,,,
