run_id,variant,question_order,question_label,p_raw,adjusted_p,multiplicity,run_order,run_label,data_label,placement_label,sample_label
main__glasses__all_available,Noon-cut sensitivity,1,Overall site,7.534961544644065e-4,,Outside primary multiplicity families,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,Noon-cut sensitivity,2,Photoperiod,0.00320601212777117,,Outside primary multiplicity families,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,Noon-cut sensitivity,3,Latitude,0.03441932712248814,,Outside primary multiplicity families,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,Noon-cut sensitivity,4,Site versus linear latitude,0.00219638005646687,,Outside primary multiplicity families,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,Primary strict-after-16:00 conversion,1,Overall site,0.01048323895117011,0.01980167357443243,Primary 17-test BH family,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,Primary strict-after-16:00 conversion,2,Photoperiod,0.0024080920339096,0.00372159677967847,Primary 17-test BH family,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,Primary strict-after-16:00 conversion,3,Latitude,0.05366772346333798,0.1140439123595932,Primary 17-test BH family,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,Primary strict-after-16:00 conversion,4,Site versus linear latitude,0.02302573981770433,0.04349306410010818,Primary 17-test BH family,1,Main near-eye,Main,Near eye,All available
main__chest__all_available,Noon-cut sensitivity,1,Overall site,2.4963874716629347e-8,,Outside primary multiplicity families,2,Main chest,Main,Chest,All available
main__chest__all_available,Noon-cut sensitivity,2,Photoperiod,0.03271759904791786,,Outside primary multiplicity families,2,Main chest,Main,Chest,All available
main__chest__all_available,Noon-cut sensitivity,3,Latitude,1.212265247570858e-5,,Outside primary multiplicity families,2,Main chest,Main,Chest,All available
main__chest__all_available,Noon-cut sensitivity,4,Site versus linear latitude,4.592506153953824e-5,,Outside primary multiplicity families,2,Main chest,Main,Chest,All available
main__chest__all_available,Primary strict-after-16:00 conversion,1,Overall site,1.9580484537939143e-8,8.321705928624135e-8,Primary 17-test BH family,2,Main chest,Main,Chest,All available
main__chest__all_available,Primary strict-after-16:00 conversion,2,Photoperiod,0.00860949556957918,0.01626238052031623,Primary 17-test BH family,2,Main chest,Main,Chest,All available
main__chest__all_available,Primary strict-after-16:00 conversion,3,Latitude,2.185601586142718e-6,9.288806741106554e-6,Primary 17-test BH family,2,Main chest,Main,Chest,All available
main__chest__all_available,Primary strict-after-16:00 conversion,4,Site versus linear latitude,1.510576501591012e-4,6.419950131761801e-4,Primary 17-test BH family,2,Main chest,Main,Chest,All available
