run_id,metric_order,metric_id,refits,successful_refits,maximum_absolute_dfbeta,most_influential_participant,maximum_dfbeta_term,analysis_unit,response_family,response_transform,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label,analysis_unit_label,run_order,run_label,data_label,placement_label,sample_label
main__glasses__all_available,1,interdaily_stability,3,3,0.6344454230642286,MPI::MPI_S201,site5,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,2,intradaily_variability,3,3,0.5683953847094501,TUM::TUM_S008,site8,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,3,daily_geometric_mean_medi,6,6,0.7422668700297328,TUM::TUM_S005,site8,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,4,m10_mean_medi,6,6,0.8417370051484269,KNUST::KNUST_S005,site4,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,Influence and upper-tail checks,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,5,l10_mean_medi,6,6,0.7569293088284299,IZTECH::IZTECH_S013,site3,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,High-risk exact-zero and residual checks,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,6,duration_above_1000,6,6,0.48552847388205694,BAUA::BAUA_S011,site1,participant_day,tweedie_log,identity,ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks","Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,7,duration_above_250_wake,6,6,0.5924323967473666,MPI::MPI_S206,site5,participant_day,tweedie_log,identity,ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,8,duration_below_10_pre_sleep,6,6,0.6612450446356665,KNUST::KNUST_S012,site4,participant_day,gaussian,identity,difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian response model,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Gaussian on the identity scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,9,duration_below_1_sleep_environment,6,6,0.9320060686721592,KNUST::KNUST_S008,site4,participant_day,tweedie_log,identity,ratio,TRUE,0,,,Distribution and sleep-window prediction checks,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,10,longest_bout_above_250,6,6,0.5959062390504691,MPI::MPI_S206,site5,participant_day,gaussian,log10_offset_0.1,ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,11,m10_midpoint,6,6,0.8700653976487426,TUM::TUM_S007,site8,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime range check,Midpoint of the brightest 10 hours,M10,timing-based,clock time,Supported 10-hour window,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,12,l10_midpoint,6,6,1.1160610840592111,TUM::TUM_S007,site8,participant_day,gaussian,clock_hours_midnight_after_16,difference,FALSE,0,24,,Strict-after-16:00 primary conversion with noon sensitivity,Midpoint of the darkest 10 hours,L10,timing-based,clock time,Supported midnight-wrapping 10-hour window,Gaussian on the linear clock scale (strict after-16:00 cut),Participant-day,1,Main near-eye,Main,Near eye,All available
