run_id,run_order,run_label,data_label,placement_label,sample_label,question_order,family_id,question_label,planned_tests,supported_metrics,nonestimable_metrics,family_status
main__glasses__all_available,1,Main near-eye,Main,Near eye,All available,1,H01-F1-site,Overall site,17,10,0,COMPLETE
main__glasses__all_available,1,Main near-eye,Main,Near eye,All available,2,H01-F2-photoperiod,Photoperiod,17,12,0,COMPLETE
main__glasses__all_available,1,Main near-eye,Main,Near eye,All available,3,H01-F3-latitude,Latitude,17,7,0,COMPLETE
main__glasses__all_available,1,Main near-eye,Main,Near eye,All available,4,H01-F4-site-latitude-adequacy,Site versus linear latitude,17,9,0,COMPLETE
main__chest__all_available,2,Main chest,Main,Chest,All available,1,H01-F1-site,Overall site,17,13,0,COMPLETE
main__chest__all_available,2,Main chest,Main,Chest,All available,2,H01-F2-photoperiod,Photoperiod,17,11,0,COMPLETE
main__chest__all_available,2,Main chest,Main,Chest,All available,3,H01-F3-latitude,Latitude,17,9,0,COMPLETE
main__chest__all_available,2,Main chest,Main,Chest,All available,4,H01-F4-site-latitude-adequacy,Site versus linear latitude,17,11,0,COMPLETE
main__glasses__paired_common_sample,3,"Main near-eye, paired/common sample",Main,Near eye,Paired/common,1,H01-F1-site,Overall site,17,11,2,COMPLETE
main__glasses__paired_common_sample,3,"Main near-eye, paired/common sample",Main,Near eye,Paired/common,2,H01-F2-photoperiod,Photoperiod,17,11,2,COMPLETE
main__glasses__paired_common_sample,3,"Main near-eye, paired/common sample",Main,Near eye,Paired/common,3,H01-F3-latitude,Latitude,17,7,2,COMPLETE
main__glasses__paired_common_sample,3,"Main near-eye, paired/common sample",Main,Near eye,Paired/common,4,H01-F4-site-latitude-adequacy,Site versus linear latitude,17,8,2,COMPLETE
main__chest__paired_common_sample,4,"Main chest, paired/common sample",Main,Chest,Paired/common,1,H01-F1-site,Overall site,17,10,2,COMPLETE
main__chest__paired_common_sample,4,"Main chest, paired/common sample",Main,Chest,Paired/common,2,H01-F2-photoperiod,Photoperiod,17,12,2,COMPLETE
main__chest__paired_common_sample,4,"Main chest, paired/common sample",Main,Chest,Paired/common,3,H01-F3-latitude,Latitude,17,7,2,COMPLETE
main__chest__paired_common_sample,4,"Main chest, paired/common sample",Main,Chest,Paired/common,4,H01-F4-site-latitude-adequacy,Site versus linear latitude,17,10,2,COMPLETE
alternative_preprocessing__glasses__all_available,5,Alternative preprocessing near-eye,Alternative preprocessing,Near eye,All available,1,H01-F1-site,Overall site,17,10,0,COMPLETE
alternative_preprocessing__glasses__all_available,5,Alternative preprocessing near-eye,Alternative preprocessing,Near eye,All available,2,H01-F2-photoperiod,Photoperiod,17,12,0,COMPLETE
alternative_preprocessing__glasses__all_available,5,Alternative preprocessing near-eye,Alternative preprocessing,Near eye,All available,3,H01-F3-latitude,Latitude,17,8,0,COMPLETE
alternative_preprocessing__glasses__all_available,5,Alternative preprocessing near-eye,Alternative preprocessing,Near eye,All available,4,H01-F4-site-latitude-adequacy,Site versus linear latitude,17,9,0,COMPLETE
alternative_preprocessing__chest__all_available,6,Alternative preprocessing chest,Alternative preprocessing,Chest,All available,1,H01-F1-site,Overall site,17,13,0,COMPLETE
alternative_preprocessing__chest__all_available,6,Alternative preprocessing chest,Alternative preprocessing,Chest,All available,2,H01-F2-photoperiod,Photoperiod,17,11,0,COMPLETE
alternative_preprocessing__chest__all_available,6,Alternative preprocessing chest,Alternative preprocessing,Chest,All available,3,H01-F3-latitude,Latitude,17,9,0,COMPLETE
alternative_preprocessing__chest__all_available,6,Alternative preprocessing chest,Alternative preprocessing,Chest,All available,4,H01-F4-site-latitude-adequacy,Site versus linear latitude,17,10,0,COMPLETE
alternative_preprocessing__glasses__paired_common_sample,7,"Alternative preprocessing near-eye, paired/common sample",Alternative preprocessing,Near eye,Paired/common,1,H01-F1-site,Overall site,17,10,2,COMPLETE
alternative_preprocessing__glasses__paired_common_sample,7,"Alternative preprocessing near-eye, paired/common sample",Alternative preprocessing,Near eye,Paired/common,2,H01-F2-photoperiod,Photoperiod,17,12,2,COMPLETE
alternative_preprocessing__glasses__paired_common_sample,7,"Alternative preprocessing near-eye, paired/common sample",Alternative preprocessing,Near eye,Paired/common,3,H01-F3-latitude,Latitude,17,8,2,COMPLETE
alternative_preprocessing__glasses__paired_common_sample,7,"Alternative preprocessing near-eye, paired/common sample",Alternative preprocessing,Near eye,Paired/common,4,H01-F4-site-latitude-adequacy,Site versus linear latitude,17,9,2,COMPLETE
alternative_preprocessing__chest__paired_common_sample,8,"Alternative preprocessing chest, paired/common sample",Alternative preprocessing,Chest,Paired/common,1,H01-F1-site,Overall site,17,8,2,COMPLETE
alternative_preprocessing__chest__paired_common_sample,8,"Alternative preprocessing chest, paired/common sample",Alternative preprocessing,Chest,Paired/common,2,H01-F2-photoperiod,Photoperiod,17,12,2,COMPLETE
alternative_preprocessing__chest__paired_common_sample,8,"Alternative preprocessing chest, paired/common sample",Alternative preprocessing,Chest,Paired/common,3,H01-F3-latitude,Latitude,17,8,2,COMPLETE
alternative_preprocessing__chest__paired_common_sample,8,"Alternative preprocessing chest, paired/common sample",Alternative preprocessing,Chest,Paired/common,4,H01-F4-site-latitude-adequacy,Site versus linear latitude,17,10,2,COMPLETE
