site,row_kind,reader_site,wake_context,pre_sleep_context,sleep_context,combined_context,wake_time,pre_sleep_time,sleep_time,unclassified_time
Overall,overall,Overall,"**24.0%**<br><span aria-label='137,792 within recommendation window out of 573,712 total' style='color:grey;font-size:9px;white-space:nowrap'>137,792 / 573,712</span>","**63.3%**<br><span aria-label='81,894 within recommendation window out of 129,390 total' style='color:grey;font-size:9px;white-space:nowrap'>81,894 / 129,390</span>","**87.7%**<br><span aria-label='336,052 within recommendation window out of 383,366 total' style='color:grey;font-size:9px;white-space:nowrap'>336,052 / 383,366</span>","**51.2%**<br><span aria-label='555,738 within recommendation window out of 1,086,468 total' style='color:grey;font-size:9px;white-space:nowrap'>555,738 / 1,086,468</span>","**51.6%**<br><span aria-label='606,215 in displayed diary state out of 1,175,160 total' style='color:grey;font-size:9px;white-space:nowrap'>606,215 / 1,175,160</span>","**11.9%**<br><span aria-label='140,152 in displayed diary state out of 1,175,160 total' style='color:grey;font-size:9px;white-space:nowrap'>140,152 / 1,175,160</span>","**32.6%**<br><span aria-label='383,607 in displayed diary state out of 1,175,160 total' style='color:grey;font-size:9px;white-space:nowrap'>383,607 / 1,175,160</span>","**3.8%**<br><span aria-label='45,186 in displayed diary state out of 1,175,160 total' style='color:grey;font-size:9px;white-space:nowrap'>45,186 / 1,175,160</span>"
NA,separator,,NA,NA,NA,NA,NA,NA,NA,NA
RISE,site,Borås (SE),"**33.2%**<br><span aria-label='19,225 within recommendation window out of 57,952 total' style='color:grey;font-size:9px;white-space:nowrap'>19,225 / 57,952</span>","**69.9%**<br><span aria-label='8,914 within recommendation window out of 12,759 total' style='color:grey;font-size:9px;white-space:nowrap'>8,914 / 12,759</span>","**93.4%**<br><span aria-label='33,152 within recommendation window out of 35,489 total' style='color:grey;font-size:9px;white-space:nowrap'>33,152 / 35,489</span>","**57.7%**<br><span aria-label='61,291 within recommendation window out of 106,200 total' style='color:grey;font-size:9px;white-space:nowrap'>61,291 / 106,200</span>","**54.0%**<br><span aria-label='60,642 in displayed diary state out of 112,260 total' style='color:grey;font-size:9px;white-space:nowrap'>60,642 / 112,260</span>","**12.2%**<br><span aria-label='13,704 in displayed diary state out of 112,260 total' style='color:grey;font-size:9px;white-space:nowrap'>13,704 / 112,260</span>","**31.7%**<br><span aria-label='35,549 in displayed diary state out of 112,260 total' style='color:grey;font-size:9px;white-space:nowrap'>35,549 / 112,260</span>","**2.1%**<br><span aria-label='2,365 in displayed diary state out of 112,260 total' style='color:grey;font-size:9px;white-space:nowrap'>2,365 / 112,260</span>"
THUAS,site,Delft (NL),"**29.6%**<br><span aria-label='14,760 within recommendation window out of 49,852 total' style='color:grey;font-size:9px;white-space:nowrap'>14,760 / 49,852</span>","**66.7%**<br><span aria-label='7,181 within recommendation window out of 10,774 total' style='color:grey;font-size:9px;white-space:nowrap'>7,181 / 10,774</span>","**86.4%**<br><span aria-label='29,915 within recommendation window out of 34,621 total' style='color:grey;font-size:9px;white-space:nowrap'>29,915 / 34,621</span>","**54.4%**<br><span aria-label='51,856 within recommendation window out of 95,247 total' style='color:grey;font-size:9px;white-space:nowrap'>51,856 / 95,247</span>","**47.0%**<br><span aria-label='52,755 in displayed diary state out of 112,260 total' style='color:grey;font-size:9px;white-space:nowrap'>52,755 / 112,260</span>","**10.9%**<br><span aria-label='12,283 in displayed diary state out of 112,260 total' style='color:grey;font-size:9px;white-space:nowrap'>12,283 / 112,260</span>","**30.9%**<br><span aria-label='34,682 in displayed diary state out of 112,260 total' style='color:grey;font-size:9px;white-space:nowrap'>34,682 / 112,260</span>","**11.2%**<br><span aria-label='12,540 in displayed diary state out of 112,260 total' style='color:grey;font-size:9px;white-space:nowrap'>12,540 / 112,260</span>"
BAUA,site,Dortmund (DE),"**32.4%**<br><span aria-label='22,631 within recommendation window out of 69,900 total' style='color:grey;font-size:9px;white-space:nowrap'>22,631 / 69,900</span>","**59.6%**<br><span aria-label='9,749 within recommendation window out of 16,361 total' style='color:grey;font-size:9px;white-space:nowrap'>9,749 / 16,361</span>","**87.5%**<br><span aria-label='42,829 within recommendation window out of 48,928 total' style='color:grey;font-size:9px;white-space:nowrap'>42,829 / 48,928</span>","**55.6%**<br><span aria-label='75,209 within recommendation window out of 135,189 total' style='color:grey;font-size:9px;white-space:nowrap'>75,209 / 135,189</span>","**48.1%**<br><span aria-label='74,094 in displayed diary state out of 154,080 total' style='color:grey;font-size:9px;white-space:nowrap'>74,094 / 154,080</span>","**11.3%**<br><span aria-label='17,409 in displayed diary state out of 154,080 total' style='color:grey;font-size:9px;white-space:nowrap'>17,409 / 154,080</span>","**31.8%**<br><span aria-label='48,928 in displayed diary state out of 154,080 total' style='color:grey;font-size:9px;white-space:nowrap'>48,928 / 154,080</span>","**8.9%**<br><span aria-label='13,649 in displayed diary state out of 154,080 total' style='color:grey;font-size:9px;white-space:nowrap'>13,649 / 154,080</span>"
MPI,site,Tübingen (DE),"**22.5%**<br><span aria-label='25,082 within recommendation window out of 111,396 total' style='color:grey;font-size:9px;white-space:nowrap'>25,082 / 111,396</span>","**61.8%**<br><span aria-label='15,623 within recommendation window out of 25,283 total' style='color:grey;font-size:9px;white-space:nowrap'>15,623 / 25,283</span>","**87.1%**<br><span aria-label='61,030 within recommendation window out of 70,029 total' style='color:grey;font-size:9px;white-space:nowrap'>61,030 / 70,029</span>","**49.2%**<br><span aria-label='101,735 within recommendation window out of 206,708 total' style='color:grey;font-size:9px;white-space:nowrap'>101,735 / 206,708</span>","**55.1%**<br><span aria-label='119,150 in displayed diary state out of 216,120 total' style='color:grey;font-size:9px;white-space:nowrap'>119,150 / 216,120</span>","**12.4%**<br><span aria-label='26,881 in displayed diary state out of 216,120 total' style='color:grey;font-size:9px;white-space:nowrap'>26,881 / 216,120</span>","**32.4%**<br><span aria-label='70,089 in displayed diary state out of 216,120 total' style='color:grey;font-size:9px;white-space:nowrap'>70,089 / 216,120</span>","**0.0%**<br><span aria-label='0 in displayed diary state out of 216,120 total' style='color:grey;font-size:9px;white-space:nowrap'>0 / 216,120</span>"
TUM,site,Munich (DE),"**25.0%**<br><span aria-label='10,681 within recommendation window out of 42,685 total' style='color:grey;font-size:9px;white-space:nowrap'>10,681 / 42,685</span>","**60.6%**<br><span aria-label='5,963 within recommendation window out of 9,833 total' style='color:grey;font-size:9px;white-space:nowrap'>5,963 / 9,833</span>","**71.7%**<br><span aria-label='21,485 within recommendation window out of 29,951 total' style='color:grey;font-size:9px;white-space:nowrap'>21,485 / 29,951</span>","**46.2%**<br><span aria-label='38,129 within recommendation window out of 82,469 total' style='color:grey;font-size:9px;white-space:nowrap'>38,129 / 82,469</span>","**53.0%**<br><span aria-label='45,831 in displayed diary state out of 86,400 total' style='color:grey;font-size:9px;white-space:nowrap'>45,831 / 86,400</span>","**12.3%**<br><span aria-label='10,618 in displayed diary state out of 86,400 total' style='color:grey;font-size:9px;white-space:nowrap'>10,618 / 86,400</span>","**34.7%**<br><span aria-label='29,951 in displayed diary state out of 86,400 total' style='color:grey;font-size:9px;white-space:nowrap'>29,951 / 86,400</span>","**0.0%**<br><span aria-label='0 in displayed diary state out of 86,400 total' style='color:grey;font-size:9px;white-space:nowrap'>0 / 86,400</span>"
FUSPCEU,site,Madrid (ES),"**24.2%**<br><span aria-label='21,067 within recommendation window out of 87,030 total' style='color:grey;font-size:9px;white-space:nowrap'>21,067 / 87,030</span>","**62.7%**<br><span aria-label='12,766 within recommendation window out of 20,366 total' style='color:grey;font-size:9px;white-space:nowrap'>12,766 / 20,366</span>","**95.9%**<br><span aria-label='58,374 within recommendation window out of 60,891 total' style='color:grey;font-size:9px;white-space:nowrap'>58,374 / 60,891</span>","**54.8%**<br><span aria-label='92,207 within recommendation window out of 168,287 total' style='color:grey;font-size:9px;white-space:nowrap'>92,207 / 168,287</span>","**48.4%**<br><span aria-label='89,948 in displayed diary state out of 185,880 total' style='color:grey;font-size:9px;white-space:nowrap'>89,948 / 185,880</span>","**11.7%**<br><span aria-label='21,684 in displayed diary state out of 185,880 total' style='color:grey;font-size:9px;white-space:nowrap'>21,684 / 185,880</span>","**32.8%**<br><span aria-label='60,891 in displayed diary state out of 185,880 total' style='color:grey;font-size:9px;white-space:nowrap'>60,891 / 185,880</span>","**7.2%**<br><span aria-label='13,357 in displayed diary state out of 185,880 total' style='color:grey;font-size:9px;white-space:nowrap'>13,357 / 185,880</span>"
IZTECH,site,Izmir (TR),"**17.8%**<br><span aria-label='12,708 within recommendation window out of 71,562 total' style='color:grey;font-size:9px;white-space:nowrap'>12,708 / 71,562</span>","**55.1%**<br><span aria-label='9,221 within recommendation window out of 16,736 total' style='color:grey;font-size:9px;white-space:nowrap'>9,221 / 16,736</span>","**79.0%**<br><span aria-label='39,936 within recommendation window out of 50,556 total' style='color:grey;font-size:9px;white-space:nowrap'>39,936 / 50,556</span>","**44.6%**<br><span aria-label='61,865 within recommendation window out of 138,854 total' style='color:grey;font-size:9px;white-space:nowrap'>61,865 / 138,854</span>","**51.5%**<br><span aria-label='74,926 in displayed diary state out of 145,440 total' style='color:grey;font-size:9px;white-space:nowrap'>74,926 / 145,440</span>","**12.3%**<br><span aria-label='17,883 in displayed diary state out of 145,440 total' style='color:grey;font-size:9px;white-space:nowrap'>17,883 / 145,440</span>","**34.8%**<br><span aria-label='50,556 in displayed diary state out of 145,440 total' style='color:grey;font-size:9px;white-space:nowrap'>50,556 / 145,440</span>","**1.4%**<br><span aria-label='2,075 in displayed diary state out of 145,440 total' style='color:grey;font-size:9px;white-space:nowrap'>2,075 / 145,440</span>"
UCR,site,San José (CR),"**13.8%**<br><span aria-label='3,266 within recommendation window out of 23,640 total' style='color:grey;font-size:9px;white-space:nowrap'>3,266 / 23,640</span>","**64.6%**<br><span aria-label='3,124 within recommendation window out of 4,839 total' style='color:grey;font-size:9px;white-space:nowrap'>3,124 / 4,839</span>","**87.1%**<br><span aria-label='12,438 within recommendation window out of 14,275 total' style='color:grey;font-size:9px;white-space:nowrap'>12,438 / 14,275</span>","**44.0%**<br><span aria-label='18,828 within recommendation window out of 42,754 total' style='color:grey;font-size:9px;white-space:nowrap'>18,828 / 42,754</span>","**54.9%**<br><span aria-label='25,285 in displayed diary state out of 46,080 total' style='color:grey;font-size:9px;white-space:nowrap'>25,285 / 46,080</span>","**11.5%**<br><span aria-label='5,320 in displayed diary state out of 46,080 total' style='color:grey;font-size:9px;white-space:nowrap'>5,320 / 46,080</span>","**31.0%**<br><span aria-label='14,275 in displayed diary state out of 46,080 total' style='color:grey;font-size:9px;white-space:nowrap'>14,275 / 46,080</span>","**2.6%**<br><span aria-label='1,200 in displayed diary state out of 46,080 total' style='color:grey;font-size:9px;white-space:nowrap'>1,200 / 46,080</span>"
