Metric,F2,F3,F4,F5
Interdaily stability,OR 1.028 (0.956–1.106)<br><small>Raw p = 0.445; FDR-adjusted p = 0.658</small>,OR 0.931 (0.868–0.999)<br><small>Raw p = 0.042; FDR-adjusted p = 0.260</small>,OR 0.975 (0.906–1.050)<br><small>Raw p = 0.489; FDR-adjusted p = 0.679</small>,OR 1.089 (1.011–1.174)<br><small>Raw p = 0.021; FDR-adjusted p = 0.202</small>
Intradaily variability,-0.057 (-0.124–+0.009)<br><small>Raw p = 0.083; FDR-adjusted p = 0.351</small>,-0.001 (-0.068–+0.065)<br><small>Raw p = 0.971; FDR-adjusted p = 0.978</small>,+0.001 (-0.068–+0.069)<br><small>Raw p = 0.978; FDR-adjusted p = 0.978</small>,+0.057 (-0.013–+0.127)<br><small>Raw p = 0.099; FDR-adjusted p = 0.362</small>
Mean melEDI,×1.092 (0.965–1.235)<br><small>Raw p = 0.150; FDR-adjusted p = 0.379</small>,×0.917 (0.813–1.034)<br><small>Raw p = 0.146; FDR-adjusted p = 0.379</small>,×0.891 (0.787–1.009)<br><small>Raw p = 0.060; FDR-adjusted p = 0.313</small>,×0.941 (0.827–1.070)<br><small>Raw p = 0.336; FDR-adjusted p = 0.585</small>
Brightest 10 h mean,×1.204 (1.008–1.439)<br><small>Raw p = 0.035; FDR-adjusted p = 0.260</small>,×0.888 (0.745–1.058)<br><small>Raw p = 0.169; FDR-adjusted p = 0.384</small>,×0.906 (0.756–1.087)<br><small>Raw p = 0.272; FDR-adjusted p = 0.545</small>,×0.931 (0.772–1.123)<br><small>Raw p = 0.436; FDR-adjusted p = 0.658</small>
Darkest 10 h mean,×0.995 (0.905–1.094)<br><small>Raw p = 0.917; FDR-adjusted p = 0.958</small>,×0.956 (0.871–1.049)<br><small>Raw p = 0.322; FDR-adjusted p = 0.577</small>,×0.921 (0.838–1.013)<br><small>Raw p = 0.080; FDR-adjusted p = 0.351</small>,×0.970 (0.879–1.070)<br><small>Raw p = 0.526; FDR-adjusted p = 0.716</small>
"Time above 1,000 lx melEDI",×1.234 (1.084–1.405)<br><small>Raw p = 0.002; FDR-adjusted p = 0.124</small>,×0.895 (0.785–1.020)<br><small>Raw p = 0.097; FDR-adjusted p = 0.362</small>,×0.911 (0.797–1.043)<br><small>Raw p = 0.178; FDR-adjusted p = 0.390</small>,×0.831 (0.725–0.953)<br><small>Raw p = 0.009; FDR-adjusted p = 0.169</small>
Time above 250 lx melEDI during wake,×1.122 (1.006–1.252)<br><small>Raw p = 0.041; FDR-adjusted p = 0.260</small>,×0.907 (0.814–1.010)<br><small>Raw p = 0.075; FDR-adjusted p = 0.351</small>,×0.953 (0.852–1.065)<br><small>Raw p = 0.397; FDR-adjusted p = 0.614</small>,×0.946 (0.843–1.061)<br><small>Raw p = 0.345; FDR-adjusted p = 0.586</small>
Time below 10 lx melEDI before sleep,-0.005 h (-0.135–+0.124 h)<br><small>Raw p = 0.930; FDR-adjusted p = 0.958</small>,+0.052 h (-0.073–+0.177 h)<br><small>Raw p = 0.392; FDR-adjusted p = 0.614</small>,+0.028 h (-0.104–+0.159 h)<br><small>Raw p = 0.654; FDR-adjusted p = 0.781</small>,-0.031 h (-0.167–+0.105 h)<br><small>Raw p = 0.646; FDR-adjusted p = 0.781</small>
Time below 1 lx melEDI during sleep,**Unfit for inference**<br><small>Estimate and p-values suppressed from the reader display</small>,**Unfit for inference**<br><small>Estimate and p-values suppressed from the reader display</small>,**Unfit for inference**<br><small>Estimate and p-values suppressed from the reader display</small>,**Unfit for inference**<br><small>Estimate and p-values suppressed from the reader display</small>
Longest continuous period above 250 lx melEDI,×1.117 (1.007–1.238)<br><small>Raw p = 0.031; FDR-adjusted p = 0.260</small>,×0.924 (0.835–1.023)<br><small>Raw p = 0.117; FDR-adjusted p = 0.375</small>,×0.933 (0.840–1.037)<br><small>Raw p = 0.185; FDR-adjusted p = 0.393</small>,×0.945 (0.847–1.053)<br><small>Raw p = 0.287; FDR-adjusted p = 0.557</small>
