figure,path,png
figure-1,results/images/manuscript/figure-1.svg,results/images/manuscript/figure-1.png
figure-2,results/images/manuscript/figure-2.svg,results/images/manuscript/figure-2.png
figure-3,results/images/manuscript/figure-3.svg,results/images/manuscript/figure-3.png
figure-s1,results/images/manuscript/figure-s1.svg,results/images/manuscript/figure-s1.png
figure-s2,results/images/manuscript/figure-s2.svg,results/images/manuscript/figure-s2.png
figure-s3,results/images/manuscript/figure-s3.svg,results/images/manuscript/figure-s3.png
figure-s4,results/images/manuscript/figure-s4.svg,results/images/manuscript/figure-s4.png
figure-s5a,results/images/manuscript/figure-s5a.svg,results/images/manuscript/figure-s5a.png
figure-s5b,results/images/manuscript/figure-s5b.svg,results/images/manuscript/figure-s5b.png
figure-s6,results/images/manuscript/figure-s6.svg,results/images/manuscript/figure-s6.png
figure-s7,results/images/manuscript/figure-s7.svg,results/images/manuscript/figure-s7.png
figure-s8,results/images/manuscript/figure-s8.svg,results/images/manuscript/figure-s8.png
figure-s9,results/images/manuscript/figure-s9.svg,results/images/manuscript/figure-s9.png
figure-s10,results/images/manuscript/figure-s10.svg,results/images/manuscript/figure-s10.png
figure-s11,results/images/manuscript/figure-s11.svg,results/images/manuscript/figure-s11.png
figure-s12,results/images/manuscript/figure-s12.svg,results/images/manuscript/figure-s12.png
figure-s13,results/images/manuscript/figure-s13.png,results/images/manuscript/figure-s13.png
figure-s14,results/images/manuscript/figure-s14.png,results/images/manuscript/figure-s14.png
figure-s15,results/images/manuscript/figure-s15.png,results/images/manuscript/figure-s15.png
figure-s16,results/images/manuscript/figure-s16.png,results/images/manuscript/figure-s16.png
figure-s17,results/images/manuscript/figure-s17.png,results/images/manuscript/figure-s17.png
figure-s18,results/images/manuscript/figure-s18.png,results/images/manuscript/figure-s18.png
figure-s19,results/images/manuscript/figure-s19.svg,results/images/manuscript/figure-s19.png
