category,metric_display,unit,Overall,RISE,THUAS,BAUA,MPI,TUM,FUSPCEU,IZTECH,UCR,KNUST,scaling,distribution
Duration,"<span style='font-weight:600'>Time above 1,000 lx melEDI</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Bright-light exposure duration; relevant to daytime alerting and circadian entrainment.</span>",<span style='white-space:nowrap'>HH:MM</span>,"<span style='white-space:nowrap'>**00:41**</span><br><span style='white-space:nowrap'>(00:11, 01:34)</span><br><span style='white-space:nowrap'>*01:10 ± 01:28*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=141; d=816</span>","<span style='white-space:nowrap'>**01:18**</span><br><span style='white-space:nowrap'>(00:31, 03:24)</span><br><span style='white-space:nowrap'>*02:00 ± 01:54*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**01:18**</span><br><span style='white-space:nowrap'>(00:29, 02:12)</span><br><span style='white-space:nowrap'>*01:33 ± 01:28*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**01:03**</span><br><span style='white-space:nowrap'>(00:20, 02:32)</span><br><span style='white-space:nowrap'>*01:48 ± 02:14*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=107</span>","<span style='white-space:nowrap'>**00:40**</span><br><span style='white-space:nowrap'>(00:07, 01:25)</span><br><span style='white-space:nowrap'>*01:06 ± 01:22*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=150</span>","<span style='white-space:nowrap'>**00:39**</span><br><span style='white-space:nowrap'>(00:10, 01:46)</span><br><span style='white-space:nowrap'>*01:09 ± 01:18*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=60</span>","<span style='white-space:nowrap'>**00:27**</span><br><span style='white-space:nowrap'>(00:06, 00:53)</span><br><span style='white-space:nowrap'>*00:38 ± 00:47*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=129</span>","<span style='white-space:nowrap'>**00:30**</span><br><span style='white-space:nowrap'>(00:06, 01:04)</span><br><span style='white-space:nowrap'>*00:44 ± 00:51*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=101</span>","<span style='white-space:nowrap'>**00:19**</span><br><span style='white-space:nowrap'>(00:09, 00:43)</span><br><span style='white-space:nowrap'>*00:32 ± 00:33*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=32</span>","<span style='white-space:nowrap'>**00:43**</span><br><span style='white-space:nowrap'>(00:17, 01:14)</span><br><span style='white-space:nowrap'>*00:58 ± 00:57*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=15; d=81</span>",Symlog (base 10; threshold 1),
Duration,"<span style='font-weight:600'>Time above 250 lx melEDI during wake</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Waking time in recommended daytime light; relevant to alertness, entrainment, and subsequent sleep.</span>",<span style='white-space:nowrap'>HH:MM</span>,"<span style='white-space:nowrap'>**02:25**</span><br><span style='white-space:nowrap'>(00:51, 04:37)</span><br><span style='white-space:nowrap'>*03:00 ± 02:29*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=141; d=737</span>","<span style='white-space:nowrap'>**04:06**</span><br><span style='white-space:nowrap'>(02:30, 06:15)</span><br><span style='white-space:nowrap'>*04:21 ± 02:24*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=73</span>","<span style='white-space:nowrap'>**03:29**</span><br><span style='white-space:nowrap'>(02:03, 05:16)</span><br><span style='white-space:nowrap'>*03:39 ± 02:25*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=64</span>","<span style='white-space:nowrap'>**03:42**</span><br><span style='white-space:nowrap'>(02:05, 05:58)</span><br><span style='white-space:nowrap'>*04:05 ± 02:51*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=90</span>","<span style='white-space:nowrap'>**02:01**</span><br><span style='white-space:nowrap'>(00:47, 04:20)</span><br><span style='white-space:nowrap'>*02:52 ± 02:39*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=141</span>","<span style='white-space:nowrap'>**02:38**</span><br><span style='white-space:nowrap'>(00:55, 04:19)</span><br><span style='white-space:nowrap'>*02:57 ± 02:19*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=54</span>","<span style='white-space:nowrap'>**02:43**</span><br><span style='white-space:nowrap'>(00:54, 04:43)</span><br><span style='white-space:nowrap'>*03:02 ± 02:19*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=113</span>","<span style='white-space:nowrap'>**01:30**</span><br><span style='white-space:nowrap'>(00:41, 03:26)</span><br><span style='white-space:nowrap'>*02:09 ± 01:57*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=94</span>","<span style='white-space:nowrap'>**01:39**</span><br><span style='white-space:nowrap'>(00:32, 02:40)</span><br><span style='white-space:nowrap'>*01:48 ± 01:21*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=30</span>","<span style='white-space:nowrap'>**01:14**</span><br><span style='white-space:nowrap'>(00:25, 02:37)</span><br><span style='white-space:nowrap'>*01:45 ± 01:46*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=15; d=78</span>",Symlog (base 10; threshold 1),
Duration,<span style='font-weight:600'>Time below 10 lx melEDI before sleep</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Low-light time before bed; limits evening melatonin suppression and circadian delay.</span>,<span style='white-space:nowrap'>HH:MM</span>,"<span style='white-space:nowrap'>**01:53**</span><br><span style='white-space:nowrap'>(01:02, 02:35)</span><br><span style='white-space:nowrap'>*01:51 ± 01:02*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=139; d=655</span>","<span style='white-space:nowrap'>**02:16**</span><br><span style='white-space:nowrap'>(01:30, 02:39)</span><br><span style='white-space:nowrap'>*02:05 ± 00:53*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=67</span>","<span style='white-space:nowrap'>**01:50**</span><br><span style='white-space:nowrap'>(01:21, 02:52)</span><br><span style='white-space:nowrap'>*01:59 ± 00:57*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=12; d=50</span>","<span style='white-space:nowrap'>**01:42**</span><br><span style='white-space:nowrap'>(00:53, 02:17)</span><br><span style='white-space:nowrap'>*01:41 ± 00:58*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=84</span>","<span style='white-space:nowrap'>**01:52**</span><br><span style='white-space:nowrap'>(01:04, 02:25)</span><br><span style='white-space:nowrap'>*01:52 ± 01:06*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=132</span>","<span style='white-space:nowrap'>**01:43**</span><br><span style='white-space:nowrap'>(00:42, 02:32)</span><br><span style='white-space:nowrap'>*01:45 ± 01:10*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=52</span>","<span style='white-space:nowrap'>**01:43**</span><br><span style='white-space:nowrap'>(00:58, 02:50)</span><br><span style='white-space:nowrap'>*01:50 ± 01:05*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=105</span>","<span style='white-space:nowrap'>**01:31**</span><br><span style='white-space:nowrap'>(00:48, 02:15)</span><br><span style='white-space:nowrap'>*01:38 ± 01:00*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=82</span>","<span style='white-space:nowrap'>**02:16**</span><br><span style='white-space:nowrap'>(01:15, 02:39)</span><br><span style='white-space:nowrap'>*01:56 ± 01:00*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=25</span>","<span style='white-space:nowrap'>**02:30**</span><br><span style='white-space:nowrap'>(01:28, 02:52)</span><br><span style='white-space:nowrap'>*02:09 ± 00:57*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=14; d=58</span>",Symlog (base 10; threshold 1),
Duration,<span style='font-weight:600'>Time below 1 lx melEDI during sleep</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Darkness during sleep; supports nocturnal melatonin and an undisturbed sleep environment.</span>,<span style='white-space:nowrap'>HH:MM</span>,"<span style='white-space:nowrap'>**07:08**</span><br><span style='white-space:nowrap'>(05:58, 08:15)</span><br><span style='white-space:nowrap'>*07:04 ± 01:57*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=141; d=778</span>","<span style='white-space:nowrap'>**07:08**</span><br><span style='white-space:nowrap'>(06:03, 08:18)</span><br><span style='white-space:nowrap'>*07:12 ± 01:46*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=76</span>","<span style='white-space:nowrap'>**07:14**</span><br><span style='white-space:nowrap'>(05:56, 08:06)</span><br><span style='white-space:nowrap'>*07:01 ± 01:50*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=68</span>","<span style='white-space:nowrap'>**07:08**</span><br><span style='white-space:nowrap'>(05:56, 08:16)</span><br><span style='white-space:nowrap'>*07:05 ± 01:50*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=95</span>","<span style='white-space:nowrap'>**06:54**</span><br><span style='white-space:nowrap'>(05:52, 07:46)</span><br><span style='white-space:nowrap'>*06:47 ± 01:30*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=150</span>","<span style='white-space:nowrap'>**05:52**</span><br><span style='white-space:nowrap'>(04:41, 07:03)</span><br><span style='white-space:nowrap'>*05:58 ± 01:58*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=60</span>","<span style='white-space:nowrap'>**08:06**</span><br><span style='white-space:nowrap'>(07:10, 09:10)</span><br><span style='white-space:nowrap'>*08:02 ± 01:57*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=118</span>","<span style='white-space:nowrap'>**06:45**</span><br><span style='white-space:nowrap'>(05:08, 08:15)</span><br><span style='white-space:nowrap'>*06:40 ± 02:07*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=99</span>","<span style='white-space:nowrap'>**06:56**</span><br><span style='white-space:nowrap'>(06:06, 07:36)</span><br><span style='white-space:nowrap'>*06:39 ± 01:43*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=31</span>","<span style='white-space:nowrap'>**07:31**</span><br><span style='white-space:nowrap'>(06:31, 09:00)</span><br><span style='white-space:nowrap'>*07:35 ± 02:15*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=15; d=81</span>",Symlog (base 10; threshold 1),
Duration,<span style='font-weight:600'>Longest period above 250 lx melEDI</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Longest sustained bright-light bout; captures continuity of daytime circadian stimulation.</span>,<span style='white-space:nowrap'>HH:MM</span>,"<span style='white-space:nowrap'>**00:38**</span><br><span style='white-space:nowrap'>(00:17, 01:12)</span><br><span style='white-space:nowrap'>*00:55 ± 01:00*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=141; d=816</span>","<span style='white-space:nowrap'>**00:56**</span><br><span style='white-space:nowrap'>(00:28, 01:27)</span><br><span style='white-space:nowrap'>*01:12 ± 01:02*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**00:48**</span><br><span style='white-space:nowrap'>(00:23, 01:20)</span><br><span style='white-space:nowrap'>*01:09 ± 01:15*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**01:00**</span><br><span style='white-space:nowrap'>(00:21, 01:40)</span><br><span style='white-space:nowrap'>*01:20 ± 01:31*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=107</span>","<span style='white-space:nowrap'>**00:35**</span><br><span style='white-space:nowrap'>(00:13, 01:06)</span><br><span style='white-space:nowrap'>*00:50 ± 00:54*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=150</span>","<span style='white-space:nowrap'>**00:38**</span><br><span style='white-space:nowrap'>(00:18, 01:32)</span><br><span style='white-space:nowrap'>*01:01 ± 01:02*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=60</span>","<span style='white-space:nowrap'>**00:38**</span><br><span style='white-space:nowrap'>(00:16, 01:04)</span><br><span style='white-space:nowrap'>*00:45 ± 00:36*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=129</span>","<span style='white-space:nowrap'>**00:34**</span><br><span style='white-space:nowrap'>(00:14, 00:55)</span><br><span style='white-space:nowrap'>*00:43 ± 00:41*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=101</span>","<span style='white-space:nowrap'>**00:28**</span><br><span style='white-space:nowrap'>(00:16, 00:43)</span><br><span style='white-space:nowrap'>*00:30 ± 00:20*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=32</span>","<span style='white-space:nowrap'>**00:23**</span><br><span style='white-space:nowrap'>(00:15, 00:49)</span><br><span style='white-space:nowrap'>*00:38 ± 00:45*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=15; d=81</span>",Symlog (base 10; threshold 1),
Dynamics,<span style='font-weight:600'>Interdaily stability</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Day-to-day regularity of the light–dark pattern; higher regularity supports circadian stability.</span>,<span style='white-space:nowrap'>dimensionless</span>,"<span style='white-space:nowrap'>**0.308**</span><br><span style='white-space:nowrap'>(0.248, 0.38)</span><br><span style='white-space:nowrap'>*0.318 ± 0.095*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=141; d=816</span>","<span style='white-space:nowrap'>**0.311**</span><br><span style='white-space:nowrap'>(0.272, 0.367)</span><br><span style='white-space:nowrap'>*0.315 ± 0.078*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**0.258**</span><br><span style='white-space:nowrap'>(0.239, 0.389)</span><br><span style='white-space:nowrap'>*0.288 ± 0.094*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**0.264**</span><br><span style='white-space:nowrap'>(0.219, 0.319)</span><br><span style='white-space:nowrap'>*0.274 ± 0.074*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=107</span>","<span style='white-space:nowrap'>**0.329**</span><br><span style='white-space:nowrap'>(0.263, 0.424)</span><br><span style='white-space:nowrap'>*0.344 ± 0.107*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=150</span>","<span style='white-space:nowrap'>**0.244**</span><br><span style='white-space:nowrap'>(0.218, 0.277)</span><br><span style='white-space:nowrap'>*0.252 ± 0.058*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=60</span>","<span style='white-space:nowrap'>**0.352**</span><br><span style='white-space:nowrap'>(0.321, 0.455)</span><br><span style='white-space:nowrap'>*0.368 ± 0.092*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=129</span>","<span style='white-space:nowrap'>**0.278**</span><br><span style='white-space:nowrap'>(0.254, 0.394)</span><br><span style='white-space:nowrap'>*0.323 ± 0.104*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=101</span>","<span style='white-space:nowrap'>**0.342**</span><br><span style='white-space:nowrap'>(0.315, 0.473)</span><br><span style='white-space:nowrap'>*0.37 ± 0.118*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=32</span>","<span style='white-space:nowrap'>**0.293**</span><br><span style='white-space:nowrap'>(0.255, 0.354)</span><br><span style='white-space:nowrap'>*0.299 ± 0.062*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=15; d=81</span>",Identity,
Dynamics,<span style='font-weight:600'>Intradaily variability</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Within-day fragmentation of light exposure; higher values indicate less consolidated light–dark input.</span>,<span style='white-space:nowrap'>dimensionless</span>,"<span style='white-space:nowrap'>**1.253**</span><br><span style='white-space:nowrap'>(0.93, 1.502)</span><br><span style='white-space:nowrap'>*1.229 ± 0.389*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=141; d=816</span>","<span style='white-space:nowrap'>**0.997**</span><br><span style='white-space:nowrap'>(0.818, 1.388)</span><br><span style='white-space:nowrap'>*1.088 ± 0.343*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**1.193**</span><br><span style='white-space:nowrap'>(0.96, 1.389)</span><br><span style='white-space:nowrap'>*1.238 ± 0.345*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**1.182**</span><br><span style='white-space:nowrap'>(0.928, 1.49)</span><br><span style='white-space:nowrap'>*1.177 ± 0.407*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=107</span>","<span style='white-space:nowrap'>**1.154**</span><br><span style='white-space:nowrap'>(0.801, 1.442)</span><br><span style='white-space:nowrap'>*1.125 ± 0.354*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=150</span>","<span style='white-space:nowrap'>**1.48**</span><br><span style='white-space:nowrap'>(0.869, 1.642)</span><br><span style='white-space:nowrap'>*1.332 ± 0.477*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=60</span>","<span style='white-space:nowrap'>**1.251**</span><br><span style='white-space:nowrap'>(0.999, 1.497)</span><br><span style='white-space:nowrap'>*1.251 ± 0.413*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=129</span>","<span style='white-space:nowrap'>**1.359**</span><br><span style='white-space:nowrap'>(0.95, 1.546)</span><br><span style='white-space:nowrap'>*1.307 ± 0.415*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=101</span>","<span style='white-space:nowrap'>**1.399**</span><br><span style='white-space:nowrap'>(1.282, 1.483)</span><br><span style='white-space:nowrap'>*1.355 ± 0.256*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=32</span>","<span style='white-space:nowrap'>**1.324**</span><br><span style='white-space:nowrap'>(1.029, 1.595)</span><br><span style='white-space:nowrap'>*1.344 ± 0.413*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=15; d=81</span>",Identity,
Exposure history,<span style='font-weight:600'>melEDI dose</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Intensity–duration-weighted melanopic exposure; summarizes cumulative non-visual retinal light input.</span>,<span style='white-space:nowrap'>klx·h</span>,"<span style='white-space:nowrap'>**4.96**</span><br><span style='white-space:nowrap'>(1.936, 12.313)</span><br><span style='white-space:nowrap'>*10.358 ± 16.216*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=141; d=761</span>","<span style='white-space:nowrap'>**9.296**</span><br><span style='white-space:nowrap'>(3.892, 21.895)</span><br><span style='white-space:nowrap'>*19.923 ± 27.784*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=71</span>","<span style='white-space:nowrap'>**10.495**</span><br><span style='white-space:nowrap'>(3.855, 17.395)</span><br><span style='white-space:nowrap'>*15.881 ± 20.395*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=74</span>","<span style='white-space:nowrap'>**6.751**</span><br><span style='white-space:nowrap'>(2.469, 14.435)</span><br><span style='white-space:nowrap'>*13.809 ± 23.711*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=97</span>","<span style='white-space:nowrap'>**3.862**</span><br><span style='white-space:nowrap'>(1.411, 10.217)</span><br><span style='white-space:nowrap'>*7.719 ± 9.847*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=137</span>","<span style='white-space:nowrap'>**7.11**</span><br><span style='white-space:nowrap'>(1.897, 15.789)</span><br><span style='white-space:nowrap'>*10.055 ± 11.237*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=55</span>","<span style='white-space:nowrap'>**3.317**</span><br><span style='white-space:nowrap'>(1.703, 6.29)</span><br><span style='white-space:nowrap'>*6.115 ± 8.79*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=125</span>","<span style='white-space:nowrap'>**4.35**</span><br><span style='white-space:nowrap'>(1.791, 10.625)</span><br><span style='white-space:nowrap'>*7.49 ± 8.898*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=96</span>","<span style='white-space:nowrap'>**2.195**</span><br><span style='white-space:nowrap'>(1.339, 4.117)</span><br><span style='white-space:nowrap'>*3.281 ± 2.573*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=30</span>","<span style='white-space:nowrap'>**6.045**</span><br><span style='white-space:nowrap'>(2.49, 14.907)</span><br><span style='white-space:nowrap'>*10.016 ± 10.799*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=15; d=76</span>",Symlog (base 10; threshold 1),
Level,"<span style='font-weight:600'>Mean melEDI</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Geometric average of daily melEDI values, including zeros; summarizes overall exposure while reducing peak influence.</span>",<span style='white-space:nowrap'>lx</span>,"<span style='white-space:nowrap'>**5.154**</span><br><span style='white-space:nowrap'>(2.831, 9.225)</span><br><span style='white-space:nowrap'>*7.587 ± 9.496*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=141; d=816</span>","<span style='white-space:nowrap'>**7.569**</span><br><span style='white-space:nowrap'>(4.55, 11.613)</span><br><span style='white-space:nowrap'>*9.171 ± 7.111*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**6.659**</span><br><span style='white-space:nowrap'>(4.18, 11.674)</span><br><span style='white-space:nowrap'>*8.274 ± 6.558*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**7.704**</span><br><span style='white-space:nowrap'>(3.081, 13.924)</span><br><span style='white-space:nowrap'>*12.017 ± 18.865*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=107</span>","<span style='white-space:nowrap'>**5.232**</span><br><span style='white-space:nowrap'>(3.224, 8.188)</span><br><span style='white-space:nowrap'>*7.221 ± 6.33*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=150</span>","<span style='white-space:nowrap'>**9.013**</span><br><span style='white-space:nowrap'>(4.011, 15.089)</span><br><span style='white-space:nowrap'>*12.102 ± 12.013*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=60</span>","<span style='white-space:nowrap'>**3.505**</span><br><span style='white-space:nowrap'>(1.469, 6.211)</span><br><span style='white-space:nowrap'>*4.166 ± 3.272*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=129</span>","<span style='white-space:nowrap'>**5.857**</span><br><span style='white-space:nowrap'>(3.726, 7.986)</span><br><span style='white-space:nowrap'>*7.778 ± 6.946*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=101</span>","<span style='white-space:nowrap'>**4.325**</span><br><span style='white-space:nowrap'>(3.585, 6.77)</span><br><span style='white-space:nowrap'>*5.248 ± 2.85*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=32</span>","<span style='white-space:nowrap'>**2.144**</span><br><span style='white-space:nowrap'>(0.744, 4.042)</span><br><span style='white-space:nowrap'>*3.019 ± 2.896*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=15; d=81</span>",Symlog (base 10; threshold 1),
Level,<span style='font-weight:600'>Brightest 10 h mean</span><br><span style='font-size:10.5px;line-height:1.15;font-weight:normal;color:#4F4F4F'>Mean of the brightest 10 hours; reflects the strength of the main daytime light episode.</span>,<span style='white-space:nowrap'>lx</span>,"<span style='white-space:nowrap'>**110.566**</span><br><span style='white-space:nowrap'>(41.513, 243.212)</span><br><span style='white-space:nowrap'>*214.866 ± 508.56*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=141; d=816</span>","<span style='white-space:nowrap'>**252.689**</span><br><span style='white-space:nowrap'>(104.514, 461.953)</span><br><span style='white-space:nowrap'>*399.302 ± 518.102*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**175.974**</span><br><span style='white-space:nowrap'>(78.625, 299.106)</span><br><span style='white-space:nowrap'>*262.206 ± 329.201*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=13; d=78</span>","<span style='white-space:nowrap'>**156.184**</span><br><span style='white-space:nowrap'>(67.783, 339.731)</span><br><span style='white-space:nowrap'>*422.54 ± 1,209.616*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=18; d=107</span>","<span style='white-space:nowrap'>**100.057**</span><br><span style='white-space:nowrap'>(33.255, 209.904)</span><br><span style='white-space:nowrap'>*179.372 ± 241.53*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=26; d=150</span>","<span style='white-space:nowrap'>**130.78**</span><br><span style='white-space:nowrap'>(54.044, 259.726)</span><br><span style='white-space:nowrap'>*201.947 ± 194.042*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=10; d=60</span>","<span style='white-space:nowrap'>**101.102**</span><br><span style='white-space:nowrap'>(24.355, 218.457)</span><br><span style='white-space:nowrap'>*136.312 ± 134.07*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=23; d=129</span>","<span style='white-space:nowrap'>**83.24**</span><br><span style='white-space:nowrap'>(53.17, 151.786)</span><br><span style='white-space:nowrap'>*120.172 ± 101.545*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=17; d=101</span>","<span style='white-space:nowrap'>**68.143**</span><br><span style='white-space:nowrap'>(45.331, 132.458)</span><br><span style='white-space:nowrap'>*96.735 ± 72.311*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=6; d=32</span>","<span style='white-space:nowrap'>**46.66**</span><br><span style='white-space:nowrap'>(9.242, 103.175)</span><br><span style='white-space:nowrap'>*82.489 ± 115.07*</span><br><span style='color:grey;font-size:10px;white-space:nowrap'>N=15; d=81</span>",Symlog (base 10; threshold 1),
