"index","description"
1,"Main Figure 1"
2,"Main Table 1, part 1 of 2"
3,"Main Table 1, part 2 of 2"
4,"Main Table 2, part 1 of 1"
5,"Main Figure 2"
6,"Main Table 3, part 1 of 4"
7,"Main Table 3, part 2 of 4"
8,"Main Table 3, part 3 of 4"
9,"Main Table 3, part 4 of 4"
10,"Main Figure 3"
11,"Supplementary Table S1, part 1 of 1"
12,"Supplementary Table S2, part 1 of 3"
13,"Supplementary Table S2, part 2 of 3"
14,"Supplementary Table S2, part 3 of 3"
15,"Supplementary Table S3, part 1 of 1"
16,"Supplementary Figure S1"
17,"Supplementary Figure S2"
18,"Supplementary Figure S3"
19,"Supplementary Figure S4"
20,"Supplementary Figure S5"
21,"Supplementary Table S4, part 1 of 2"
22,"Supplementary Table S4, part 2 of 2"
23,"Supplementary Figure S6"
24,"Supplementary Table S5, part 1 of 1"
25,"Supplementary Table S6, part 1 of 1"
26,"Supplementary Figure S7A"
27,"Supplementary Figure S7B"
28,"Supplementary Table S7, part 1 of 3"
29,"Supplementary Table S7, part 2 of 3"
30,"Supplementary Table S7, part 3 of 3"
31,"Supplementary Table S8, part 1 of 1"
32,"Supplementary Figure S8, panels A-C"
33,"Supplementary Figure S8, panel D"
34,"Supplementary Figure S9"
35,"Supplementary Figure S10"
36,"Supplementary Figure S11"
37,"Supplementary Figure S12"
38,"Supplementary Table S9, part 1 of 1"
39,"Supplementary Table S10, part 1 of 2"
40,"Supplementary Table S10, part 2 of 2"
41,"Supplementary Figure S13"
42,"Supplementary Table S11, part 1 of 1"
43,"Supplementary Table S11, part 1 of 1"
44,"Supplementary Figure S14"
45,"Supplementary Table S12, part 1 of 1"
46,"Supplementary Figure S15A"
47,"Supplementary Figure S15B"
48,"Supplementary Table S13, part 1 of 1"
49,"Supplementary Figure S16"
50,"Supplementary Table S14, part 1 of 1"
51,"Supplementary Figure S17"
52,"Supplementary Table S15, part 1 of 1"
