"check","pass"
"package_identity",TRUE
"owner_package_non_circular_exact",TRUE
"r2_non_circular_exact",TRUE
"six_pure_definitions_only",TRUE
"reported_validation",TRUE
"reported_quadrature",TRUE
"complete_shapes",TRUE
"final30_only",TRUE
"primary_any_valid_model_pin",TRUE
"primary_any_valid_technical_eligibility",TRUE
"primary_any_valid_reference_keys",TRUE
"primary_any_valid_cells_cell_weight",TRUE
"primary_any_valid_cells_denominator_rows",TRUE
"primary_any_valid_cells_mean_inverse_valid_minutes",TRUE
"primary_any_valid_cells_population_average_mean",TRUE
"primary_any_valid_cells_random_mean_variance",TRUE
"primary_any_valid_cells_observation_variance",TRUE
"primary_any_valid_cells_beta_binomial_precision",TRUE
"primary_any_valid_cells_pi_zero",TRUE
"primary_any_valid_cells_pi_one",TRUE
"primary_any_valid_cells_pi_beta",TRUE
"primary_any_valid_retained_SD",TRUE
"primary_any_valid_global_one_reference",TRUE
"primary_any_valid_global_fixed_variance",TRUE
"primary_any_valid_global_random_variance",TRUE
"primary_any_valid_global_observation_variance",TRUE
"primary_any_valid_global_total_variance",TRUE
"primary_any_valid_global_marginal_r2",TRUE
"primary_any_valid_global_conditional_r2",TRUE
"primary_any_valid_global_random_effect_increment",TRUE
"primary_any_valid_global_observation_distribution_share",TRUE
"primary_any_valid_global_R2_quadrature",TRUE
"primary_any_valid_global_allocation_players",TRUE
"primary_any_valid_global_Shapley_absolute",TRUE
"primary_any_valid_global_Shapley_relative",TRUE
"primary_any_valid_global_Shapley_quadrature",TRUE
"primary_any_valid_global_all_subset_values",TRUE
"primary_any_valid_Wake outside the three hours before sleep_one_reference",TRUE
"primary_any_valid_Wake outside the three hours before sleep_fixed_variance",TRUE
"primary_any_valid_Wake outside the three hours before sleep_random_variance",TRUE
"primary_any_valid_Wake outside the three hours before sleep_observation_variance",TRUE
"primary_any_valid_Wake outside the three hours before sleep_total_variance",TRUE
"primary_any_valid_Wake outside the three hours before sleep_marginal_r2",TRUE
"primary_any_valid_Wake outside the three hours before sleep_conditional_r2",TRUE
"primary_any_valid_Wake outside the three hours before sleep_random_effect_increment",TRUE
"primary_any_valid_Wake outside the three hours before sleep_observation_distribution_share",TRUE
"primary_any_valid_Wake outside the three hours before sleep_R2_quadrature",TRUE
"primary_any_valid_Wake outside the three hours before sleep_allocation_players",TRUE
"primary_any_valid_Wake outside the three hours before sleep_Shapley_absolute",TRUE
"primary_any_valid_Wake outside the three hours before sleep_Shapley_relative",TRUE
"primary_any_valid_Wake outside the three hours before sleep_Shapley_quadrature",TRUE
"primary_any_valid_Wake outside the three hours before sleep_all_subset_values",TRUE
"primary_any_valid_Pre-sleep_one_reference",TRUE
"primary_any_valid_Pre-sleep_fixed_variance",TRUE
"primary_any_valid_Pre-sleep_random_variance",TRUE
"primary_any_valid_Pre-sleep_observation_variance",TRUE
"primary_any_valid_Pre-sleep_total_variance",TRUE
"primary_any_valid_Pre-sleep_marginal_r2",TRUE
"primary_any_valid_Pre-sleep_conditional_r2",TRUE
"primary_any_valid_Pre-sleep_random_effect_increment",TRUE
"primary_any_valid_Pre-sleep_observation_distribution_share",TRUE
"primary_any_valid_Pre-sleep_R2_quadrature",TRUE
"primary_any_valid_Pre-sleep_allocation_players",TRUE
"primary_any_valid_Pre-sleep_Shapley_absolute",TRUE
"primary_any_valid_Pre-sleep_Shapley_relative",TRUE
"primary_any_valid_Pre-sleep_Shapley_quadrature",TRUE
"primary_any_valid_Pre-sleep_all_subset_values",TRUE
"primary_any_valid_Sleep environment_one_reference",TRUE
"primary_any_valid_Sleep environment_fixed_variance",TRUE
"primary_any_valid_Sleep environment_random_variance",TRUE
"primary_any_valid_Sleep environment_observation_variance",TRUE
"primary_any_valid_Sleep environment_total_variance",TRUE
"primary_any_valid_Sleep environment_marginal_r2",TRUE
"primary_any_valid_Sleep environment_conditional_r2",TRUE
"primary_any_valid_Sleep environment_random_effect_increment",TRUE
"primary_any_valid_Sleep environment_observation_distribution_share",TRUE
"primary_any_valid_Sleep environment_R2_quadrature",TRUE
"primary_any_valid_Sleep environment_allocation_players",TRUE
"primary_any_valid_Sleep environment_Shapley_absolute",TRUE
"primary_any_valid_Sleep environment_Shapley_relative",TRUE
"primary_any_valid_Sleep environment_Shapley_quadrature",TRUE
"primary_any_valid_Sleep environment_all_subset_values",TRUE
"support_80_model_pin",TRUE
"support_80_technical_eligibility",TRUE
"support_80_reference_keys",TRUE
"support_80_cells_cell_weight",TRUE
"support_80_cells_denominator_rows",TRUE
"support_80_cells_mean_inverse_valid_minutes",TRUE
"support_80_cells_population_average_mean",TRUE
"support_80_cells_random_mean_variance",TRUE
"support_80_cells_observation_variance",TRUE
"support_80_cells_beta_binomial_precision",TRUE
"support_80_cells_pi_zero",TRUE
"support_80_cells_pi_one",TRUE
"support_80_cells_pi_beta",TRUE
"support_80_retained_SD",TRUE
"support_80_global_one_reference",TRUE
"support_80_global_fixed_variance",TRUE
"support_80_global_random_variance",TRUE
"support_80_global_observation_variance",TRUE
"support_80_global_total_variance",TRUE
"support_80_global_marginal_r2",TRUE
"support_80_global_conditional_r2",TRUE
"support_80_global_random_effect_increment",TRUE
"support_80_global_observation_distribution_share",TRUE
"support_80_global_R2_quadrature",TRUE
"support_80_global_allocation_players",TRUE
"support_80_global_Shapley_absolute",TRUE
"support_80_global_Shapley_relative",TRUE
"support_80_global_Shapley_quadrature",TRUE
"support_80_global_all_subset_values",TRUE
"support_80_Wake outside the three hours before sleep_one_reference",TRUE
"support_80_Wake outside the three hours before sleep_fixed_variance",TRUE
"support_80_Wake outside the three hours before sleep_random_variance",TRUE
"support_80_Wake outside the three hours before sleep_observation_variance",TRUE
"support_80_Wake outside the three hours before sleep_total_variance",TRUE
"support_80_Wake outside the three hours before sleep_marginal_r2",TRUE
"support_80_Wake outside the three hours before sleep_conditional_r2",TRUE
"support_80_Wake outside the three hours before sleep_random_effect_increment",TRUE
"support_80_Wake outside the three hours before sleep_observation_distribution_share",TRUE
"support_80_Wake outside the three hours before sleep_R2_quadrature",TRUE
"support_80_Wake outside the three hours before sleep_allocation_players",TRUE
"support_80_Wake outside the three hours before sleep_Shapley_absolute",TRUE
"support_80_Wake outside the three hours before sleep_Shapley_relative",TRUE
"support_80_Wake outside the three hours before sleep_Shapley_quadrature",TRUE
"support_80_Wake outside the three hours before sleep_all_subset_values",TRUE
"support_80_Pre-sleep_one_reference",TRUE
"support_80_Pre-sleep_fixed_variance",TRUE
"support_80_Pre-sleep_random_variance",TRUE
"support_80_Pre-sleep_observation_variance",TRUE
"support_80_Pre-sleep_total_variance",TRUE
"support_80_Pre-sleep_marginal_r2",TRUE
"support_80_Pre-sleep_conditional_r2",TRUE
"support_80_Pre-sleep_random_effect_increment",TRUE
"support_80_Pre-sleep_observation_distribution_share",TRUE
"support_80_Pre-sleep_R2_quadrature",TRUE
"support_80_Pre-sleep_allocation_players",TRUE
"support_80_Pre-sleep_Shapley_absolute",TRUE
"support_80_Pre-sleep_Shapley_relative",TRUE
"support_80_Pre-sleep_Shapley_quadrature",TRUE
"support_80_Pre-sleep_all_subset_values",TRUE
"support_80_Sleep environment_one_reference",TRUE
"support_80_Sleep environment_fixed_variance",TRUE
"support_80_Sleep environment_random_variance",TRUE
"support_80_Sleep environment_observation_variance",TRUE
"support_80_Sleep environment_total_variance",TRUE
"support_80_Sleep environment_marginal_r2",TRUE
"support_80_Sleep environment_conditional_r2",TRUE
"support_80_Sleep environment_random_effect_increment",TRUE
"support_80_Sleep environment_observation_distribution_share",TRUE
"support_80_Sleep environment_R2_quadrature",TRUE
"support_80_Sleep environment_allocation_players",TRUE
"support_80_Sleep environment_Shapley_absolute",TRUE
"support_80_Sleep environment_Shapley_relative",TRUE
"support_80_Sleep environment_Shapley_quadrature",TRUE
"support_80_Sleep environment_all_subset_values",TRUE
"source_package_post_stable",TRUE
