placement,instrument_id,metric_id,primary_all_run_id,primary_all_participants,primary_all_participant_days,primary_all_observations,primary_all_sites,primary_all_derivation_hours,primary_all_row_key_hash,primary_all_estimate,primary_all_std_error,primary_all_conf_low,primary_all_conf_high,primary_all_main_p_raw,primary_all_main_p_adjusted,primary_all_main_adjusted_significant,gap_all_run_id,gap_all_participants,gap_all_participant_days,gap_all_observations,gap_all_sites,gap_all_derivation_hours,gap_all_row_key_hash,gap_all_estimate,gap_all_std_error,gap_all_conf_low,gap_all_conf_high,gap_all_main_p_raw,gap_all_main_p_adjusted,gap_all_main_adjusted_significant,primary_common_run_id,primary_common_participants,primary_common_participant_days,primary_common_observations,primary_common_sites,primary_common_derivation_hours,primary_common_row_key_hash,primary_common_estimate,primary_common_std_error,primary_common_conf_low,primary_common_conf_high,primary_common_main_p_raw,primary_common_main_p_adjusted,primary_common_main_adjusted_significant,gap_common_run_id,gap_common_participants,gap_common_participant_days,gap_common_observations,gap_common_sites,gap_common_derivation_hours,gap_common_row_key_hash,gap_common_estimate,gap_common_std_error,gap_common_conf_low,gap_common_conf_high,gap_common_main_p_raw,gap_common_main_p_adjusted,gap_common_main_adjusted_significant,metric_order,manuscript_name,abbreviation,analysis_branch,instrument_name,effect_unit,all_available_stability,common_sample_stability,exact_common_keys,non_estimable_reason,placement_label
chest,MCTQ,m10_midpoint,primary__chest__all_available,153,896,896,8,20752.433333333334,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,0.1166265030988777,0.07906555074708892,-0.03833912878324047,0.2715921349809959,0.12964227278676405,0.16205284098345507,FALSE,gap__chest__all_available,153,891,891,8,,24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24,0.09100941363754521,0.08095229093965427,-0.06765416107018522,0.24967298834527563,0.24866280995616702,0.31082851244520876,FALSE,primary__chest__gap_common,153,888,888,8,20594.75,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,0.11103150379183102,0.07900352953339804,-0.043812568745175584,0.2658755763288376,0.1486724068429066,0.18584050855363327,FALSE,gap__chest__gap_common,153,888,888,8,,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,0.1178409746352353,0.07911814904185203,-0.03722774801026682,0.27290969728073744,0.12622191548660436,0.18367346674681434,FALSE,1,Midpoint of the brightest 10 hours,M10 midpoint,registered,MCTQ MSFsc,1 hour,stable within model uncertainty,stable within model uncertainty,TRUE,,Chest
chest,MCTQ,l10_midpoint,primary__chest__all_available,153,896,896,8,20752.433333333334,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,0.1744712821517323,0.07792523240864371,0.021740633143877253,0.32720193115958734,0.0220469787268925,0.05511744681723125,FALSE,gap__chest__all_available,153,891,891,8,,24afd58f6dd680494af0ad6773b59dc3d39ac04f9dc2f2f92744d8f1bbc01c24,0.12157654335586095,0.0815753824913726,-0.03830826835230859,0.28146135506403047,0.1255201863795911,0.20920031063265182,FALSE,primary__chest__gap_common,153,888,888,8,20594.75,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,0.1751425262921451,0.07817521966573408,0.021921911263799,0.3283631413204912,0.021951938472559544,0.054879846181398864,FALSE,gap__chest__gap_common,153,888,888,8,,2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff,0.11576771994665262,0.08209802881897685,-0.04514145974027338,0.2766768996335786,0.14693877339745148,0.18367346674681434,FALSE,2,Midpoint of the darkest 10 hours,L10 midpoint,registered,MCTQ MSFsc,1 hour,precision-sensitive,precision-sensitive,TRUE,,Chest
chest,MCTQ,first_timing_above_250,primary__chest__all_available,153,797,797,8,18518.416666666668,2686fa682d40e8ef613b8441d9afefea73b72685097e7455c9bc2f42e073b156,0.4108363044751371,0.10937111342707488,0.19647286120902527,0.6251997477412489,1.56037909497878e-4,7.8018954748939e-4,TRUE,gap__chest__all_available,153,861,861,8,,925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd,0.3887205929962183,0.1083270501000256,0.17640347624870215,0.6010377097437345,2.9595402810464217e-4,0.0014797701405232107,TRUE,primary__chest__gap_common,153,790,790,8,18381.033333333333,bd878ca16ec6a996c45cda4fa037513d022acd937d57938831664c30968eff4e,0.4091365839949429,0.10958123026943603,0.19436131928525796,0.6239118487046278,1.6984906161674772e-4,8.492453080837386e-4,TRUE,gap__chest__gap_common,153,790,790,8,,bd878ca16ec6a996c45cda4fa037513d022acd937d57938831664c30968eff4e,0.415312091834094,0.10988548438312783,0.19994050001942498,0.630683683648763,1.4241595297872448e-4,7.120797648936224e-4,TRUE,3,First light timing above 250 lx melEDI,First >250,registered,MCTQ MSFsc,1 hour,stable within model uncertainty,stable within model uncertainty,TRUE,,Chest
chest,MCTQ,last_timing_above_250,primary__chest__all_available,153,783,783,8,18263.85,6d692f12236dbb899e5d86d1c00fd6209cc200edf0ed7c4a7f7f0ba1e4e570a2,-0.18681002616668901,0.11088227378046461,-0.4041352893003095,0.030515236966931508,0.08428671547134463,0.14047785911890773,FALSE,gap__chest__all_available,153,861,861,8,,925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd,-0.19238104507384524,0.10854601652811807,-0.405127328134246,0.02036523798655554,0.06925282459920985,0.17313206149802463,FALSE,primary__chest__gap_common,153,780,780,8,18203.116666666665,94460b120e4ee73233c7f11d5cc4c0f5018c01333bd132b9c79c0068f8c88ce5,-0.1864302410673888,0.1114803395685954,-0.40492769160613123,0.03206720947135361,0.08640448175766378,0.1440074695961063,FALSE,gap__chest__gap_common,153,780,780,8,,94460b120e4ee73233c7f11d5cc4c0f5018c01333bd132b9c79c0068f8c88ce5,-0.18952399431796593,0.11278990648533428,-0.41058814884886174,0.03154016021292985,0.08494102443874983,0.18367346674681434,FALSE,4,Last light timing above 250 lx melEDI,Last >250,registered,MCTQ MSFsc,1 hour,stable within model uncertainty,stable within model uncertainty,TRUE,,Chest
chest,MCTQ,longest_period_midpoint,primary__chest__all_available,149,547,547,8,12980.05,a7cc6709b751267c2ee88145f2c47547e5aa1c035f65e819d307a30380048d27,0.058424450758869984,0.12642455653749068,-0.18936312681605952,0.30621202833379946,0.6077991583527855,0.6077991583527855,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,registered,MCTQ MSFsc,1 hour,non-estimable,non-estimable,,The approved gap-timing-unaware artifact contains neither the registered metric nor the endpoints needed to construct it,Chest
chest,MCTQ,mean_timing_above_250,primary__chest__all_available,153,825,825,8,19196.816666666666,00077b75ea786147cf82f8c5d8d5bb8903460ae2561fbdf56ed89c566abb8a4c,0.10826619850935178,0.07416956759557577,-0.03710348272688575,0.2536358797455893,0.1329783936752193,,FALSE,gap__chest__all_available,153,861,861,8,,925d8e638d11c2ebd91a46ee82ec2a71646b452f5d1431fd7329a3d559cb63bd,0.12796301629858506,0.07146288112113565,-0.012101656930308125,0.26802768952747824,0.06586938791044286,,FALSE,primary__chest__gap_common,153,820,820,8,19097.266666666666,1f30ceb6bc2a922a21221726223558028b26e3e4f2cf40a328fb72abd978d14d,0.10922891206071819,0.07415830170047152,-0.03611868842686139,0.2545765125482978,0.12951064959142616,,FALSE,gap__chest__gap_common,153,820,820,8,,1f30ceb6bc2a922a21221726223558028b26e3e4f2cf40a328fb72abd978d14d,0.11806021767949115,0.07088052192824676,-0.020863052505273982,0.2569834878642563,0.08673814492909673,,FALSE,6,Mean timing of exposure above 250 lx melEDI,Mean >250,adapted_mean_timing_sensitivity,MCTQ MSFsc,1 hour,stable within model uncertainty,stable within model uncertainty,TRUE,,Chest
chest,MEQ,m10_midpoint,primary__chest__all_available,154,902,902,8,20891.75,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,-0.21395955618749973,0.08499475486176201,-0.3805462145913639,-0.04737289778363557,0.010230635506812986,0.017051059178021643,TRUE,gap__chest__all_available,154,897,897,8,,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,-0.1818877884468717,0.08731582105333979,-0.3530236529919618,-0.010751923901781563,0.03301473731453711,0.05502456219089518,FALSE,primary__chest__gap_common,154,894,894,8,20734.066666666666,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,-0.2214990933452025,0.08474884893014407,-0.38760378497951076,-0.0553944017108943,0.007730789741918269,0.012884649569863783,TRUE,gap__chest__gap_common,154,894,894,8,,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,-0.20642074381756415,0.08515858891482726,-0.3733285110648774,-0.03951297657025088,0.013328011644830018,0.033320029112075045,TRUE,1,Midpoint of the brightest 10 hours,M10 midpoint,registered,MEQ,10 score points,stable within model uncertainty,stable within model uncertainty,TRUE,,Chest
chest,MEQ,l10_midpoint,primary__chest__all_available,154,902,902,8,20891.75,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,-0.22677108239458893,0.08415277428470579,-0.3917074891917406,-0.061834675597437244,0.006059044865411186,0.015147612163527965,TRUE,gap__chest__all_available,154,897,897,8,,8130bf22ac5b5844032a1a913721c84039c13c81982ca77de9ca6a1cadc4c426,-0.18735046864399682,0.08811302194677907,-0.3600488182286711,-0.014652119059322538,0.02951935293525581,0.05502456219089518,FALSE,primary__chest__gap_common,154,894,894,8,20734.066666666666,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,-0.23034955485669792,0.084405412109658,-0.3957811226918885,-0.06491798702150733,0.005460796653568404,0.012884649569863783,TRUE,gap__chest__gap_common,154,894,894,8,,2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d,-0.18099938267182458,0.0886949063843805,-0.354838204797362,-0.007160560546287165,0.03655496607429885,0.06092494345716476,FALSE,2,Midpoint of the darkest 10 hours,L10 midpoint,registered,MEQ,10 score points,stable within model uncertainty,stable within model uncertainty,TRUE,,Chest
chest,MEQ,first_timing_above_250,primary__chest__all_available,154,802,802,8,18634.65,6f770b18d6cbbfbeb5f661f348887869b29d44fe11bdbd349a5dd4662b7c4e43,-0.46159486605550687,0.11938011371343521,-0.695575589404136,-0.22761414270687771,1.0070728153610401e-4,5.0353640768052e-4,TRUE,gap__chest__all_available,154,867,867,8,,7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818,-0.46752213758788547,0.11673568619768872,-0.6963198782459248,-0.23872439692984618,5.8226245315752224e-5,2.911312265787611e-4,TRUE,primary__chest__gap_common,154,795,795,8,18497.266666666666,ff11d1b1b98f7a613f83b2b9e0f0e9accfa35b083a70d3be1a4ff3e1abe08836,-0.45623334253605363,0.11970786518433298,-0.6908564469635224,-0.22161023810858485,1.2516265750260502e-4,6.258132875130251e-4,TRUE,gap__chest__gap_common,154,795,795,8,,ff11d1b1b98f7a613f83b2b9e0f0e9accfa35b083a70d3be1a4ff3e1abe08836,-0.4637808377385091,0.12000899013877878,-0.6989941362315379,-0.22856753924548026,1.015896926207321e-4,5.079484631036605e-4,TRUE,3,First light timing above 250 lx melEDI,First >250,registered,MEQ,10 score points,stable within model uncertainty,stable within model uncertainty,TRUE,,Chest
chest,MEQ,last_timing_above_250,primary__chest__all_available,154,787,787,8,18358.116666666665,af544e57c0ec2cbfc3370f8bc8a2758575541a6768d247f0b79fe458e2d60b52,0.17643101990040064,0.12245352920396789,-0.06357348711920005,0.4164355269200013,0.1386844003449,0.17335550043112502,FALSE,gap__chest__all_available,154,867,867,8,,7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818,0.16389190773841833,0.11993895844776808,-0.07118413116245309,0.39896794663928975,0.16061785830176303,0.20077232287720378,FALSE,primary__chest__gap_common,154,784,784,8,18297.383333333335,eda77b9db4bb5622a0ec2c345250f37a5a0e61559609c9596d47c7bd66045281,0.17354785329686126,0.12308369821624295,-0.06769176229097174,0.41478746888469425,0.14689723562096016,0.1836215445262002,FALSE,gap__chest__gap_common,154,784,784,8,,eda77b9db4bb5622a0ec2c345250f37a5a0e61559609c9596d47c7bd66045281,0.16993650210598119,0.12456797912830579,-0.07421225061243525,0.4140852548243976,0.16045614036927208,0.20057017546159012,FALSE,4,Last light timing above 250 lx melEDI,Last >250,registered,MEQ,10 score points,stable within model uncertainty,stable within model uncertainty,TRUE,,Chest
