input,relative_path,expected_sha256,current_sha256,verification
Signed preregistration,preregistration/AsPredicted #273407.pdf,fce192c88676602b72013e4872a03b535a2f4ef59d34de3a9e1c47527742b7ad,fce192c88676602b72013e4872a03b535a2f4ef59d34de3a9e1c47527742b7ad,PASS
Extracted H11 contract,audit/evidence/preregistration_contract.md,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,117b3d075df5ee8c822fba70b3cc0b7b5240581ab500c14e2880514474ac4225,PASS
Final H02 temporal specification,artifacts/07_models/H02/selected_temporal_model_specification.csv,c3c95e97dbf7a260e4aa7513a15bb8c3c7e98bdb754d97c54700e4d82629310f,c3c95e97dbf7a260e4aa7513a15bb8c3c7e98bdb754d97c54700e4d82629310f,PASS
Biological-sex metadata,artifacts/06_model_data/normalized_inputs/demographics.rds,a11d0ff6615b51dbaa0be8c0790c1ea550750d9f1d4d7e8893609803f269dadf,a11d0ff6615b51dbaa0be8c0790c1ea550750d9f1d4d7e8893609803f269dadf,PASS
Submitted-manuscript site registry,config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,PASS
Primary H02 near-eye frame,artifacts/06_model_data/H02/main__glasses__all_available.rds,8420e7a5c1d1b89eda29807abf1c339c5d3b43095ae5d297ebed85f13f6de11e,8420e7a5c1d1b89eda29807abf1c339c5d3b43095ae5d297ebed85f13f6de11e,PASS
Primary H02 chest frame,artifacts/06_model_data/H02/main__chest__all_available.rds,5826c426d127c096a381e4b894c514b95552672fa12b59b28d6fd26c9b655c90,5826c426d127c096a381e4b894c514b95552672fa12b59b28d6fd26c9b655c90,PASS
Gap-timing-unaware H02 near-eye frame,artifacts/06_model_data/H02/manuscript_prepared_data__glasses__all_available.rds,be9eac0ef727912f32ebb21a1a4ceaf75f265afd6aaa5440732259ebb5737446,be9eac0ef727912f32ebb21a1a4ceaf75f265afd6aaa5440732259ebb5737446,PASS
Gap-timing-unaware H02 chest frame,artifacts/06_model_data/H02/manuscript_prepared_data__chest__all_available.rds,06d9ab3e4c8867efb3a254c3723a9893594b097a5aceee4a44b6e26f84a4921a,06d9ab3e4c8867efb3a254c3723a9893594b097a5aceee4a44b6e26f84a4921a,PASS
Normalised hourly activity diary,artifacts/06_model_data/normalized_inputs/lightexposurediary.rds,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,06aa306411d7dbe48407e900b557ffed431b1bfb8eb4840bdbc0446988207f59,PASS
