"drawing","docpr_id","description","base_embed","svg_embed","svg_member","svg_sha256","accepted_label","cx","cy","extension_uris","svg_nodes","dpi_nodes","dpi_val","crop_nodes"
1,"22","",NA,"rId21","media/rId21.svg","4304aa487b3c7f6b27b533952315fc9b790d4d00334aeb519a97d28c50d98936","Main Figure 1","5727700","5454952","{28A0092B-C50C-407E-A947-70E740481C1C};{96DAC541-7B7A-43D3-8B79-37D633B846F1}",1,1,"0",0
2,"29","",NA,"rId28","media/rId28.svg","2f9493540f12c9c660d213ee619bc726f1e3a0e34ce52c0e59bdf6bd8102a5cd","Main Figure 2","5727700","7289800","{28A0092B-C50C-407E-A947-70E740481C1C};{96DAC541-7B7A-43D3-8B79-37D633B846F1}",1,1,"0",0
3,"36","",NA,"rId35","media/rId35.svg","012453debcd7994ab8b8437bd1b829a4935b26d97803963c6621ee2093bd72dd","Main Figure 3","5727700","8561244","{28A0092B-C50C-407E-A947-70E740481C1C};{96DAC541-7B7A-43D3-8B79-37D633B846F1}",1,1,"0",0
4,"261","","rId260",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
5,"264","","rId263",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
6,"267","","rId266",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
7,"270","","rId269",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
8,"273","","rId272",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
9,"276","","rId275",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
10,"279","","rId278",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
11,"282","","rId281",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
12,"285","","rId284",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
13,"288","","rId287",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
14,"291","","rId290",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
15,"294","","rId293",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
16,"297","","rId296",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
17,"300","","rId299",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
18,"303","","rId302",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
19,"306","","rId305",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
20,"309","","rId308",NA,NA,NA,NA,"5727700","2291080","",0,0,NA,0
