"id","target","type","mode"
"rId17","numbering.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/numbering",NA
"rId16","styles.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles",NA
"rId15","settings.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/settings",NA
"rId14","webSettings.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/webSettings",NA
"rId13","fontTable.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/fontTable",NA
"rId12","theme/theme1.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme",NA
"rId11","footnotes.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/footnotes",NA
"rId10","comments.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/comments",NA
"rId8","footer1.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer",NA
"rId9","footer2.xml","http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer",NA
"rId263","media/rId263.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId308","media/rId308.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId296","media/rId296.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId275","media/rId275.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId266","media/rId266.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId287","media/rId287.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId281","media/rId281.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId305","media/rId305.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId284","media/rId284.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId260","media/rId260.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId293","media/rId293.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId278","media/rId278.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId269","media/rId269.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId272","media/rId272.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId299","media/rId299.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId302","media/rId302.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId290","media/rId290.png","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId35","media/rId35.svg","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId28","media/rId28.svg","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId21","media/rId21.svg","http://schemas.openxmlformats.org/officeDocument/2006/relationships/image",NA
"rId228","https://aspredicted.org/te3zw2.pdf","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId92","https://doi.org/10.1001/jamanetworkopen.2025.39031","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId104","https://doi.org/10.1007/s10654-018-0398-4","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId212","https://doi.org/10.1007/s11222-005-4070-y","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
