view,component,observation,status
1440x1000,page shell,"One main region, active H10 navigation, one callout, 25 rendered headings, and no horizontal page overflow.",PASS
1440x1000,native tables,"All 19 native gt tables were present, contained, and readable without table scrollers.",PASS
1440x1000,figures,"Both scientific figures loaded at 1148.5 px width with no clipping, distortion, overlap, or excess whitespace.",PASS
1440x1000,analysis map,"The top-down Mermaid diagram rendered with 13 nodes at 1098 px width and remained legible and contained.",PASS
1440x1000,reader flow,"Full-page inspection showed coherent heading, caption, table, figure, and provenance flow.",PASS
708x1000,page shell,"The 693 px document width had no page-level horizontal overflow and the narrow navigation collapsed correctly.",PASS
708x1000,native tables,"All 19 native gt tables remained present and readable.",PASS
708x1000,table 16 scroller,"The code-order table exposed its complete 20 px horizontal range; right and left endpoints were exercised and reset to zero.",PASS
708x1000,table 18 scroller,"The key-hashes table exposed its complete 92 px horizontal range; right and left endpoints were exercised and reset to zero.",PASS
708x1000,first and final tables,"Tables 1 and 19, their captions, headers, rows, and source-note content remained readable and contained.",PASS
642px,age distribution figure,"The age-distribution figure rendered at exactly 642 px, loaded from its 2820 by 1560 source, and showed all sites, placements, symbols, axes, and legend without clipping.",PASS
642px,sample support figure,"The sample-support figure rendered at exactly 642 px, loaded from its 2820 by 2460 source, and showed all 17 metrics, both placements, facet labels, axes, and legend without clipping.",PASS
642px,analysis map,"The top-down provenance SVG rendered at exactly 642 px with 13 nodes, 29 text or foreign-object elements, and no horizontal overflow.",PASS
642px,accessibility,"Both scientific images loaded successfully and retained descriptive alt text longer than 100 characters.",PASS
720x500,page shell,"The 705 px document width had no page-level horizontal overflow; the title, purpose callout, and active navigation remained readable.",PASS
720x500,native tables,"All 19 native gt tables remained available; only Tables 16 and 18 used bounded horizontal scrollers already exercised at the narrower view.",PASS
720x500,sample support figure,"The sample-support figure remained contained at 654 px width with no failed image or page overflow.",PASS
720x500,analysis map,"The 13-node top-down provenance flow remained contained at 654 px width and readable through vertical scrolling.",PASS
720x500,registration links,"DEV-003, DEV-040, DEV-041, the linked registration-record summary, and reciprocal H10 result links were visible and targeted the intended records or sections.",PASS
720x500,console,"The browser console contained no warning or error entries attributable to the preserved companion page.",PASS
