step,evidence,status
port preflight,"TCP port 18759 was free before server start.",PASS
server root,"The isolated loopback server exposed only _build/nathealth.",PASS
loopback binding,"The server listened on 127.0.0.1:18759 and was not bound to an external interface.",PASS
target response,"The preserved H10 companion target returned HTTP 200 and loaded its required local assets.",PASS
browser isolation,"QA used one dedicated in-app browser tab for the preserved companion HTML.",PASS
viewport reset,"The captured viewport was reset to 1280 by 720 after responsive inspection.",PASS
browser close,"The dedicated QA tab was closed after inspection.",PASS
server stop,"The server session received an interrupt and exited normally.",PASS
listener teardown,"lsof found no listener on TCP port 18759 after shutdown.",PASS
process teardown,"An unrestricted read-only process check found no python3 http.server process for port 18759 after shutdown.",PASS
