"domain","check_id","pass","detail"
"identity","fixed_sources_html_tests_manifest_profile_and_h11",TRUE,"exact=19/19 obsolete_source_html_present=FALSE"
"manifest","chronological_269_row_manifest",TRUE,"rows=269 exact=269 paths=269 helper_delta=1 historical_rows=0"
"history","thirteen_order59_files_immutable",TRUE,"exact=13/13"
"protection","exact_helper_and_manifest_transition_from_stopped_state",TRUE,"delta=2 paths=artifacts/12_manifests/H10/H10_preparation_report_manifest.csv|scripts/hypotheses/H10/build_h10_preparation_report_manifest.R"
"semantic","raw_reverse_and_exact_reapplication",TRUE,"rows=1132 ids=82 headers=1050"
"dom","native_tables_figures_ids_headers_and_mermaid",TRUE,"tables=19 figures=2 duplicate_ids=0 headers=1050 mermaid=1"
"content","construct_coverage_provenance_integrity_and_sites",TRUE,"required=16/16 forbidden=0 sites=9/9 errors=0 active_nav=2"
"links","twenty_three_local_links_and_six_fragments",TRUE,"links=23 unique=19 files=23/23 fragments=6/6"
"science","fifty_seven_scientific_assets_preserved",TRUE,"exact=57/57"
"build","stopped_state_build_tree_preserved",TRUE,"entries=1180 delta=5 symlinks=0"
"qa_harness","figure_readability_and_alt_contract",TRUE,"rows=2 status=2/2 alt_min=343"
"post_qa","visual_lifecycle_and_no_drift",TRUE,"visual=20/20 lifecycle=10/10 build_no_drift=TRUE protected_no_drift=TRUE"
