"type","position","expected","observed","exact"
"table",1,"tbl-h10-prep-site-cells","tbl-h10-prep-site-cells",TRUE
"table",2,"tbl-h10-prep-metrics","tbl-h10-prep-metrics",TRUE
"table",3,"tbl-h10-prep-runs","tbl-h10-prep-runs",TRUE
"table",4,"tbl-h10-prep-near-samples","tbl-h10-prep-near-samples",TRUE
"table",5,"tbl-h10-prep-chest-samples","tbl-h10-prep-chest-samples",TRUE
"table",6,"tbl-h10-prep-formulas","tbl-h10-prep-formulas",TRUE
"table",7,"tbl-h10-prep-engines","tbl-h10-prep-engines",TRUE
"table",8,"tbl-h10-prep-multiplicity","tbl-h10-prep-multiplicity",TRUE
"table",9,"tbl-h10-prep-diagnostics","tbl-h10-prep-diagnostics",TRUE
"table",10,"tbl-h10-prep-sensitivities","tbl-h10-prep-sensitivities",TRUE
"table",11,"tbl-h10-prep-key-audits","tbl-h10-prep-key-audits",TRUE
"table",12,"tbl-h10-prep-render-boundary","tbl-h10-prep-render-boundary",TRUE
"table",13,"tbl-h10-prep-render-checks","tbl-h10-prep-render-checks",TRUE
"table",14,"tbl-h10-prep-pins","tbl-h10-prep-pins",TRUE
"table",15,"tbl-h10-prep-input-roles","tbl-h10-prep-input-roles",TRUE
"table",16,"tbl-h10-prep-code-order","tbl-h10-prep-code-order",TRUE
"table",17,"tbl-h10-prep-output-map","tbl-h10-prep-output-map",TRUE
"table",18,"tbl-h10-prep-key-hashes","tbl-h10-prep-key-hashes",TRUE
"table",19,"tbl-h10-prep-environment","tbl-h10-prep-environment",TRUE
"figure",1,"fig-h10-prep-age-distribution","fig-h10-prep-age-distribution",TRUE
"figure",2,"fig-h10-prep-sample-support","fig-h10-prep-sample-support",TRUE
