operation,invocation_count,exit_status,detail
central_recovery_checker,1,0,Exact sealed PASS message reproduced before mutation
helper_transition,1,0,Sealed postimage applied and exact reverse proven
recovery_helper_execution,1,0,H10 preparation-report manifest completed: 269 current files
immediate_helper_gate,1,0,269 unique paths and 269 of 269 live identities passed
unchanged_preparation_test,1,0,H10 preparation companion verified: 19 gt tables; 2 descriptive figures; 68 frozen frames; mode strict
static_preqa_verifier_initial,1,1,Checker-only stale build baseline omitted the accepted source-identical companion QMD in the build tree
static_preqa_verifier_corrected,1,0,Corrected baseline passed without source or scientific change
postqa_verifier_initial,1,1,Checker-only storage-type mismatch compared CSV-imported inventories with in-memory inventories despite byte-identical pre and post CSVs
postqa_verifier_corrected,1,0,Corrected comparison uses the two CSV-imported inventory pairs and passed without source or scientific change
quarto_knitr_pandoc_semantic_hook,0,,Not invoked
qmd_or_scientific_execution,0,,Not invoked
