"href","resolved_path","exists","fragment_once"
"../../../notebooks/hypotheses/H01.html","_build/nathealth/audit/hypotheses/H10/../../../notebooks/hypotheses/H01.html",TRUE,TRUE
"../../../audit/hypotheses/H10/H10_analysis_preparation.html","_build/nathealth/audit/hypotheses/H10/../../../audit/hypotheses/H10/H10_analysis_preparation.html",TRUE,TRUE
"../../../notebooks/hypotheses/H10.html","_build/nathealth/audit/hypotheses/H10/../../../notebooks/hypotheses/H10.html",TRUE,TRUE
"../../../notebooks/preparation/04_metric_derivation.html","_build/nathealth/audit/hypotheses/H10/../../../notebooks/preparation/04_metric_derivation.html",TRUE,TRUE
"../../../notebooks/preparation/06_model_ready_datasets.html","_build/nathealth/audit/hypotheses/H10/../../../notebooks/preparation/06_model_ready_datasets.html",TRUE,TRUE
"../../../notebooks/hypotheses/H10.html","_build/nathealth/audit/hypotheses/H10/../../../notebooks/hypotheses/H10.html",TRUE,TRUE
"../../../notebooks/hypotheses/H10.html#h10-preregistration-deviations","_build/nathealth/audit/hypotheses/H10/../../../notebooks/hypotheses/H10.html",TRUE,TRUE
"../../../artifacts/11_source_data/H10/H10_preparation_age_distribution_data.csv","_build/nathealth/audit/hypotheses/H10/../../../artifacts/11_source_data/H10/H10_preparation_age_distribution_data.csv",TRUE,TRUE
"../../../artifacts/11_source_data/H10/H10_preparation_sample_support_data.csv","_build/nathealth/audit/hypotheses/H10/../../../artifacts/11_source_data/H10/H10_preparation_sample_support_data.csv",TRUE,TRUE
"../../../artifacts/08_diagnostics/H10/H10_primary_diagnostic_assessment.csv","_build/nathealth/audit/hypotheses/H10/../../../artifacts/08_diagnostics/H10/H10_primary_diagnostic_assessment.csv",TRUE,TRUE
"../../../artifacts/08_diagnostics/H10/H10_participant_deletion_influence.csv","_build/nathealth/audit/hypotheses/H10/../../../artifacts/08_diagnostics/H10/H10_participant_deletion_influence.csv",TRUE,TRUE
"../../../artifacts/08_diagnostics/H10/H10_leave_one_site_out_summary.csv","_build/nathealth/audit/hypotheses/H10/../../../artifacts/08_diagnostics/H10/H10_leave_one_site_out_summary.csv",TRUE,TRUE
"../../../artifacts/10_figures/H10/H10_all_primary_model_core_diagnostics.pdf","_build/nathealth/audit/hypotheses/H10/../../../artifacts/10_figures/H10/H10_all_primary_model_core_diagnostics.pdf",TRUE,TRUE
"../../../artifacts/11_source_data/H10/H10_all_primary_core_diagnostic_index.csv","_build/nathealth/audit/hypotheses/H10/../../../artifacts/11_source_data/H10/H10_all_primary_core_diagnostic_index.csv",TRUE,TRUE
"../../../artifacts/11_source_data/H10/H10_all_primary_core_diagnostic_data.csv","_build/nathealth/audit/hypotheses/H10/../../../artifacts/11_source_data/H10/H10_all_primary_core_diagnostic_data.csv",TRUE,TRUE
"../../../notebooks/preregistration_deviations.html#dev-003","_build/nathealth/audit/hypotheses/H10/../../../notebooks/preregistration_deviations.html",TRUE,TRUE
"../../../notebooks/preregistration_deviations.html#dev-003","_build/nathealth/audit/hypotheses/H10/../../../notebooks/preregistration_deviations.html",TRUE,TRUE
"../../../notebooks/preregistration_deviations.html#dev-040","_build/nathealth/audit/hypotheses/H10/../../../notebooks/preregistration_deviations.html",TRUE,TRUE
"../../../notebooks/preregistration_deviations.html#dev-041","_build/nathealth/audit/hypotheses/H10/../../../notebooks/preregistration_deviations.html",TRUE,TRUE
"../../../notebooks/hypotheses/H10.html#h10-preregistration-deviations","_build/nathealth/audit/hypotheses/H10/../../../notebooks/hypotheses/H10.html",TRUE,TRUE
"../../../artifacts/06_model_data/H10/H10_input_audit.csv","_build/nathealth/audit/hypotheses/H10/../../../artifacts/06_model_data/H10/H10_input_audit.csv",TRUE,TRUE
"../../../artifacts/12_manifests/H10/H10_stage3_artifacts.csv","_build/nathealth/audit/hypotheses/H10/../../../artifacts/12_manifests/H10/H10_stage3_artifacts.csv",TRUE,TRUE
"../../../notebooks/hypotheses/H10.html","_build/nathealth/audit/hypotheses/H10/../../../notebooks/hypotheses/H10.html",TRUE,TRUE
