"domain","status","details"
"semantic disposition and exact reversal","PASS","REPAIRED with 559 reversible substitutions"
"visible and structural invariance across semantic hook","PASS","Visible text, values, order, captions, notes, and links unchanged"
"native gt endpoints","PASS","11 native gt tables in accepted order"
"formula table endpoint","PASS","Six instrument-role rows contain five exact ordered unique formulas in one semantic table"
"figure endpoints and durable identities","PASS","Four rendered resources equal accepted durable PNGs and preserve paired sources"
"document IDs and table header references","PASS","142 unique document IDs and 505 headers tokens resolve"
"reader links and dynamic targets","PASS","All 23 link occurrences, 21 unique targets, and exact DEV-037 to DEV-039 anchors pass"
"reader scientific hierarchy and qualifications","PASS","Answer in brief, samples, scales, FDR, checks, sensitivities, and limits pass"
"country-coded sites and active navigation","PASS","Every visible submitted site includes its country code and H09 navigation is active"
"embedded execution defects","PASS","Zero embedded error, warning, stderr, unresolved reference, or raw trace"
"historical H09 tests","PASS","Both historical tests remain exact and unexecuted"
"build delta classification","PASS","3 classified build deltas and no removals"
"protected identity reconciliation","PASS","176 protected paths, with only result HTML transitioning"
"historical Stage 3 manifest transition","PASS","96/108 live-exact with the exact 12 accepted transitions"
"phase-4 historical-to-fresh transition","PASS","Shared manifest exact; H09 HTML row classified historical-to-fresh"
"170 mm figure typography gate","PASS","Historical 5.10 to 6.69 pt record retained; fresh 170-mm inspection remains mandatory"
