"source_target","expected_short_target","expected_project_root_target","observed_href","expected_occurrences","observed_occurrences","present","status"
"../../artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv","../../artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv",,"../../artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv",2,2,TRUE,"PASS"
"../../artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv","../../artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv",,"../../artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv",1,1,TRUE,"PASS"
"../../artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv","../../artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv",,"../../artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv",1,1,TRUE,"PASS"
"../../artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv","../../artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv",,"../../artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv",1,1,TRUE,"PASS"
"../../artifacts/09_tables/H09/H09_ar1_sensitivity.csv","../../artifacts/09_tables/H09/H09_ar1_sensitivity.csv",,"../../artifacts/09_tables/H09/H09_ar1_sensitivity.csv",1,1,TRUE,"PASS"
"../../artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv","../../artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv",,"../../artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv",1,1,TRUE,"PASS"
"../../artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv","../../artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv",,"../../artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv",1,1,TRUE,"PASS"
"../../artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv","../../artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv",,"../../artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv",1,1,TRUE,"PASS"
"../../artifacts/09_tables/H09/H09_model_results_master.csv","../../artifacts/09_tables/H09/H09_model_results_master.csv",,"../../artifacts/09_tables/H09/H09_model_results_master.csv",2,2,TRUE,"PASS"
"../../artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv","../../artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv",,"../../artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv",1,1,TRUE,"PASS"
"../../artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv","../../artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv",,"../../artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv",1,1,TRUE,"PASS"
"../../artifacts/09_tables/H09/H09_site_specific_slopes.csv","../../artifacts/09_tables/H09/H09_site_specific_slopes.csv",,"../../artifacts/09_tables/H09/H09_site_specific_slopes.csv",1,1,TRUE,"PASS"
"../../artifacts/11_source_data/H09/H09_paired_placement_effects_data.csv","../../artifacts/11_source_data/H09/H09_paired_placement_effects_data.csv",,"../../artifacts/11_source_data/H09/H09_paired_placement_effects_data.csv",1,1,TRUE,"PASS"
"../../artifacts/11_source_data/H09/H09_primary_effects_data.csv","../../artifacts/11_source_data/H09/H09_primary_effects_data.csv",,"../../artifacts/11_source_data/H09/H09_primary_effects_data.csv",1,1,TRUE,"PASS"
"../../artifacts/12_manifests/H09/H09_figure_manifest.csv","../../artifacts/12_manifests/H09/H09_figure_manifest.csv",,"../../artifacts/12_manifests/H09/H09_figure_manifest.csv",1,1,TRUE,"PASS"
"../../audit/hypotheses/H09/H09_analysis_preparation.qmd","../../audit/hypotheses/H09/H09_analysis_preparation.html","../../audit/hypotheses/H09/H09_analysis_preparation.html","../../audit/hypotheses/H09/H09_analysis_preparation.html",1,1,TRUE,"PASS"
"../preparation/04_metric_derivation.qmd","../preparation/04_metric_derivation.html","../../notebooks/preparation/04_metric_derivation.html","../../notebooks/preparation/04_metric_derivation.html",1,1,TRUE,"PASS"
"../preparation/06_model_ready_datasets.qmd","../preparation/06_model_ready_datasets.html","../../notebooks/preparation/06_model_ready_datasets.html","../../notebooks/preparation/06_model_ready_datasets.html",1,1,TRUE,"PASS"
"../preregistration_deviations.qmd#dev-037","../preregistration_deviations.html#dev-037","../../notebooks/preregistration_deviations.html#dev-037","../../notebooks/preregistration_deviations.html#dev-037",1,1,TRUE,"PASS"
"../preregistration_deviations.qmd#dev-038","../preregistration_deviations.html#dev-038","../../notebooks/preregistration_deviations.html#dev-038","../../notebooks/preregistration_deviations.html#dev-038",1,1,TRUE,"PASS"
"../preregistration_deviations.qmd#dev-039","../preregistration_deviations.html#dev-039","../../notebooks/preregistration_deviations.html#dev-039","../../notebooks/preregistration_deviations.html#dev-039",1,1,TRUE,"PASS"
