"endpoint_type","order","observed","expected","exact_match"
"table",1,"tbl-h09-metrics","tbl-h09-metrics",TRUE
"table",2,"tbl-h09-formulas","tbl-h09-formulas",TRUE
"table",3,"tbl-h09-primary-samples","tbl-h09-primary-samples",TRUE
"table",4,"tbl-h09-near-eye-results","tbl-h09-near-eye-results",TRUE
"table",5,"tbl-h09-chest-results","tbl-h09-chest-results",TRUE
"table",6,"tbl-h09-paired-placement","tbl-h09-paired-placement",TRUE
"table",7,"tbl-h09-interactions","tbl-h09-interactions",TRUE
"table",8,"tbl-h09-qualified-diagnostics","tbl-h09-qualified-diagnostics",TRUE
"table",9,"tbl-h09-gap-sensitivity","tbl-h09-gap-sensitivity",TRUE
"table",10,"tbl-h09-sensitivity-summary","tbl-h09-sensitivity-summary",TRUE
"table",11,"tbl-h09-mean-timing-sensitivity","tbl-h09-mean-timing-sensitivity",TRUE
"figure",1,"fig-h09-primary-effects","fig-h09-primary-effects",TRUE
"figure",2,"fig-h09-paired-placement","fig-h09-paired-placement",TRUE
"figure",3,"fig-h09-near-eye-diagnostics","fig-h09-near-eye-diagnostics",TRUE
"figure",4,"fig-h09-chest-diagnostics","fig-h09-chest-diagnostics",TRUE
