"domain","observed","expected","status"
"dispatch hard pins","47","47","PASS"
"R chunks","17","17","PASS"
"native table endpoints","11","11","PASS"
"figure endpoints","4","4","PASS"
"relative reader targets","21","21","PASS"
"prohibited source calls","0","0","PASS"
"formula and reader contracts","17","17","PASS"
"frozen scientific contracts","18","18","PASS"
"historical Stage 3 manifest","97/108 live-exact","97/108 live-exact","PASS"
"historical typography record and fresh-QA gate","historical 5.099363-6.692913 pt; fresh inspection required","historical record retained; fresh inspection required","PASS"
"historical H09 tests","2 preserved, 0 executed","2 preserved, 0 executed","PASS"
"competing render or loopback processes","0","0","PASS"
"fresh semantic directory","/private/tmp/h09_order56_semantic.fqChnu; 0 members","empty absolute directory under /private/tmp","PASS"
"build symlinks","0","0","PASS"
"protected files","176","complete","PASS"
"R version","4.6.1","4.6.1","PASS"
"Quarto version","1.9.37","1.9.37","PASS"
