"check","observed","expected","status"
"primary rows",20,20,"PASS"
"near-eye primary rows",10,10,"PASS"
"chest complementary rows",10,10,"PASS"
"primary FDR families",8,8,"PASS"
"five planned members per family",8,8,"PASS"
"complete registered families",8,8,"PASS"
"independent FDR recalculations",8,8,"PASS"
"near-eye adjusted-significant rows",6,6,"PASS"
"chest adjusted-significant rows",4,4,"PASS"
"adjusted-significant interaction rows",0,0,"PASS"
"near-eye MCTQ first-timing estimate",0.381236542890041,0.381236542890041,"PASS"
"near-eye MCTQ first-timing lower CI",0.146253946350557,0.146253946350557,"PASS"
"near-eye MCTQ first-timing upper CI",0.616219139429526,0.616219139429526,"PASS"
"near-eye MCTQ first-timing adjusted p",0.00298827104154087,0.00298827104154086,"PASS"
"near-eye MEQ first-timing estimate",-0.443907364409369,-0.443907364409369,"PASS"
"near-eye MEQ first-timing lower CI",-0.698616503785482,-0.698616503785482,"PASS"
"near-eye MEQ first-timing upper CI",-0.189198225033256,-0.189198225033256,"PASS"
"near-eye MEQ first-timing adjusted p",0.00130345909142947,0.00130345909142947,"PASS"
