"prohibited_call","observed","status"
"lm",FALSE,"PASS"
"stats::lm",FALSE,"PASS"
"glm",FALSE,"PASS"
"stats::glm",FALSE,"PASS"
"lmer",FALSE,"PASS"
"lme4::lmer",FALSE,"PASS"
"glmer",FALSE,"PASS"
"lme4::glmer",FALSE,"PASS"
"glmmTMB",FALSE,"PASS"
"glmmTMB::glmmTMB",FALSE,"PASS"
"gam",FALSE,"PASS"
"bam",FALSE,"PASS"
"gamm",FALSE,"PASS"
"brm",FALSE,"PASS"
"predict",FALSE,"PASS"
"stats::predict",FALSE,"PASS"
"simulate",FALSE,"PASS"
"stats::simulate",FALSE,"PASS"
"boot",FALSE,"PASS"
"boot::boot",FALSE,"PASS"
"bootstrap",FALSE,"PASS"
"sample",FALSE,"PASS"
"replicate",FALSE,"PASS"
"p.adjust",FALSE,"PASS"
"stats::p.adjust",FALSE,"PASS"
"anova",FALSE,"PASS"
"emmeans",FALSE,"PASS"
"contrast",FALSE,"PASS"
"marginaleffects",FALSE,"PASS"
"save",FALSE,"PASS"
"saveRDS",FALSE,"PASS"
"write.csv",FALSE,"PASS"
"readr::write_csv",FALSE,"PASS"
"writeLines",FALSE,"PASS"
"writeBin",FALSE,"PASS"
"ggsave",FALSE,"PASS"
"png",FALSE,"PASS"
"pdf",FALSE,"PASS"
"svg",FALSE,"PASS"
"jpeg",FALSE,"PASS"
"tiff",FALSE,"PASS"
"file.copy",FALSE,"PASS"
"file.rename",FALSE,"PASS"
"unlink",FALSE,"PASS"
"system",FALSE,"PASS"
"system2",FALSE,"PASS"
"quarto_render",FALSE,"PASS"
"render",FALSE,"PASS"
"knit",FALSE,"PASS"
