"table_index","table_endpoint","attribute","attribute_index","pre_value_start_byte","pre_value_end_byte","pre_value","post_value","intended_pre_ids","intended_post_ids","post_value_start_byte","post_value_end_byte","pre_value_bytes","post_value_bytes"
1,"tbl-h09-metrics","id",1,36898,36903,"Metric","tbl-h09-metrics--gt-0001","","",36898,36921,6,24
1,"tbl-h09-metrics","id",2,37027,37030,"Unit","tbl-h09-metrics--gt-0002","","",37045,37068,4,24
1,"tbl-h09-metrics","id",3,37152,37164,"Analysis-unit","tbl-h09-metrics--gt-0003","","",37190,37213,13,24
1,"tbl-h09-metrics","id",4,37295,37304,"Definition","tbl-h09-metrics--gt-0004","","",37344,37367,10,24
1,"tbl-h09-metrics","headers",1,37521,37526,"Metric","tbl-h09-metrics--gt-0001","Metric","tbl-h09-metrics--gt-0001",37584,37607,6,24
1,"tbl-h09-metrics","headers",2,37605,37608,"Unit","tbl-h09-metrics--gt-0002","Unit","tbl-h09-metrics--gt-0002",37686,37709,4,24
1,"tbl-h09-metrics","headers",3,37669,37681,"Analysis unit","tbl-h09-metrics--gt-0003","Analysis-unit","tbl-h09-metrics--gt-0003",37770,37793,13,24
1,"tbl-h09-metrics","headers",4,37741,37750,"Definition","tbl-h09-metrics--gt-0004","Definition","tbl-h09-metrics--gt-0004",37853,37876,10,24
1,"tbl-h09-metrics","headers",5,37880,37885,"Metric","tbl-h09-metrics--gt-0001","Metric","tbl-h09-metrics--gt-0001",38006,38029,6,24
1,"tbl-h09-metrics","headers",6,37973,37976,"Unit","tbl-h09-metrics--gt-0002","Unit","tbl-h09-metrics--gt-0002",38117,38140,4,24
1,"tbl-h09-metrics","headers",7,38048,38060,"Analysis unit","tbl-h09-metrics--gt-0003","Analysis-unit","tbl-h09-metrics--gt-0003",38212,38235,13,24
1,"tbl-h09-metrics","headers",8,38131,38140,"Definition","tbl-h09-metrics--gt-0004","Definition","tbl-h09-metrics--gt-0004",38306,38329,10,24
1,"tbl-h09-metrics","headers",9,38302,38307,"Metric","tbl-h09-metrics--gt-0001","Metric","tbl-h09-metrics--gt-0001",38491,38514,6,24
1,"tbl-h09-metrics","headers",10,38390,38393,"Unit","tbl-h09-metrics--gt-0002","Unit","tbl-h09-metrics--gt-0002",38597,38620,4,24
1,"tbl-h09-metrics","headers",11,38454,38466,"Analysis unit","tbl-h09-metrics--gt-0003","Analysis-unit","tbl-h09-metrics--gt-0003",38681,38704,13,24
1,"tbl-h09-metrics","headers",12,38526,38535,"Definition","tbl-h09-metrics--gt-0004","Definition","tbl-h09-metrics--gt-0004",38764,38787,10,24
1,"tbl-h09-metrics","headers",13,38663,38668,"Metric","tbl-h09-metrics--gt-0001","Metric","tbl-h09-metrics--gt-0001",38915,38938,6,24
1,"tbl-h09-metrics","headers",14,38761,38764,"Unit","tbl-h09-metrics--gt-0002","Unit","tbl-h09-metrics--gt-0002",39031,39054,4,24
1,"tbl-h09-metrics","headers",15,38836,38848,"Analysis unit","tbl-h09-metrics--gt-0003","Analysis-unit","tbl-h09-metrics--gt-0003",39126,39149,13,24
1,"tbl-h09-metrics","headers",16,38919,38928,"Definition","tbl-h09-metrics--gt-0004","Definition","tbl-h09-metrics--gt-0004",39220,39243,10,24
1,"tbl-h09-metrics","headers",17,39043,39048,"Metric","tbl-h09-metrics--gt-0001","Metric","tbl-h09-metrics--gt-0001",39358,39381,6,24
1,"tbl-h09-metrics","headers",18,39154,39157,"Unit","tbl-h09-metrics--gt-0002","Unit","tbl-h09-metrics--gt-0002",39487,39510,4,24
1,"tbl-h09-metrics","headers",19,39218,39230,"Analysis unit","tbl-h09-metrics--gt-0003","Analysis-unit","tbl-h09-metrics--gt-0003",39571,39594,13,24
1,"tbl-h09-metrics","headers",20,39290,39299,"Definition","tbl-h09-metrics--gt-0004","Definition","tbl-h09-metrics--gt-0004",39654,39677,10,24
2,"tbl-h09-formulas","id",1,50721,50730,"Instrument","tbl-h09-formulas--gt-0001","","",51099,51123,10,25
2,"tbl-h09-formulas","id",2,50858,50861,"Role","tbl-h09-formulas--gt-0002","","",51251,51275,4,25
2,"tbl-h09-formulas","id",3,50983,50989,"Formula","tbl-h09-formulas--gt-0003","","",51397,51421,7,25
