"order","endpoint","native_gt_count","caption_count","rows","header_cells","body_cells","caption","status"
1,"tbl-h09-metrics",1,1,6,4,20,"Table 1: Registered H09 timing outcomes.","PASS"
2,"tbl-h09-formulas",1,1,7,3,18,"Table 2: Exact Wilkinson formulas used for the principal H09 comparisons.","PASS"
3,"tbl-h09-primary-samples",1,1,22,4,81,"Table 3: Exact primary-dataset fitted samples by registered outcome, instrument, and placement.","PASS"
4,"tbl-h09-near-eye-results",1,1,12,6,61,"Table 4: Primary near-eye chronotype associations, 95% CIs, p-values, and exact fitted samples.","PASS"
5,"tbl-h09-chest-results",1,1,12,6,61,"Table 5: Complementary chest chronotype associations, 95% CIs, p-values, and exact fitted samples.","PASS"
6,"tbl-h09-paired-placement",1,1,12,5,51,"Table 6: Exactly matched near-eye and chest component estimates.","PASS"
7,"tbl-h09-interactions",1,1,22,6,121,"Table 7: Chronotype-by-site interaction tests for the primary dataset.","PASS"
8,"tbl-h09-qualified-diagnostics",1,1,8,5,31,"Table 8: Primary targets retaining at least one explicit model-check limitation.","PASS"
9,"tbl-h09-gap-sensitivity",1,1,7,7,36,"Table 9: Registered dataset-sensitivity comparisons requiring qualification.","PASS"
10,"tbl-h09-sensitivity-summary",1,1,5,3,12,"Table 10: Summary of structured sensitivity classifications.","PASS"
11,"tbl-h09-mean-timing-sensitivity",1,1,6,5,21,"Table 11: Distinct mean-timing sensitivity outside the registered five-metric families.","PASS"
