"relative_path","sha256_pre","bytes_pre","sha256_post","bytes_post","exact","expected_transition","status"
"_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html","cd0ce2210949559408d07bcbccac502d3b0a372b4229da70bdfc6dbe0c52f66b",732155,"cd0ce2210949559408d07bcbccac502d3b0a372b4229da70bdfc6dbe0c52f66b",732155,TRUE,FALSE,"PASS"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,TRUE,FALSE,"PASS"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.qmd","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c",43562,"4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c",43562,TRUE,FALSE,"PASS"
"_build/nathealth/notebooks/hypotheses/H08.html","472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a",340040,"472848d0da3e3996fa1727151048e3cab4a7e363dba3dc8eda8b024eb5a4ca9a",340040,TRUE,FALSE,"PASS"
"_build/nathealth/notebooks/hypotheses/H09.html","ce6c4c644af675e5feb25dcbc834b55c3ddfc87ec3dc581c95366edc0de067b1",229798,"dbc9122ca0a7be6e051741d8354f9ebdec8e072753d9b2592d6387f9716a7caa",244127,FALSE,TRUE,"PASS"
"_build/nathealth/supplementary_information.html","a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,"a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,TRUE,FALSE,"PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,TRUE,FALSE,"PASS"
"_quarto.yml","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_author_approvals.csv","a7788bb72fe19e68aa3f3116554ffc215299422596dc6863538fbfc069757070",1142,"a7788bb72fe19e68aa3f3116554ffc215299422596dc6863538fbfc069757070",1142,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_base_bundle_audit.csv","21e8a8f965de898e88fc3ab6702e3b26472be3b345e7aa0f4e39df07a42255ae",491,"21e8a8f965de898e88fc3ab6702e3b26472be3b345e7aa0f4e39df07a42255ae",491,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_family_registry.csv","92862d3d769d0822916a4b94c10dc71c56b4feae9547e7ba8903b05bc9121f44",375,"92862d3d769d0822916a4b94c10dc71c56b4feae9547e7ba8903b05bc9121f44",375,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_formula_registry.csv","d315e77544ab99138dc72023360a0baac7d81ed3636a58fd76725ce3fefa233d",2898,"d315e77544ab99138dc72023360a0baac7d81ed3636a58fd76725ce3fefa233d",2898,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_gap_common_sample_audit.csv","53bc4d1d952ddf97a0805de4f8bd172f52e6b8b345003b2285d4003336c0d105",3963,"53bc4d1d952ddf97a0805de4f8bd172f52e6b8b345003b2285d4003336c0d105",3963,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_input_audit.csv","be258bf523eadc318cf8926298e83275f64b38f5c5c4d1cc499f7841c0c2cafb",4253,"be258bf523eadc318cf8926298e83275f64b38f5c5c4d1cc499f7841c0c2cafb",4253,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_metric_display_audit.csv","03e8d9a248b4d70c240e78dbfa7b78461fc20ec889976202a09067395cb2bdbd",2320,"03e8d9a248b4d70c240e78dbfa7b78461fc20ec889976202a09067395cb2bdbd",2320,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_metric_registry.csv","3d42bee1dff468c59ab2dec47561002210cb2320dc83c9da582fcfbaf56f49ae",1815,"3d42bee1dff468c59ab2dec47561002210cb2320dc83c9da582fcfbaf56f49ae",1815,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_METRIC-011_excluded_shared_drift.csv","91d9781466273385338432c7d86c68f35ae65ba828e547659d0cf69720b5b5b9",1266,"91d9781466273385338432c7d86c68f35ae65ba828e547659d0cf69720b5b5b9",1266,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_METRIC-011_input_transition.csv","88dcd748ae57300a63f93caa76d94824836fbca622327744f8c053cd9186812b",2137,"88dcd748ae57300a63f93caa76d94824836fbca622327744f8c053cd9186812b",2137,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_METRIC-011_l10_frame_identity.csv","3a378dc2782128d3aa63cbc66d5e8e63bf60acd26246e48ca9cef7ee709ad96a",983,"3a378dc2782128d3aa63cbc66d5e8e63bf60acd26246e48ca9cef7ee709ad96a",983,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_model_frame_by_site.csv","0539a468bd23dfaab9b90f3e715e486d4e910b57bef0e2ab52bd57c4311f706f",118647,"0539a468bd23dfaab9b90f3e715e486d4e910b57bef0e2ab52bd57c4311f706f",118647,TRUE,FALSE,"PASS"
"artifacts/06_model_data/H09/H09_model_frame_index.csv","5a0fb42c30fa03d7f86c598d74455d7fca3bd8c3d4af957ae014f870e029fadb",39838,"5a0fb42c30fa03d7f86c598d74455d7fca3bd8c3d4af957ae014f870e029fadb",39838,TRUE,FALSE,"PASS"
