"path","exact","classification"
"audit/hypotheses/H09/01_audit_and_plan.html",TRUE,"live-exact"
"audit/hypotheses/H09/01_audit_and_plan.qmd",TRUE,"live-exact"
"audit/hypotheses/H09/02_implementation_and_v0_comparison.html",TRUE,"live-exact"
"audit/hypotheses/H09/02_implementation_and_v0_comparison.qmd",TRUE,"live-exact"
"audit/hypotheses/H09/H09_stage1_gate_and_stage2_transition.md",FALSE,"expected historical-to-fresh transition"
"audit/hypotheses/H09/H09_stage2_gate_and_stage3_transition.md",TRUE,"live-exact"
"audit/hypotheses/H09/H09_stage3_gate_and_stage4_transition.md",TRUE,"live-exact"
"scripts/hypotheses/H09/build_h09_stage3_manifest.R",TRUE,"live-exact"
"scripts/hypotheses/H09/finalize_h09_figure_qa.R",TRUE,"live-exact"
"scripts/hypotheses/H09/h09_contract.R",FALSE,"expected historical-to-fresh transition"
"scripts/hypotheses/H09/h09_modeling.R",TRUE,"live-exact"
"scripts/hypotheses/H09/run_h09_stage2.R",FALSE,"expected historical-to-fresh transition"
"audit/handoffs/H09_worker_handoff.md",FALSE,"expected historical-to-fresh transition"
"artifacts/10_figures/H09/H09_diagnostics_chest.pdf",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_diagnostics_chest.png",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_diagnostics_near_eye.png",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_paired_placement_effects.pdf",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_paired_placement_effects.png",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_primary_effects.pdf",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_primary_effects.png",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_v0_chest_recreation.pdf",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_v0_chest_recreation.png",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_v0_near_eye_recreation.pdf",TRUE,"live-exact"
"artifacts/10_figures/H09/H09_v0_near_eye_recreation.png",TRUE,"live-exact"
"artifacts/11_source_data/H09/H09_linearity_curve_data.csv",TRUE,"live-exact"
"artifacts/11_source_data/H09/H09_paired_placement_effects_data.csv",TRUE,"live-exact"
"artifacts/11_source_data/H09/H09_primary_diagnostic_figure_data.csv",TRUE,"live-exact"
"artifacts/11_source_data/H09/H09_primary_diagnostic_plot_data.csv",TRUE,"live-exact"
"artifacts/11_source_data/H09/H09_primary_effects_data.csv",TRUE,"live-exact"
"artifacts/11_source_data/H09/H09_v0_observed_figure_data.csv",TRUE,"live-exact"
"artifacts/11_source_data/H09/H09_v0_prediction_figure_data.csv",TRUE,"live-exact"
"audit/handoffs/H09_shared_change_request.md",FALSE,"expected historical-to-fresh transition"
"tests/hypotheses/H09/test_h09_stage2.R",TRUE,"live-exact"
"tests/hypotheses/H09/test_h09_stage3_reader_report.R",TRUE,"live-exact"
"renv.lock",TRUE,"live-exact"
"artifacts/08_diagnostics/H09/H09_chronotype_score_audit.csv",TRUE,"live-exact"
"artifacts/08_diagnostics/H09/H09_chronotype_value_audit.csv",TRUE,"live-exact"
"artifacts/08_diagnostics/H09/H09_clock_support.csv",TRUE,"live-exact"
