"target","expected","exact_match"
"../../artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv","../../artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv",TRUE
"../../artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv","../../artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv",TRUE
"../../artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv","../../artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv",TRUE
"../../artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv","../../artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv",TRUE
"../../artifacts/09_tables/H09/H09_ar1_sensitivity.csv","../../artifacts/09_tables/H09/H09_ar1_sensitivity.csv",TRUE
"../../artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv","../../artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv",TRUE
"../../artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv","../../artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv",TRUE
"../../artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv","../../artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv",TRUE
"../../artifacts/09_tables/H09/H09_model_results_master.csv","../../artifacts/09_tables/H09/H09_model_results_master.csv",TRUE
"../../artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv","../../artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv",TRUE
"../../artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv","../../artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv",TRUE
"../../artifacts/09_tables/H09/H09_site_specific_slopes.csv","../../artifacts/09_tables/H09/H09_site_specific_slopes.csv",TRUE
"../../artifacts/11_source_data/H09/H09_paired_placement_effects_data.csv","../../artifacts/11_source_data/H09/H09_paired_placement_effects_data.csv",TRUE
"../../artifacts/11_source_data/H09/H09_primary_effects_data.csv","../../artifacts/11_source_data/H09/H09_primary_effects_data.csv",TRUE
"../../artifacts/12_manifests/H09/H09_figure_manifest.csv","../../artifacts/12_manifests/H09/H09_figure_manifest.csv",TRUE
"../../audit/hypotheses/H09/H09_analysis_preparation.qmd","../../audit/hypotheses/H09/H09_analysis_preparation.qmd",TRUE
"../preparation/04_metric_derivation.qmd","../preparation/04_metric_derivation.qmd",TRUE
"../preparation/06_model_ready_datasets.qmd","../preparation/06_model_ready_datasets.qmd",TRUE
"../preregistration_deviations.qmd#dev-037","../preregistration_deviations.qmd#dev-037",TRUE
"../preregistration_deviations.qmd#dev-038","../preregistration_deviations.qmd#dev-038",TRUE
"../preregistration_deviations.qmd#dev-039","../preregistration_deviations.qmd#dev-039",TRUE
