"check","observed","expected","pass"
"fresh_result_html_identity","736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9","736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9",TRUE
"table_count_and_order","tbl-h02-near-variation | tbl-h02-near-dominance | tbl-h02-near-relevance | tbl-h02-near-windows | tbl-h02-chest-variation | tbl-h02-chest-dominance | tbl-h02-chest-relevance | tbl-h02-chest-windows | tbl-h02-near-diagnostics | tbl-h02-chest-diagnostics | tbl-h02-sensitivity | tbl-h02-near-sample | tbl-h02-chest-sample | tbl-h02-model-deviations | tbl-h02-data-deviations","15 accepted table IDs in order",TRUE
"figure_count_and_order","fig-h02-near-patterns | fig-h02-chest-patterns | fig-h02-paired-placement-curves | fig-h02-near-diagnostics | fig-h02-chest-diagnostics","5 accepted figure IDs in order",TRUE
"table_native_semantics","15","15",TRUE
"captions_exactly_one_nonempty_per_endpoint","20","20",TRUE
"figure_alt_and_sources","5","5",TRUE
"unique_document_ids","0","0",TRUE
"table_headers_530_resolve","530","530",TRUE
"document_idrefs_552_resolve","552","552",TRUE
"registration_links_22","22","22",TRUE
"registration_anchors_18","18","18",TRUE
"country_site_labels_9","9","9",TRUE
"reader_links_with_DOC001_hold","100","100",TRUE
"DOC001_exactly_one","1","1",TRUE
"no_second_unresolved_link","0","0",TRUE
"external_scheme_classification","5",">=1",TRUE
"source_data_links_resolve","4","4",TRUE
"companion_navigation","3",">=1",TRUE
"no_unresolved_crossrefs","0","0",TRUE
"no_error_warning_stderr","0","0",TRUE
"semantic_reverse_and_dom","TRUE","TRUE",TRUE
