"role","path","sha256","bytes","current_sha256","current_bytes","pre_dispatch_exact","authorized_reader_transition","pass"
"controlling_order","audit/report_harmonization/owner_orders/33g_h02_result_no_rerender_completion.md","dd2762b8b884e88078f05fa71021924f76a4735e0f7c6bcbd496414ac2dc5494",8457,"dd2762b8b884e88078f05fa71021924f76a4735e0f7c6bcbd496414ac2dc5494",8457,TRUE,FALSE,TRUE
"report018_decision","audit/decisions/report_harmonization_render_completion_priority.md","0cb7c62806b40c1702c7fdde994d98090f0fc820abfa32205a8e58e392681ecf",4731,"0cb7c62806b40c1702c7fdde994d98090f0fc820abfa32205a8e58e392681ecf",4731,TRUE,FALSE,TRUE
"scheduling_override","audit/report_harmonization/report017_render_completion_scheduling_override.md","117dfedc650dc035b74978a7621cac8ef7bf14c8caf4533d0a94f7fecb1b52e0",2477,"117dfedc650dc035b74978a7621cac8ef7bf14c8caf4533d0a94f7fecb1b52e0",2477,TRUE,FALSE,TRUE
"decision_register_baseline","audit/ledgers/decision_register.csv","b3c725a739fc4d69372a99c0b07eeb42de79818cda75989aa5d7f3b1379aae4f",130671,"b3c725a739fc4d69372a99c0b07eeb42de79818cda75989aa5d7f3b1379aae4f",130671,TRUE,FALSE,TRUE
"change_log_baseline","audit/ledgers/change_log.csv","cdc2b6a786b9b98d7cfde5f1061d9ab8cbb2bca888a353da9ae4964f54693939",195371,"cdc2b6a786b9b98d7cfde5f1061d9ab8cbb2bca888a353da9ae4964f54693939",195371,TRUE,FALSE,TRUE
"coordination_matrix","audit/report_harmonization/coordination_matrix.csv","15bb2b01a2e7fa9057693e2a991f8593c4a20679ca7b68cdb90ac6b36677cacf",25614,"15bb2b01a2e7fa9057693e2a991f8593c4a20679ca7b68cdb90ac6b36677cacf",25614,TRUE,FALSE,TRUE
"stopped_acceptance","audit/report_harmonization/report017_h02_order33f_stopped_independent_acceptance.md","835a74d5a42204324a6e34e467b842b8b455c86342d58008a48ad9684aa5cb3c",5838,"835a74d5a42204324a6e34e467b842b8b455c86342d58008a48ad9684aa5cb3c",5838,TRUE,FALSE,TRUE
"complete_reader_contract_audit","audit/report_harmonization/report017_h02_order33f_reader_contract_audit.csv","23285479db1ac83b0c83569ef2ce80906e8bb9232be847ebb21e3f7e34a20db9",3422,"23285479db1ac83b0c83569ef2ce80906e8bb9232be847ebb21e3f7e34a20db9",3422,TRUE,FALSE,TRUE
"stopped_acceptance_manifest","audit/report_harmonization/report017_h02_order33f_stopped_acceptance_manifest.csv","1bf2e52d158a2cdf14a8bd05311fb660c9f3d5e525b3437dc589aacec155a2cc",3002,"1bf2e52d158a2cdf14a8bd05311fb660c9f3d5e525b3437dc589aacec155a2cc",3002,TRUE,FALSE,TRUE
"owner_order33f_record","audit/hypotheses/H02/report017_order33f_result_render/render_execution_record.md","8fe279da0dc645e8c3a25cf663d57b21c4139b79138772795eaf34b6eed7b828",4908,"8fe279da0dc645e8c3a25cf663d57b21c4139b79138772795eaf34b6eed7b828",4908,TRUE,FALSE,TRUE
"owner_order33f_defects","audit/hypotheses/H02/report017_order33f_result_render/consolidated_defects.csv","203164da9697517e4ffc817638c98824f6eb45963d29ce048ef78468437e2699",666,"203164da9697517e4ffc817638c98824f6eb45963d29ce048ef78468437e2699",666,TRUE,FALSE,TRUE
"owner_order33f_manifest","audit/hypotheses/H02/report017_order33f_result_render/owner_evidence_manifest.csv","2481dba7362f6472cc508e20434567bb3d8b70c7f18607685501606eec7af855",11113,"2481dba7362f6472cc508e20434567bb3d8b70c7f18607685501606eec7af855",11113,TRUE,FALSE,TRUE
"accepted_result_source","notebooks/hypotheses/H02.qmd","4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d",57148,"4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d",57148,TRUE,FALSE,TRUE
"held_companion_source","audit/hypotheses/H02/H02_analysis_preparation.qmd","92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1",55146,"92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1",55146,TRUE,FALSE,TRUE
"reader_test_mutation_target","tests/hypotheses/H02/test_h02_reader_report.R","0b044d2995645f6cfa50e28e2bdf330b8801002761a84520b169a1a3eb6771db",16044,"479a702e7c5c52cf85e8591300a30c759da945f4c65ecb28cad67bb2e6752d3f",16545,FALSE,TRUE,TRUE
"paired_test","tests/hypotheses/H02/test_h02_paired_placement_display.R","873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a",3790,"873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a",3790,TRUE,FALSE,TRUE
"held_preparation_test","tests/hypotheses/H02/test_h02_preparation_report.R","ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8",14895,"ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8",14895,TRUE,FALSE,TRUE
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,TRUE,FALSE,TRUE
"semantic_wrapper","scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,TRUE,FALSE,TRUE
"semantic_engine","scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,TRUE,FALSE,TRUE
"fresh_result_html","_build/nathealth/notebooks/hypotheses/H02.html","736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9",296427,"736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9",296427,TRUE,FALSE,TRUE
"held_companion_html","_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html","d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa",580722,"d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa",580722,TRUE,FALSE,TRUE
"handoff","audit/handoffs/H02_worker_handoff.md","fbb74b2ed98756e1e8eb7f4b0be14cc8ec4a1873d766c1828390ebd9f5793441",45489,"fbb74b2ed98756e1e8eb7f4b0be14cc8ec4a1873d766c1828390ebd9f5793441",45489,TRUE,FALSE,TRUE
"worker_manifest","artifacts/12_manifests/H02/H02_worker_output_hashes.csv","0f3a96ab08f7fed2b59eb4a45f203297483919b3067bee560c9e239693242331",40049,"0f3a96ab08f7fed2b59eb4a45f203297483919b3067bee560c9e239693242331",40049,TRUE,FALSE,TRUE
"analysis_manifest","artifacts/12_manifests/H02/H02_analysis_manifest.csv","cba73edc1d4974dd9a86a03513af7491aa62e8b09dbb3606895aa3af551b3804",12163,"cba73edc1d4974dd9a86a03513af7491aa62e8b09dbb3606895aa3af551b3804",12163,TRUE,FALSE,TRUE
"held_preparation_manifest","artifacts/12_manifests/H02/H02_preparation_report_manifest.csv","c2e8c5a3b4fcebe53f3f813aa75fac6d3d960384333f59dd1b1501d90b08aaf7",12457,"c2e8c5a3b4fcebe53f3f813aa75fac6d3d960384333f59dd1b1501d90b08aaf7",12457,TRUE,FALSE,TRUE
