"link_text","href","kind","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden_internal_target","pass","completion_classification","accepted_order33g"
"Hypothesis analyses","../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H02 results","../../notebooks/hypotheses/H02.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H02.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"Nature Health analysis and manuscript","../../","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"Manuscript","../../index.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"Supplementary information","../../supplementary_information.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../supplementary_information.html",FALSE,"",FALSE,FALSE,FALSE,"DOC-001_shared_hold",TRUE
"01 Import and state alignment","../../notebooks/preparation/01_import_state_alignment.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"02 Coverage and sample flow","../../notebooks/preparation/02_coverage_sample_flow.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"03 Reference profiles","../../notebooks/preparation/03_reference_profiles.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/03_reference_profiles.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"04 Metric derivation","../../notebooks/preparation/04_metric_derivation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"05 Model-input acquisition","../../notebooks/preparation/05_model_input_acquisition.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"06 Model-ready datasets","../../notebooks/preparation/06_model_ready_datasets.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"07 Example days","../../notebooks/preparation/07_example_days.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/07_example_days.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"Placement decision","../../notebooks/placement_decision.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/placement_decision.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"Descriptive results","../../notebooks/descriptives.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/descriptives.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"Preregistration deviations","../../notebooks/preregistration_deviations.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H01 results","../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H01 preparation and provenance","../../audit/hypotheses/H01/H01_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H02 results","../../notebooks/hypotheses/H02.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H02.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H02 preparation and provenance","../../audit/hypotheses/H02/H02_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H03 results","../../notebooks/hypotheses/H03.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H03.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H03 preparation and provenance","../../audit/hypotheses/H03/H03_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
"H04 results","../../notebooks/hypotheses/H04.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H04.html",TRUE,"",TRUE,FALSE,TRUE,"resolved_internal",TRUE
