"check","pass","detail"
"native_gt",TRUE,"one native gt table"
"rows",TRUE,"rows=17"
"exact_display_cells",TRUE,"accepted content preserved with only authorized reader-label substitutions"
"groups",TRUE,"Duration | Dynamics | Exposure history | Level | Spectrum | Timing"
"images",TRUE,"17 exact image source and alt identities"
"participants_labels",TRUE,"17 Participants labels"
"no_duplicate_fdr",TRUE,"reader decisions use FDR supported / FDR not supported"
"supported_lines_bold",TRUE,"bold=22; expected=22"
"column_widths",TRUE,"135px | 205px | 135px | 155px | 125px | 205px | 200px"
"compact_rows",TRUE,"90-px rows, 82-px thumbnails, 24-px group headings"
"semantic_scopes",TRUE,"scoped_headers=25"
"source_boundary",TRUE,"accepted source remains present and readable"
"descriptive_group_order",TRUE,"Duration | Dynamics | Exposure history | Level | Spectrum | Timing"
"descriptive_metric_order",TRUE,"Time above 1,000 lx melEDI | Time above 250 lx melEDI during wake | Time below 10 lx melEDI before sleep | Time below 1 lx melEDI during sleep | Longest period above 250 lx melEDI | Interdaily stability | Intradaily variability | melEDI dose | Mean melEDI | Brightest 10 h geometric mean | Darkest 10 h geometric mean | Melanopic daylight efficacy ratio | Midpoint of the brightest 10 hours | Midpoint of the darkest 10 hours | First light timing above 250 lx melEDI | Last light timing above 250 lx melEDI | Mean timing of exposure above 250 lx melEDI"
