"row","text"
1," | Overall site FDR-adjusted p |  Photoperiod  |  Latitude  | Site-versus-latitude FDR-adjusted p | Exact fitted sample"
2," |  | Photoperiod association (95% CI) | Photoperiod FDR-adjusted p | Latitude association per 10° (95% CI) | Latitude FDR-adjusted p |  | "
3,"Dynamics"
4,"Interdaily stability | 0.228 | ×0.98 [0.94–1.02] | 0.401 | ×1.01 [0.96–1.06] | 0.903 | 0.175 | nparticipants = 141; nparticipant-days = 816"
5,"Intradaily variability | 0.483 | -0.02 [-0.06–0.02] | 0.327 | -0.04 [-0.08–0.01] | 0.139 | 0.723 | nparticipants = 141; nparticipant-days = 816"
6,"Level"
7,"Mean melEDI | <0.001 | ×1.18 [1.11–1.26] | <0.001 | ×1.15 [1.07–1.25] | 0.002 | 0.032 | nparticipants = 141; nparticipant-days = 816"
8,"Brightest 10 h mean | 0.011 | ×1.24 [1.13–1.36] | <0.001 | ×1.24 [1.11–1.39] | 0.001 | 0.325 | nparticipants = 141; nparticipant-days = 816"
9,"Darkest 10 h mean | <0.001 | ×1.09 [1.03–1.14] | 0.002 | ×1.04 [0.97–1.11] | 0.400 | <0.001 | nparticipants = 141; nparticipant-days = 816"
10,"Duration"
11,"Time above 1,000 lx melEDI | 0.071 | ×1.21 [1.13–1.29] | <0.001 | ×1.03 [0.94–1.12] | 0.769 | 0.053 | nparticipants = 141; nparticipant-days = 816"
12,"Time above 250 lx melEDI during wake | 0.007 | ×1.14 [1.07–1.20] | <0.001 | ×1.12 [1.04–1.20] | 0.013 | 0.053 | nparticipants = 141; nparticipant-days = 737"
13,"Time below 10 lx melEDI before sleep | 0.049 | -0.13 [-0.20–-0.07] h | <0.001 | 0.00 [-0.09–0.09] h | 0.962 | 0.040 | nparticipants = 139; nparticipant-days = 655"
14,"Time below 1 lx melEDI during sleep | 0.058 | ×0.99 [0.97–1.01] | 0.227 | ×1.00 [0.97–1.02] | 0.903 | 0.043 | nparticipants = 141; nparticipant-days = 778"
15,"Longest continuous period above 250 lx melEDI | 0.398 | ×1.12 [1.07–1.19] | <0.001 | ×1.06 [0.99–1.13] | 0.139 | 0.626 | nparticipants = 141; nparticipant-days = 816"
16,"Timing"
17,"Midpoint of the brightest 10 hours | <0.001 | 0.05 [-0.05–0.15] h | 0.305 | 0.19 [0.06–0.32] h | 0.013 | 0.010 | nparticipants = 141; nparticipant-days = 816"
18,"Midpoint of the darkest 10 hours | 0.020 | -0.15 [-0.25–-0.05] h | 0.004 | 0.12 [-0.00–0.24] h | 0.114 | 0.043 | nparticipants = 141; nparticipant-days = 816"
19,"Mean timing of exposure above 250 lx melEDI | <0.001 | 0.12 [0.03–0.21] h | 0.013 | 0.33 [0.21–0.46] h | <0.001 | <0.001 | nparticipants = 141; nparticipant-days = 742"
20,"First light timing above 250 lx melEDI | 0.112 | -0.10 [-0.25–0.05] h | 0.227 | 0.02 [-0.17–0.21] h | 0.903 | 0.077 | nparticipants = 140; nparticipant-days = 727"
21,"Last light timing above 250 lx melEDI | <0.001 | 0.32 [0.19–0.46] h | <0.001 | 0.46 [0.27–0.64] h | <0.001 | <0.001 | nparticipants = 141; nparticipant-days = 687"
22,"Exposure history"
23,"melEDI dose | 0.209 | ×1.28 [1.17–1.39] | <0.001 | ×1.02 [0.91–1.13] | 0.903 | 0.156 | nparticipants = 141; nparticipant-days = 761"
24,"Spectrum"
25,"Melanopic daylight efficacy ratio | <0.001 | 0.02 [0.02–0.03] | <0.001 | -0.01 [-0.02–-0.00] | 0.013 | 0.010 | nparticipants = 137; nparticipant-days = 702"
