run_id,distribution,standardization_status,inferential_role,placement,category_order,category_code,light_source,short_label,hours,participants,participant_days,sites,primary_additive_p_raw,primary_additive_p_adjusted,architecture,expected_mel_edi_lx,expected_conf_low_lx,expected_conf_high_lx,ratio_to_indoor,ratio_conf_low,ratio_conf_high,standardization_sites,supported_sites
reader_interaction_summary__near_eye,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Near-eye,1,electric_indoor,Electric light source indoors,Indoor electric,4629,138,695,9,,,full_literal,85.11399611853855,71.62570823455935,101.1423483805942,1,1,1,9,9
reader_interaction_summary__near_eye,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Near-eye,2,electric_outdoor,Electric light source outdoors,Outdoor electric,203,54,118,9,0.8720917394338877,0.8720917394338877,full_literal,9.391203902628924,6.873217614431379,12.831648245150037,0.11033677574660884,0.07799626687160155,0.1560870099359855,9,4
reader_interaction_summary__near_eye,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Near-eye,3,daylight_indoor,Daylight indoors,Indoor daylight,4804,138,692,9,1.1596208260032757e-11,2.3192416520065513e-11,full_literal,198.75883826752832,169.24600661606874,233.4180674588912,2.3352074550784363,1.8771962689302344,2.9049673433250223,9,9
reader_interaction_summary__near_eye,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Near-eye,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,1557,135,512,9,3.7183968898546925e-39,2.2310381339128158e-38,full_literal,959.5694240963508,786.8213327247419,1170.244681180653,11.273932230369669,8.708508168089546,14.595100042588728,9,9
reader_interaction_summary__near_eye,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Near-eye,5,display,Emissive display light,Emissive display,664,88,235,9,0.01442830095005972,0.01731396114007166,full_literal,23.822733808357768,17.439469870587963,32.5424253326078,0.27989208467171206,0.1970392853073867,0.3975835526385763,9,8
reader_interaction_summary__near_eye,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Near-eye,6,sleep_darkness,Darkness during sleep,Sleep darkness,5225,130,712,9,4.823808344413015e-21,1.4471425033239042e-20,full_literal,2.2376740337273704,1.53735156995348,3.2570201761782025,0.02629031811185264,0.01750323672757628,0.03948874354955471,9,9
reader_interaction_summary__near_eye,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Near-eye,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,853,66,233,9,0.00970320822942659,0.01455481234413989,full_literal,11.17814765475344,8.056146150949541,15.510019635969789,0.13133148676494516,0.0913725773165346,0.18876516261700987,9,5
reader_interaction_summary__chest,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Chest,1,electric_indoor,Electric light source indoors,Indoor electric,5468,149,765,8,,,full_observed_cell,86.19973489577059,72.11676822248289,103.03282411627332,1,1,1,8,8
reader_interaction_summary__chest,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Chest,2,electric_outdoor,Electric light source outdoors,Outdoor electric,219,59,129,8,0.10326768735002956,0.10326768735002956,full_observed_cell,49.40514770559492,35.81237214734206,68.15713323231535,0.5731473277189743,0.4041927981117301,0.8127256616299119,8,4
reader_interaction_summary__chest,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Chest,3,daylight_indoor,Daylight indoors,Indoor daylight,4979,148,741,8,7.423064634327005e-17,2.2269193902981017e-16,full_observed_cell,201.49324820754953,170.39538458920657,238.266600771538,2.337515868827061,1.8763001020295835,2.912103682725366,8,8
reader_interaction_summary__chest,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Chest,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,1686,145,554,8,1.408195499336977e-44,8.449172996021859e-44,full_observed_cell,1105.656166490666,914.4655615051204,1336.8196791213888,12.826677110174217,9.925231780615368,16.57630263204459,8,8
reader_interaction_summary__chest,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Chest,5,display,Emissive display light,Emissive display,861,97,275,8,0.00399353312469372,0.00599029968704058,full_observed_cell,27.27507560634669,18.898944635496964,39.3635604357844,0.3164171634556262,0.21000969040389553,0.4767390549300449,8,7
reader_interaction_summary__chest,site_standardized,ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Chest,6,sleep_darkness,Darkness during sleep,Sleep darkness,5540,142,767,8,4.742067215772547e-10,9.484134431545094e-10,full_observed_cell,2.5134706280056203,1.6555528087244782,3.815966826642223,0.02915868164843908,0.01833138298703166,0.04638104588598163,8,8
reader_interaction_summary__chest,site_standardized,CATEGORY_STANDARDIZATION_NON_ESTIMABLE,descriptive site-standardized estimate from accepted heterogeneity model; primary additive omnibus remains separate,Chest,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,759,63,225,7,0.01702985272688152,0.02043582327225783,full_observed_cell,,,,,,,7,0
