placement,metric_order,metric_id,prepared_rows,site_photoperiod_model,metric,retention
Near eye,1,interdaily_stability,141,141,Interdaily stability,1
Chest,1,interdaily_stability,154,153,Interdaily stability,0.9935064935064936
Near eye,2,intradaily_variability,141,141,Intradaily variability,1
Chest,2,intradaily_variability,154,153,Intradaily variability,0.9935064935064936
Near eye,3,daily_geometric_mean_medi,816,816,Mean melEDI,1
Chest,3,daily_geometric_mean_medi,902,902,Mean melEDI,1
Near eye,4,m10_mean_medi,816,816,Brightest 10 h mean,1
Chest,4,m10_mean_medi,902,902,Brightest 10 h mean,1
Near eye,5,l10_mean_medi,816,816,Darkest 10 h mean,1
Chest,5,l10_mean_medi,902,902,Darkest 10 h mean,1
Near eye,6,duration_above_1000,816,816,"Time above 1,000 lx melEDI",1
Chest,6,duration_above_1000,902,902,"Time above 1,000 lx melEDI",1
Near eye,7,duration_above_250_wake,816,737,Time above 250 lx melEDI during wake,0.9031862745098039
Chest,7,duration_above_250_wake,902,818,Time above 250 lx melEDI during wake,0.9068736141906873
Near eye,8,duration_below_10_pre_sleep,816,655,Time below 10 lx melEDI before sleep,0.8026960784313726
Chest,8,duration_below_10_pre_sleep,902,743,Time below 10 lx melEDI before sleep,0.8237250554323725
Near eye,9,duration_below_1_sleep_environment,816,778,Time below 1 lx melEDI during sleep,0.9534313725490197
Chest,9,duration_below_1_sleep_environment,902,861,Time below 1 lx melEDI during sleep,0.9545454545454546
Near eye,10,longest_bout_above_250,816,816,Longest continuous period above 250 lx melEDI,1
Chest,10,longest_bout_above_250,902,902,Longest continuous period above 250 lx melEDI,1
Near eye,11,m10_midpoint,816,816,Midpoint of the brightest 10 hours,1
Chest,11,m10_midpoint,902,902,Midpoint of the brightest 10 hours,1
Near eye,12,l10_midpoint,816,816,Midpoint of the darkest 10 hours,1
Chest,12,l10_midpoint,902,902,Midpoint of the darkest 10 hours,1
Near eye,13,mean_timing_above_250,816,742,Mean timing of exposure above 250 lx melEDI,0.9093137254901961
Chest,13,mean_timing_above_250,902,831,Mean timing of exposure above 250 lx melEDI,0.9212860310421286
Near eye,14,first_timing_above_250,816,727,First light timing above 250 lx melEDI,0.8909313725490197
Chest,14,first_timing_above_250,902,802,First light timing above 250 lx melEDI,0.8891352549889135
Near eye,15,last_timing_above_250,816,687,Last light timing above 250 lx melEDI,0.8419117647058824
Chest,15,last_timing_above_250,902,787,Last light timing above 250 lx melEDI,0.8725055432372506
Near eye,16,dose_time_sensitive_corrected_medi,816,761,melEDI dose,0.9325980392156863
Chest,16,dose_time_sensitive_corrected_medi,902,851,melEDI dose,0.9434589800443459
Near eye,17,mder_ratio_of_integrals,816,760,Melanopic daylight efficacy ratio,0.9313725490196079
Chest,17,mder_ratio_of_integrals,902,850,Melanopic daylight efficacy ratio,0.9423503325942351
