authority,project_relative_path,bytes,sha256,role
central,audit/decisions/brown_adherence_stage3_order50_protected_token_scope_verifier_correction.md,4438,dfc6c433f45c4ec8a6c9cdd3460ba9fbeadeca86ef342dd6f823df7493dc3466,controlling_correction
central,audit/decisions/brown_adherence_stage3_order50_endpoint_order_verifier_correction.md,3356,96f95700cc1343aaf59351c58d46c67ec93bf7439e32865afc94bf9b69f9524e,prior_correction
central,audit/decisions/brown_adherence_stage3_order50_endpoint_order_verifier_correction_manifest.csv,2255,63905b238b55f02ea676b59169bf063a246d3d2d392d90539d860c3eb83ee108,prior_correction_manifest
central,audit/report_harmonization/owner_orders/50_brown_stage3_language_harmonization_result_render.md,11016,e2dac377ae70eab9640650a01f9292540e1a99ce2c8707432d50d18e41695ca7,owner_order
brown,audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd,55426,2b3de9594e748f34753a03e8f0e8925e8aae8918d000cb2680392e98b7b49a43,immutable_stage3_source
brown,audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html,4813483,ff5f95248d854d15b2be7ff8f751eb133106e966a3561e58c25ef1bd377767bb,current_raw_html
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/raw_stage3_render.html,4813483,ff5f95248d854d15b2be7ff8f751eb133106e966a3561e58c25ef1bd377767bb,sealed_raw_copy
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/semantic_candidate.html,4825090,3ab7bdd7b86d513d66528b57cab1410de3c48902ce1386d17bca876d63a0926d,existing_semantic_candidate
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/semantic_repair_ledger.csv,93931,828067ef5b23e9d16d420f3aec517d3688e36053095095779381edc3227d9d2e,existing_semantic_ledger
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/03_verify_and_promote_semantic_candidate.R,27092,441e027579f6329e7399688ddbdcbe072911cdedc562c29177f36d5de123b49a,current_validator
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/candidate_verifier_protected_token_scope_stop/stop_manifest.csv,2200,7e657f42b674b936d982545870bf75ba5097e6adf902326bf395d3aef7a1587b,accepted_stop_manifest
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/candidate_verifier_protected_token_scope_stop/consolidated_defect_list.md,1143,eb7d043961f969af4d6a2dc740ced08ab9cfccbbbf21ff5b89afb344b1ddde95,accepted_defect_record
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/candidate_verifier_protected_token_scope_stop/protected_token_scope_audit.csv,1510,047a1919e9b994e030295cbaa4394613cb682fe5fe680503a835aff8f2f084be,paired_token_audit
brown,audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd,24416,628b3f4dc54180180477d248cbb329a5fba6c92dc01190452efda47a80ff3475,held_stage4_source
brown,audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.html,4340432,c32f4a20da7533e1ae722b0bbad6b4e822889ac14bbbddf0ef0303a8ea1e9f3f,held_stage4_html
brown,renv.lock,603493,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,held_lockfile
