"root","path","bytes","sha256","role"
"central","audit/decisions/brown_adherence_ba015_two_line_fallback_candidate_recovery.md",8278,"ac7acdbcd25a94c0df68f373a02d5bc251c581ce62a62a9ca09c90172532d96e","controlling fallback decision"
"central","scripts/report_harmonization/check_brown_ba015_preferred_candidate_stop.R",13710,"bbdc8ca788b1b22236285603b6469e3580451b5799b9e809f598363f0e7c0d75","R 4.6.1 preferred-candidate checker"
"central","audit/decisions/brown_adherence_ba015_two_line_fallback_candidate_recovery_verification.md",3814,"fb6559579593148403a360f866e1570f611441701a9af53fe59f1a58bbfe9f61","independent verification record"
"central","audit/decisions/brown_adherence_ba015_internal_plot_note_clipping_recovery.md",12380,"7996e10c5854526910faf104d450cf02406008933f9b2467e93e3895321cc912","parent display recovery"
"central","audit/decisions/brown_adherence_ba015_internal_plot_note_clipping_recovery_verification.md",3765,"199e774af7330a3068fbee0a8d7fbb80a661714fceffd6dcae4e6805ef075929","parent independent verification"
"central","scripts/report_harmonization/check_brown_ba015_internal_plot_note_clipping_stop.R",14759,"2c346ffa39bd093752f6383e17d4591c8435701f7a45fefd6a7e8ae58480f892","parent R checker"
"central","audit/decisions/brown_adherence_ba015_internal_plot_note_clipping_recovery_manifest.csv",6889,"5a293d65bb68a42422c8cf912169bf08290c746e863f8061e0c2bf36366a2be6","parent non-circular manifest"
"central","audit/decisions/brown_adherence_site_daytype_vs_equal_site_stage2_stage3_reopening.md",20580,"59877990f607cf7d74dcd8e46674b926ed7a6d6ddf8ac030991e1389b02a789a","controlling BA-015 scientific authority"
"brown","audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/stage2_ba_m6_final_manifest.csv",21499,"86cbf5d807a2727715b269208bca5177aa38223f1e79163419a2a905f0eb76ea","48-member Stage 2 seal"
"brown","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",52506,"80bd2167095dfcf025de7f79baa495c111641cbd02622345e9c5641225aa0997","frozen reader QMD"
"brown","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html",4812332,"05e5ef35a96f43675b0fd5586ccd693df1fe34e27baf41ee1fc63ee1801bd75c","first-render stopped HTML"
"brown","renv.lock",603493,"3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350","frozen lockfile"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/source_data/main_site_free_work_forest_with_ba_m6_source.csv",19620,"4c2d18282cd222930f91edac6606fd0a98ee313c975728a0cfe372ded565c1fc","frozen paired source"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.png",353290,"b1ccad899fbaec5e55bfc829f422bcab06a3ad8b7e0b5e6bd9cba5b26cd458c9","unchanged canonical PNG"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.svg",32117,"d842bf0bca4b977340336210992872b1da1385e7de800823e8f5e3e454513959","unchanged canonical SVG"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/00_build_ba_m6_display.R",17871,"8eb479b44192c814031f2b8d5f6eebf31b00c0a3787815d138f6ca60c7615977","preferred three-line builder"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/00_build_ba_m6_display_pre_recovery.R",17869,"2401bee54437867c19a47c6a24151ea825c311f4bc9534e51182ad208d039def","historical builder copy"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/01_verify_plot_note_recovery.R",17016,"141120d3687476cacb17feec5971b28666cf65dac9b3158471c5fa8f55fe179a","preferred-candidate verifier"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/pre_recovery_checks.csv",774,"1b1b39509ff693732eeeeab45756d46c0d4bd05dc30e39e1d28a572347f9541f","22 pre-recovery checks"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/pre_recovery_manifest.csv",4621,"61ace6fa043465fcd0f47456c83940a20dd00adcd90f25b19c2510da40aa4da4","19-row pre-recovery manifest"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/pre_recovery_manifest_verification.csv",6140,"df3fcb99ee26b17e2799db34b8ee0760911e4388420c648a5b28daaec5aa803b","pre-recovery manifest verification"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/source_repair_checks.csv",664,"f9b018d93d6afd30c06a6c4493021a074a6278e69f378cff70a810f7d7a101f6","17 source-repair checks"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/source_repair_record.csv",784,"b1312cd0a37d88b40ee29593633a1f4977dd9d8627cc595ea182b86a9db202c0","preferred source-repair record"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/candidate_checks.csv",930,"4dd3f16e29f5425c267fb6a0a651fc586e6daa6242cac075717685171d9b7459","25 preferred-candidate checks"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/candidate_inventory.csv",576,"706ada07bfc118d12d9e29844b3f612dbcd9582c1d32d43d4b97cc42ebb3b608","preferred candidate inventory"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/candidate_pixel_difference_bounds.csv",134,"80734f9831fd160a7c57067470b43594332557ddfd8ff90675b1802cec786684","preferred candidate pixel bounds"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/candidate_svg_comparison.csv",161,"62b18c5d0f009581dffa6bf0b0774b2899b68bfbc75d5342ae25fb7e666cda01","preferred candidate SVG comparison"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/candidate_verification_record.csv",669,"d7dcb9df8ffa7bc7381cd87b00e590f7666dac19f306f0bbf1603336f34df4b1","preferred candidate verification record"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/central_checker_execution.txt",682,"3bbf71835df946ff5d322e910dff5ca0ed71af7286db4aff230c0885f825ddf4","parent central-checker execution"
