root,path,bytes,sha256,role
central,audit/decisions/brown_adherence_ba015_checker_directory_filter_recovery.md,5535,15379db41f4d876a79ecd3bf576a4d853227cc40fb34a43cb94857e04270082d,checker_recovery_authority
central,scripts/report_harmonization/check_brown_ba015_cell_hash_correction_v2.R,7709,e72af288a99a3d5fb4b5493125932f29d412db61a3660558d447381cccc8aa1b,versioned_correction_checker
central,audit/decisions/brown_adherence_ba015_cell_prediction_hash_clerical_correction.md,5843,6919af7a7928a25a3590b6755d6f53fc732801f20de59b084fc7922cd05d64d4,prior_correction_authority
central,scripts/report_harmonization/check_brown_ba015_cell_hash_correction.R,7145,c20dbe2724d5375ed5331dc401e4f0dacd5c24afee93dac14993aee7d139909e,historical_failed_checker
central,audit/decisions/brown_adherence_ba015_cell_prediction_hash_clerical_correction_manifest.csv,3105,d671aa1f074708cd4bd4339999ae49a2d419fd39c6738e1ed01b8f2695a106fa,prior_correction_manifest
central,audit/decisions/brown_adherence_site_daytype_vs_equal_site_stage2_stage3_reopening.md,20580,59877990f607cf7d74dcd8e46674b926ed7a6d6ddf8ac030991e1389b02a789a,historical_BA_015_decision
central,audit/decisions/brown_adherence_site_daytype_vs_equal_site_stage2_stage3_reopening_manifest.csv,1225,350f0efb299520ed943496fb4de749a78f71f03e5c315b0f39cabe946f6de5df,historical_BA_015_manifest
central,audit/ledgers/decision_register.csv,145324,1cd9105ab650f058929b2c44ff02244731689ead691d26f9ec46cb22a4866897,unchanged_decision_ledger
central,audit/ledgers/change_log.csv,210320,bae241e738d5ce1005770aeacd0ad5fbd3817ad891fc8d3766dae50471e5843c,unchanged_change_ledger
brown,audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/preflight_clerical_stop/preflight_clerical_stop_manifest.csv,1982,ca910103f50e64e2742abe2c51005b47e3b1cebe82f5209ac66c9ced554559f6,checker_stop_manifest
brown,audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/preflight_clerical_stop/clerical_recovery_stop_record.csv,741,15c4dbaa4c1335f68f347d39c70b1fd4eb959a130d8d8c6335b58d753236b4ad,checker_stop_record
brown,audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/preflight_clerical_stop/central_correction_checker_output.txt,101,9d55897346a8b85681fee1c8e674856afb490023e4d2af17554a51582f333b1e,failed_checker_output
brown,audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/00_preflight_ba_m6.R,20661,32fd4ea1b84b49a8b96665fe6d09eeaaaa0c3c0536a7b182bddadf75a89a65a7,unchanged_live_preflight
brown,audit/analyses/brown_adherence/stage2_boundary/estimand_cell_predictions.csv,74860,86bc7c1c043e267f888a324c17474d074a1062e8c81b829416c3c8cd076d3c6d,correct_frozen_cell_source
