authority,project_relative_path,bytes,sha256,role
central,audit/decisions/brown_adherence_stage3_order50_endpoint_order_verifier_correction.md,3356,96f95700cc1343aaf59351c58d46c67ec93bf7439e32865afc94bf9b69f9524e,controlling_correction
central,audit/report_harmonization/owner_orders/50_brown_stage3_language_harmonization_result_render.md,11016,e2dac377ae70eab9640650a01f9292540e1a99ce2c8707432d50d18e41695ca7,owner_order
central,audit/report_harmonization/report018_brown_stage3_order50_dispatch.md,1535,9918260e09bc516ede9f2bab1016351e9ad13c3568a6387fd183d88b0c28387c,dispatch_record
central,audit/report_harmonization/report018_brown_stage3_order50_dispatch_manifest.csv,4937,76598807b0d8193a6db5c1f9c53d392ca363764ec15dca04594c2149b8e339e7,dispatch_manifest
central,audit/decisions/brown_adherence_stage3_language_harmonization_render_release.md,6946,b607f852251f94dc8d27330849a1f921efe9341b5fef4fea0adc3799907f1eca,central_render_release
brown,audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd,55426,2b3de9594e748f34753a03e8f0e8925e8aae8918d000cb2680392e98b7b49a43,immutable_stage3_source
brown,audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html,4813483,ff5f95248d854d15b2be7ff8f751eb133106e966a3561e58c25ef1bd377767bb,current_raw_html
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/raw_stage3_render.html,4813483,ff5f95248d854d15b2be7ff8f751eb133106e966a3561e58c25ef1bd377767bb,sealed_raw_copy
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/semantic_candidate.html,4825090,3ab7bdd7b86d513d66528b57cab1410de3c48902ce1386d17bca876d63a0926d,existing_semantic_candidate
brown,audit/analyses/brown_adherence/language_harmonization/stage3_render/semantic_repair_ledger.csv,93931,828067ef5b23e9d16d420f3aec517d3688e36053095095779381edc3227d9d2e,existing_semantic_ledger
brown,audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd,24416,628b3f4dc54180180477d248cbb329a5fba6c92dc01190452efda47a80ff3475,held_stage4_source
brown,audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.html,4340432,c32f4a20da7533e1ae722b0bbad6b4e822889ac14bbbddf0ef0303a8ea1e9f3f,held_stage4_html
