path_class,path,bytes,sha256,role
central,audit/decisions/brown_adherence_cross_state_stage3_acceptance_stage4_transition.md,14113,985c865228d392b8721810d33c5fe89cfc73163393b52ce3074752fda2192ebe,controlling_decision
central,audit/decisions/brown_adherence_cross_state_stage3_acceptance_stage4_transition_verification.md,5951,8e631ed89af58d3eb138bdb20efe0b6a1ef91c28a2b26aa60ba53ae04ac40294,independent_verification
central,scripts/report_harmonization/check_brown_ba016_stage3_acceptance_stage4_transition.R,12143,76f06edb7ad1ce080f532bcb64300302e5efcebdad1c03cc1fb95fe631a7e2cb,independent_checker
central,audit/ledgers/decision_register.csv,147325,7424b0ada651534f6108ce90b96343c27f47cefb7c0fbe7cb4c5b2eeb19911e6,decision_ledger_after_BA_016
central,audit/ledgers/change_log.csv,212363,734d313e41171d280ce97d1ce7ff74c3ea68bd7c604a51409feb0ecd5d968a42,change_ledger_after_CHG_155
central,audit/decisions/brown_adherence_site_daytype_vs_equal_site_stage2_stage3_reopening.md,20580,59877990f607cf7d74dcd8e46674b926ed7a6d6ddf8ac030991e1389b02a789a,BA_015_authority
central,audit/decisions/brown_adherence_ba015_two_line_fallback_candidate_recovery.md,8278,ac7acdbcd25a94c0df68f373a02d5bc251c581ce62a62a9ca09c90172532d96e,display_recovery_authority
central,audit/decisions/brown_adherence_ba015_two_line_fallback_candidate_recovery_verification.md,3814,fb6559579593148403a360f866e1570f611441701a9af53fe59f1a58bbfe9f61,display_recovery_verification
brown_worktree,audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd,52506,80bd2167095dfcf025de7f79baa495c111641cbd02622345e9c5641225aa0997,accepted_stage3_source
brown_worktree,audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html,4808772,9a4f89f2291eaa8926a429a1e12acdc4d7de8d9ca47d37db5801fbd4d5b35fe0,accepted_stage3_html
brown_worktree,audit/analyses/brown_adherence/stage2_boundary/boundary_stage2_final_manifest.csv,140282,24e0adf52dbc516213cc40f34e27c41dc7fe531553520aae7a22397a6d5bdf97,accepted_boundary_stage2_manifest
brown_worktree,audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/stage2_ba_m6_final_manifest.csv,21499,86cbf5d807a2727715b269208bca5177aa38223f1e79163419a2a905f0eb76ea,accepted_BA_M6_manifest
brown_worktree,audit/analyses/brown_adherence/stage2_cross_state_association/cross_state_stage2_final_manifest.csv,62199,ec4549c2aaa07145efbc620ede805f735d3c95e7f047a09707d3eac0ba1fb38b,accepted_cross_state_stage2_manifest
brown_worktree,audit/analyses/brown_adherence/stage3/boundary_stage3_final_manifest.csv,28271,da25895a3e9938992d7b1f0633d6e274e691c3eb87310be565b28d465130271d,accepted_main_stage3_manifest
brown_worktree,audit/analyses/brown_adherence/stage3_cross_state_association/cross_state_stage3_final_manifest.csv,23655,911ca3dfeb362d2bb26fabe1e0b4fc98d270339aac7833b33faf9c2a613674df,accepted_cross_state_stage3_manifest
brown_worktree,audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/00_build_ba_m6_display.R,17802,b361b4492f5f2203ef117d8186163047140eab2fe6ea6d981dcd051500151404,accepted_display_builder
brown_worktree,audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/source_data/main_site_free_work_forest_with_ba_m6_source.csv,19620,4c2d18282cd222930f91edac6606fd0a98ee313c975728a0cfe372ded565c1fc,accepted_display_source
brown_worktree,audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.png,350620,c2c58e3c8119457975d57e94b062ddba41ca828ad4326b1e1e6ac19bb7f1151a,accepted_display_png
brown_worktree,audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.svg,32059,126acff6b1794864fc5b5797915046f884cc0890d445adc2aa437058f6d90fe0,accepted_display_svg
brown_worktree,audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/fallback_candidate_recovery/fallback_recovery_handoff.md,2012,d6a41b2988269a1af064b58130f6de8b54d00b787ba32d904e281fb6d145fd0e,accepted_stage3_handoff
brown_worktree,audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/fallback_candidate_recovery/renewed_author_gate.md,377,e1347a11e65ecc78ab6da59f2fa2771728b1e796588b87342c113cf75ddb2616,historical_author_gate
brown_worktree,audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/fallback_candidate_recovery/final_manifest.csv,44950,69033a670469ba3c511afdd0dce0caa9cf55bc946af548d795584043442e3a21,accepted_76_member_manifest
brown_worktree,renv.lock,603493,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,environment_lock
