"root","path","bytes","sha256","role"
"central","audit/decisions/brown_adherence_ba015_internal_plot_note_clipping_recovery.md",12380,"7996e10c5854526910faf104d450cf02406008933f9b2467e93e3895321cc912","controlling recovery decision"
"central","scripts/report_harmonization/check_brown_ba015_internal_plot_note_clipping_stop.R",14759,"2c346ffa39bd093752f6383e17d4591c8435701f7a45fefd6a7e8ae58480f892","R 4.6.1 stopped-state checker"
"central","audit/decisions/brown_adherence_ba015_internal_plot_note_clipping_recovery_verification.md",3765,"199e774af7330a3068fbee0a8d7fbb80a661714fceffd6dcae4e6805ef075929","independent verification record"
"central","audit/decisions/brown_adherence_site_daytype_vs_equal_site_stage2_stage3_reopening.md",20580,"59877990f607cf7d74dcd8e46674b926ed7a6d6ddf8ac030991e1389b02a789a","controlling BA-015 scientific authority"
"central","audit/decisions/brown_adherence_site_daytype_vs_equal_site_stage2_stage3_reopening_verification.md",4288,"359771da4b9fc2e9b6ff92b78911f2fdf4d3ce824362da80dd9a73dec988f6b0","BA-015 preauthorization verification"
"central","audit/decisions/brown_adherence_ba015_cell_prediction_hash_clerical_correction.md",5843,"6919af7a7928a25a3590b6755d6f53fc732801f20de59b084fc7922cd05d64d4","BA-015-CORR-001 authority"
"central","audit/decisions/brown_adherence_ba015_checker_directory_filter_recovery.md",5535,"15379db41f4d876a79ecd3bf576a4d853227cc40fb34a43cb94857e04270082d","BA-015-CORR-002 authority"
"brown","audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/stage2_ba_m6_final_manifest.csv",21499,"86cbf5d807a2727715b269208bca5177aa38223f1e79163419a2a905f0eb76ea","48-member Stage 2 seal"
"brown","audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/ba_m6_primary_site_free_work_vs_equal_site.csv",13883,"72f978bd6f8b68bcd5e8d99f3d11d5b84798e7c6c1c637da52af3b5002dfc3a1","27 primary BA-M6 contrasts"
"brown","audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/ba_m6_support80_site_free_work_vs_equal_site.csv",12217,"bdefc14687d0bc1eae58f95379779299c594b134a0779d1cb51e93b5057e72e2","27 support-sample BA-M6 contrasts"
"brown","audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/ba_m6_support_gate.csv",6340,"40bd0b1d5a0d872dd3fcaeccbd92ad734bb21060c5ea0512d077f2a52a771061","BA-M6 sensitivity gate"
"brown","audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/derivation_checks.csv",706,"9862f8d2de9862ab5cd92b9c2ff2528550a98cd5eef4a70075ef4bfc592d5f29","18 derivation checks"
"brown","audit/analyses/brown_adherence/stage2_boundary/site_free_work_vs_equal_site_amendment/verification_checks.csv",1174,"f3e1ffccee9273e981dd0bfd0949bbdee473d63e0c40e9170cb687ac91ad0afe","31 independent verification checks"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/00_build_ba_m6_display.R",17869,"2401bee54437867c19a47c6a24151ea825c311f4bc9534e51182ad208d039def","pre-recovery display builder"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/source_data/main_site_free_work_forest_with_ba_m6_source.csv",19620,"4c2d18282cd222930f91edac6606fd0a98ee313c975728a0cfe372ded565c1fc","frozen 27-row paired display source"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.png",353290,"b1ccad899fbaec5e55bfc829f422bcab06a3ad8b7e0b5e6bd9cba5b26cd458c9","pre-recovery clipped PNG"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/figures/main_site_free_work_forest_with_ba_m6.svg",32117,"d842bf0bca4b977340336210992872b1da1385e7de800823e8f5e3e454513959","pre-recovery SVG"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/display_independent_checks.csv",649,"331ae17c129b1093b6a1283f226e462ea51018b637bd0161a9acd0f81659a532","17 display checks"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/qmd_source_checks.csv",981,"0d0570df681d080d33c09bc1123a3eb3fc4033ab22ba40593ba2f30972266434","26 QMD-source checks"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/render_verification_checks.csv",990,"39babba357c2f82c437cc13c2fe849ca1f87ce7e7a26b61aa70417c4509dcb49","28 first-render checks"
"brown","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",52506,"80bd2167095dfcf025de7f79baa495c111641cbd02622345e9c5641225aa0997","frozen reader QMD"
"brown","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html",4812332,"05e5ef35a96f43675b0fd5586ccd693df1fe34e27baf41ee1fc63ee1801bd75c","first-render stopped HTML"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/native_visual_qa_fail_closed.csv",1803,"96bb810ba1c4e4795a6ca151375e257efe56cdeb7130ee9b82bb53a9e6b7abb1","sole visual-failure record"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/loopback_qa_lifecycle.csv",1367,"a8909bc44ba63d98c1a797bb7da8cef781e8caeaf8594dbe03f7ff98d8218447","loopback teardown record"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/qa_fail_closed_handoff.md",1997,"bf129ac5ce4f2751ac3903991adeae80ee82c97460345b3f4d81760a1c1f163c","failed-QA handoff"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/render_execution_record.csv",1648,"24119f3e69d0cfec5cae7ac96facf7a49019413ec05d5afaab45dec8f179d32e","sole BA-015 render record"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/display_artifact_manifest.csv",1047,"c5f2f10687c5166b581ad5fad1ba5c8e145a7855835e721041627eef278a9d37","pre-recovery display artifact manifest"
"brown","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/native_visual_evidence.csv",684,"725d0b17b48ebb92b7c5663d51dac5ef39510dd96261753a881335fedd91561f","native visual evidence index"
