"manuscript_display","path","endpoint","sha256","action"
"Main Table 1","audit/manuscript_nature_health/figure_table_selection_assets/tbl-participant-site-manuscript.html","tbl-participant-site-manuscript","551b4a68b443b3cc8c91c710960a7b03947654fe0dccc1b71277b0fa611e424c","retain_fragment_bytes_and_order"
"Main Table 2","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-main-adherence.html","tbl-plan-brown-main-adherence","71eb7e25da5ec7f44e2324cb9da14a667d5411cf7e354ea5920a2f5b84a26334","retain_fragment_bytes_and_order"
"Main Table 3","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html","tbl-plan-h01-metric-synthesis-candidate","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2","retain_fragment_bytes_and_order"
"Supplementary Table S1","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html","tbl-plan-descriptive-sample-flow","5f856811303db236267269216d61176ff54283174bc824c7f82744f67c2f62c7","retain_fragment_bytes_and_order"
"Supplementary Table S2","audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html","tbl-near-eye-metrics","6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97","retain_fragment_bytes_and_order"
"Supplementary Table S3","audit/manuscript_nature_health/figure_table_selection_assets/tbl-recommendation-context.html","tbl-recommendation-context","acecb8a1860d917ca1a349ad5b71b651285c046e2add21f363fa13f89d3da889","retain_fragment_bytes_and_order"
"Supplementary Table S4","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html","tbl-plan-brown-cross-window-associations","9dc92f253ecb1f0d83256a14db5002a3850c8c1f11c3840e628b7feea1e6a1a6","retain_fragment_bytes_and_order"
"Supplementary Table S5","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html","tbl-plan-h02-glasses-variation-shapley-gt-candidate","1147881a649557c66e9f494193bbe521ef429eec533e5c3787e41b9817bb0a28","retain_fragment_bytes_and_order"
"Supplementary Table S6","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html","tbl-plan-h02-chest-variation-shapley-gt-candidate","1fd4579929dcacccbd6258e007f29367d9738d1a3b162abfe23936fc922ac3d8","retain_fragment_bytes_and_order"
"Supplementary Table S7","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h01-primary-publication-summary.html","tbl-h01-primary-publication-summary","ed6f48b284557044d175d17d70d7fb0e9f82c0f28cfadeb6c83338ea531908d0","retain_fragment_bytes_and_order"
"Supplementary Table S8","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h07-near-results.html","tbl-h07-near-results","91b2d42d9e92ffa6eda43e84f698057ed4201f69ac1aeecdfd864f773918d863","retain_fragment_bytes_and_order"
"Supplementary Table S9","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-primary-effects.html","tbl-h06-primary-effects","d8eb61fd5f7544325d6ad0e1461b7582da946e91a88505c9dcb16671c7c6ba5c","retain_fragment_bytes_and_order"
"Supplementary Table S10","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-person-level-synthesis-gt-candidate.html","tbl-plan-person-level-synthesis-gt-candidate","6831c15b00f9e89b676f9aec846ce2c866bc28b51b541f0080c49d250e7bdcf2","retain_fragment_bytes_and_order"
"Supplementary Table S11 continued A","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-a.html","tbl-h05-near-results-a","37ba60ddf9becb8f46ebdc4d8159a2cfdf55709cf46e0db3b3affff07a626c4d","retain_fragment_bytes_and_order"
"Supplementary Table S11 continued B","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-b.html","tbl-h05-near-results-b","92390b30a8a9218a63bea2e85208d435b99e0cf74ebd50bccad04fcb99ad673b","retain_fragment_bytes_and_order"
"Supplementary Table S12","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h08-near-eye-results.html","tbl-h08-near-eye-results","0691c6c8c61428eec8c3448bea5d095db7c22bbcf38ab39097b8b63064c09c88","retain_fragment_bytes_and_order"
"Supplementary Table S13","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h09-near-eye-results.html","tbl-h09-near-eye-results","5bccd351c73c410a9dbef0823e012f9db741c055ad11e31eb85349cebe454fd9","retain_fragment_bytes_and_order"
"Supplementary Table S14","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h10-main-results.html","tbl-h10-main-results","b511c4fcc0a95c7e58d940816dd38fe63f9c6dffde782e6f736e285ba8e31193","retain_fragment_bytes_and_order"
"Supplementary Table S15","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h11-global-tests.html","tbl-h11-global-tests","8230f1f41789ab7662b57ab3bdc6bef3bbd9dd6d2c0f1f8e125a844594269c76","retain_fragment_bytes_and_order"
