id,detail
RESULT_CHUNK_ORDER,The result chunk set or order differs from the sealed 20-chunk contract
COMPANION_CHUNK_ORDER,The companion chunk set or order differs from the sealed 34-chunk contract
RESULT_TABLE_ENDPOINTS,The 11 result table endpoints or their order differ
RESULT_FIGURE_ENDPOINTS,The six result figure endpoints or their order differ
COMPANION_FIGURE_ENDPOINTS,The three companion figure endpoints or their order differ
PRESERVE_RESULT_NUMERIC,Pre/post structural inventory differs for result_numeric
PRESERVE_COMPANION_PREPARED_REFS,Pre/post structural inventory differs for companion_prepared_refs
RESULT_LINK_TARGETS,"Missing targets: [Download the exact category
cell registry](../../artifacts/06_model_data/H06/H06_category_cells.csv)"
READER_TERM__bTRUE_b,Reader-facing source contains prohibited pattern \bTRUE\b
READER_TERM__bFALSE_b,Reader-facing source contains prohibited pattern \bFALSE\b
RESULT_LANGUAGE_estimated_mean_hourly_melEDI_among_observed_hours_that_met_the_support_criteria,Missing result explanation: estimated mean hourly melEDI among observed hours that met the support criteria
RESULT_LANGUAGE_complementary__non_ocular_evidence,"Missing result explanation: complementary, non-ocular evidence"
RESULT_LANGUAGE_association_to_differ_by_study_site,Missing result explanation: association to differ by study site
RESULT_LANGUAGE_gives_each_site_equal_weight,Missing result explanation: gives each site equal weight
COMPANION_LANGUAGE_hourly_analysis_remains_the_main_H06_analysis,Missing companion explanation: hourly analysis remains the main H06 analysis
COMPANION_LANGUAGE_fixed_effect,Missing companion explanation: fixed effect
COMPANION_LANGUAGE_HC3_small_sample_correction,Missing companion explanation: HC3 small-sample correction
